Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-210-SMCP,Area Trocas7-210-SMCP,#Peptides,#Unique,#Spec Trocas7-210-SMCP,PTM,Avg. Mass,Description
10,5276,GROUPS_12647683_PROKKA_470485,30.17,5,5,1.57E6,1,1,2,Deamidation (NQ),20562,hypothetical protein
14,2492,KNOT_11443525_PROKKA_534238,25.17,5,5,9.83E5,1,1,2,,20159,Transcriptional repressor NrdR
13,9913,KNOT_15616266_PROKKA_628415,25.11,13,13,1.53E5,1,1,2,Carbamidomethylation; Deamidation (NQ),11328,hypothetical protein
29,5192,KNOT_32907886_PROKKA_865059,24.20,5,5,1.39E3,1,1,1,,20485,hypothetical protein
30,9914,KNOT_22269527_PROKKA_728304,23.98,19,19,3.82E4,1,1,1,,5075,hypothetical protein
15,5535,KNOT_36228017_PROKKA_894267,23.92,5,5,1.98E5,1,1,2,,16127,hypothetical protein
4,4789,GROUPS_9140978_PROKKA_212107,23.65,7,7,1.34E8,1,1,5,,11453,hypothetical protein
5,2481,KNOT_5879241_PROKKA_348517,23.13,19,19,5.23E7,1,1,5,,4178,hypothetical protein
23,8986,GROUPS_11465687_PROKKA_388925,22.75,4,4,7.47E5,1,1,1,,23435,hypothetical protein
24,9916,KNOT_23593416_PROKKA_748554,22.50,18,18,1.21E4,1,1,1,Oxidation (M),10312,hypothetical protein
17,2561,KNOT_4440374_PROKKA_301879,21.44,2,2,1E6,1,1,2,,41176,hypothetical protein
2,2490,GROUPS_12124742_PROKKA_433805,21.17,15,15,2.12E6,1,1,23,,8063,hypothetical protein
32,5953,KNOT_6051067_PROKKA_354553,21.09,3,3,6.23E5,1,1,1,,33305,Isoleucine--tRNA ligase
32,5954,KNOT_2025892_PROKKA_136372,21.09,3,3,6.23E5,1,1,1,,32865,Isoleucine--tRNA ligase
9,4787,KNOT_31944104_PROKKA_838750,20.79,11,11,5.23E7,1,1,3,,7681,hypothetical protein
9,4788,GROUPS_2663599_PROKKA_30233,20.79,3,3,5.23E7,1,1,3,,27686,3-deoxy-manno-octulosonate cytidylyltransferase
8,9918,GROUPS_12316720_PROKKA_441047,20.66,8,8,1.15E5,1,1,3,,13582,hypothetical protein
34,2569,KNOT_3039615_PROKKA_210056,20.00,3,3,9.75E5,1,1,1,,30029,Ribosomal large subunit pseudouridine synthase D
