Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-110-SMCP,Area Trocas7-110-SMCP,#Peptides,#Unique,#Spec Trocas7-110-SMCP,PTM,Avg. Mass,Description
8,7661,GROUPS_8089684_PROKKA_145999,49.48,11,11,6.82E4,2,2,3,,9898,hypothetical protein
2,7662,KNOT_10730683_PROKKA_512847,31.04,5,5,1.59E6,1,1,26,,31735,hypothetical protein
5,5276,GROUPS_12647683_PROKKA_470485,30.30,5,5,1.77E6,1,1,4,Deamidation (NQ),20562,hypothetical protein
3,5934,KNOT_32538509_PROKKA_854302,28.29,6,6,2.03E6,1,1,5,,14490,hypothetical protein
3,5935,KNOT_32373984_PROKKA_848250,28.29,5,5,2.03E6,1,1,5,,16587,Acetyl-coenzyme A synthetase
10,2492,KNOT_11443525_PROKKA_534238,28.00,5,5,1.12E6,1,1,3,,20159,Transcriptional repressor NrdR
25,7663,GROUPS_10699521_PROKKA_320782,26.80,4,4,1.11E4,1,1,1,,17974,hypothetical protein
6,4781,KNOT_238065_PROKKA_15437,24.72,1,1,6.24E5,1,1,4,,171606,putative diguanylate cyclase YegE
27,6929,GROUPS_8423012_PROKKA_158061,24.72,4,4,5.79E4,1,1,1,,24929,hypothetical protein
7,2481,KNOT_5879241_PROKKA_348517,24.61,19,19,1.56E7,1,1,4,,4178,hypothetical protein
9,7665,KNOT_269924_PROKKA_17546,23.91,3,3,2.22E6,1,1,3,,25309,hypothetical protein
9,7666,KNOT_3869915_PROKKA_267759,23.91,6,6,2.22E6,1,1,3,,11778,hypothetical protein
9,7667,KNOT_3552281_PROKKA_246485,23.91,6,6,2.22E6,1,1,3,,14209,hypothetical protein
9,7668,KNOT_4153683_PROKKA_285064,23.91,6,6,2.22E6,1,1,3,,14149,hypothetical protein
9,7669,KNOT_11393545_PROKKA_532661,23.91,6,6,2.22E6,1,1,3,,14869,hypothetical protein
9,7670,KNOT_10318557_PROKKA_500955,23.91,2,2,2.22E6,1,1,3,,45836,Lipopolysaccharide assembly protein B
4,4789,GROUPS_9140978_PROKKA_212107,23.26,7,7,4.25E7,1,1,5,,11453,hypothetical protein
18,2569,KNOT_3039615_PROKKA_210056,21.84,3,3,1.69E6,1,1,2,,30029,Ribosomal large subunit pseudouridine synthase D
15,2544,KNOT_2519828_PROKKA_172943,20.90,1,1,1.87E6,1,1,2,,59890,Polyphosphate kinase
15,4797,KNOT_14573911_PROKKA_604957,20.90,1,1,1.87E6,1,1,2,,74282,Polyphosphate kinase
15,4796,KNOT_2166087_PROKKA_146631,20.90,2,2,1.87E6,1,1,2,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
28,7671,GROUPS_9922417_PROKKA_253814,20.36,4,4,0E0,1,1,1,,25259,hypothetical protein
