Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-310-SMCP,Area Trocas7-310-SMCP,#Peptides,#Unique,#Spec Trocas7-310-SMCP,PTM,Avg. Mass,Description
17,11984,KNOT_3341672_PROKKA_231719,26.52,10,10,2.77E5,1,1,1,,9728,hypothetical protein
6,2469,KNOT_4594749_PROKKA_309394,24.33,3,3,2.1E5,1,1,3,,36417,hypothetical protein
4,2481,KNOT_5879241_PROKKA_348517,24.27,19,19,1.49E7,1,1,4,,4178,hypothetical protein
18,2492,KNOT_11443525_PROKKA_534238,23.89,5,5,1.24E5,1,1,1,,20159,Transcriptional repressor NrdR
5,4789,GROUPS_9140978_PROKKA_212107,23.19,7,7,3.33E7,1,1,4,,11453,hypothetical protein
19,38919,KNOT_2516981_PROKKA_172723,22.03,8,8,3.1E4,1,1,1,,8673,hypothetical protein
19,38921,GROUPS_7330330_PROKKA_121707,22.03,5,5,3.1E4,1,1,1,,12740,hypothetical protein
19,38922,GROUPS_9577883_PROKKA_231290,22.03,4,4,3.1E4,1,1,1,,20709,hypothetical protein
19,38923,KNOT_31902993_PROKKA_837820,22.03,3,3,3.1E4,1,1,1,,27483,hypothetical protein
19,23705,KNOT_2554549_PROKKA_175358,22.03,2,2,3.1E4,1,1,1,,26185,High-affinity branched-chain amino acid transport ATP-binding protein LivF
1,2490,GROUPS_12124742_PROKKA_433805,21.95,15,15,6.16E6,1,1,35,,8063,hypothetical protein
