Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-102-Bay,Area Trocas7-102-Bay,#Peptides,#Unique,#Spec Trocas7-102-Bay,PTM,Avg. Mass,Description
24,2469,KNOT_4594749_PROKKA_309394,37.02,3,3,1.46E5,1,1,1,,36417,hypothetical protein
25,5933,GROUPS_6678417_PROKKA_93557,29.47,4,4,2.07E4,1,1,1,,24860,hypothetical protein
8,5934,KNOT_32538509_PROKKA_854302,28.74,6,6,3.66E6,1,1,3,,14490,hypothetical protein
8,5935,KNOT_32373984_PROKKA_848250,28.74,5,5,3.66E6,1,1,3,,16587,Acetyl-coenzyme A synthetase
12,5276,GROUPS_12647683_PROKKA_470485,26.91,5,5,2.23E6,1,1,2,Deamidation (NQ),20562,hypothetical protein
26,5937,KNOT_11016356_PROKKA_521083,25.86,6,6,7.66E4,1,1,1,,11586,hypothetical protein
26,5938,KNOT_8590074_PROKKA_451923,25.86,5,5,7.66E4,1,1,1,,13389,hypothetical protein
26,5939,KNOT_21901691_PROKKA_714089,25.86,5,5,7.66E4,1,1,1,,13844,Histidinol dehydrogenase
26,5940,KNOT_8410314_PROKKA_445578,25.86,4,4,7.66E4,1,1,1,,17239,hypothetical protein
26,5941,KNOT_31750102_PROKKA_834452,25.86,4,4,7.66E4,1,1,1,,17636,hypothetical protein
26,5942,KNOT_19887706_PROKKA_683781,25.86,3,3,7.66E4,1,1,1,,18273,Glycerol-3-phosphate regulon repressor
26,5943,KNOT_28318387_PROKKA_790010,25.86,3,3,7.66E4,1,1,1,,20289,hypothetical protein
26,5944,KNOT_13440531_PROKKA_582283,25.86,3,3,7.66E4,1,1,1,,22707,hypothetical protein
26,5948,KNOT_27597537_PROKKA_784942,25.86,1,1,7.66E4,1,1,1,,69649,hypothetical protein
13,2492,KNOT_11443525_PROKKA_534238,25.81,5,5,1.38E6,1,1,2,,20159,Transcriptional repressor NrdR
14,5946,KNOT_2650279_PROKKA_182289,24.74,10,10,3.19E5,1,1,2,,7850,hypothetical protein
14,5947,KNOT_7994723_PROKKA_429854,24.74,7,7,3.19E5,1,1,2,,10901,Dihydroorotase
4,4789,GROUPS_9140978_PROKKA_212107,23.73,7,7,9.79E7,1,1,7,,11453,hypothetical protein
5,2481,KNOT_5879241_PROKKA_348517,23.46,19,19,3.66E7,1,1,4,,4178,hypothetical protein
10,2490,GROUPS_12124742_PROKKA_433805,23.38,15,15,1.02E5,1,1,2,,8063,hypothetical protein
28,5950,KNOT_7553146_PROKKA_412395,21.62,3,3,2.97E5,1,1,1,Deamidation (NQ),24140,hypothetical protein
3,5951,KNOT_6855810_PROKKA_384782,20.96,5,5,1.56E6,1,1,7,,18653,hypothetical protein
29,5952,KNOT_21839315_PROKKA_712992,20.87,2,2,9E4,1,1,1,,68586,hypothetical protein
30,5953,KNOT_6051067_PROKKA_354553,20.68,3,3,1.31E2,1,1,1,,33305,Isoleucine--tRNA ligase
30,5954,KNOT_2025892_PROKKA_136372,20.68,3,3,1.31E2,1,1,1,,32865,Isoleucine--tRNA ligase
