Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-306-Chav,Area Trocas7-306-Chav,#Peptides,#Unique,#Spec Trocas7-306-Chav,PTM,Avg. Mass,Description
12,24518,KNOT_15498787_PROKKA_626348,36.93,3,3,8.4E4,2,1,2,,63969,primosomal protein N'
27,2468,GROUPS_15470916_PROKKA_684871,35.94,2,2,3.15E5,1,1,1,,50910,hypothetical protein
22,2467,GROUPS_14979448_PROKKA_642956,34.60,2,2,3.97E4,1,1,1,,32540,Methionyl-tRNA formyltransferase
22,2465,GROUPS_13478851_PROKKA_541219,34.60,3,3,3.97E4,1,1,1,,24069,ATP synthase gamma chain
22,2471,KNOT_13273199_PROKKA_579603,34.60,7,7,3.97E4,1,1,1,,11833,tRNA (guanine-N(1)-)-methyltransferase
22,2472,KNOT_33775426_PROKKA_877131,34.60,5,5,3.97E4,1,1,1,,15456,tRNA (guanine-N(1)-)-methyltransferase
22,2473,KNOT_75604_PROKKA_04831,34.60,4,4,3.97E4,1,1,1,,20452,hypothetical protein
22,2477,GROUPS_14878950_PROKKA_636730,34.60,1,1,3.97E4,1,1,1,,62768,hypothetical protein
22,2479,KNOT_26711475_PROKKA_777876,34.60,0,0,3.97E4,1,1,1,,155471,hypothetical protein
13,2469,KNOT_4594749_PROKKA_309394,29.58,3,3,1.98E5,1,1,2,,36417,hypothetical protein
28,2482,GROUPS_7615389_PROKKA_131871,28.49,9,9,1.01E5,1,1,1,,8827,hypothetical protein
28,2483,GROUPS_13881280_PROKKA_560112,28.49,7,7,1.01E5,1,1,1,,11244,hypothetical protein
28,4774,KNOT_12819950_PROKKA_572522,28.49,5,5,1.01E5,1,1,1,,14382,Ribonuclease VapC22
28,2484,GROUPS_13064444_PROKKA_519763,28.49,3,3,1.01E5,1,1,1,,24095,hypothetical protein
28,4775,KNOT_814097_PROKKA_52248,28.49,2,2,1.01E5,1,1,1,,36399,hypothetical protein
10,2481,KNOT_5879241_PROKKA_348517,25.96,19,19,3.18E7,1,1,4,,4178,hypothetical protein
7,4789,GROUPS_9140978_PROKKA_212107,25.80,7,7,6.64E7,1,1,5,,11453,hypothetical protein
29,38255,KNOT_3133627_PROKKA_216725,24.46,9,9,1.68E4,1,1,1,,8333,hypothetical protein
30,2532,GROUPS_4143787_PROKKA_49081,22.65,3,3,1.68E4,1,1,1,,22403,Thiol-disulfide oxidoreductase ResA
31,38256,KNOT_34385457_PROKKA_882194,21.98,10,10,1.01E5,1,1,1,,8077,Phosphoribosylglycinamide formyltransferase 2
31,38257,KNOT_6460641_PROKKA_369557,21.98,10,10,1.01E5,1,1,1,,8403,hypothetical protein
31,38258,KNOT_4112102_PROKKA_282597,21.98,6,6,1.01E5,1,1,1,,13427,hypothetical protein
31,38259,GROUPS_8913846_PROKKA_199964,21.98,5,5,1.01E5,1,1,1,,16522,Lysozyme RrrD
31,38260,KNOT_32853945_PROKKA_863783,21.98,2,2,1.01E5,1,1,1,,42038,hypothetical protein
11,9924,GROUPS_13561989_PROKKA_543383,20.89,6,6,5.97E6,1,1,3,,12550,hypothetical protein
11,9926,GROUPS_13730324_PROKKA_555302,20.89,4,4,5.97E6,1,1,3,,18372,hypothetical protein
11,9927,GROUPS_14011427_PROKKA_586700,20.89,3,3,5.97E6,1,1,3,,27934,hypothetical protein
11,9928,KNOT_5313870_PROKKA_330236,20.89,3,3,5.97E6,1,1,3,,27605,hypothetical protein
11,9930,KNOT_16547763_PROKKA_641318,20.89,3,3,5.97E6,1,1,3,,30134,High-affinity branched-chain amino acid transport system permease protein LivH
11,9933,KNOT_12266592_PROKKA_558885,20.89,2,2,5.97E6,1,1,3,,34459,High-affinity branched-chain amino acid transport system permease protein LivH
14,4826,KNOT_3651020_PROKKA_253264,20.01,2,2,6.64E7,1,1,2,Deamidation (NQ),54224,hypothetical protein
