Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Coverage (%) Sample 15,Coverage (%) Sample 16,Coverage (%) Sample 17,Coverage (%) Sample 18,Coverage (%) Sample 19,Coverage (%) Sample 20,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,Area Sample 15,Area Sample 16,Area Sample 17,Area Sample 18,Area Sample 19,Area Sample 20,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,#Spec Sample 15,#Spec Sample 16,#Spec Sample 17,#Spec Sample 18,#Spec Sample 19,#Spec Sample 20,PTM,Avg. Mass,Description
1,1,CAA76847.1,539.45,96,95,96,93,91,91,84,96,96,96,96,96,89,8,3,20,13,4,6,1,1,2.67E10,3.08E10,4.58E10,6.5E10,1.91E10,4.54E9,9.93E9,1.18E10,1.02E10,1.11E10,1.21E10,7.69E8,1.23E5,2.06E5,6.35E5,4.4E5,1.78E5,6.97E5,5.85E5,1.37E6,1413,1228,1831,2027,2238,2730,2371,1027,2061,1887,1657,1768,1468,371,3,3,18,9,2,3,1,1,Carbamidomethylation; Oxidation (M),69324,bovine serum albumin [Bos taurus]
2,5,|#CONTAM#ALBU_HUMAN|,320.32,45,30,35,25,32,31,23,35,34,29,29,27,18,0,1,6,1,0,0,0,0,5.39E6,6.05E6,7.49E6,1.04E7,1.29E7,3.54E5,3.36E6,2.63E6,2.67E6,2.41E6,1.37E6,,,,,,,,,,187,22,309,341,383,451,369,120,238,277,201,240,199,57,0,1,5,1,0,0,0,0,Carbamidomethylation,69367,sp|#CONTAM#ALBU_HUMAN|
3,10,54036848,306.99,13,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,12,9,11,11,9,3.93E8,4.04E8,6.88E8,7.45E8,4.65E8,4.53E8,6.36E8,6.02E8,7.31E8,6.68E8,6E8,2.89E8,4.57E8,1.37E8,2.35E8,5.52E7,2.78E8,4.5E8,1.09E8,9.77E7,50,39,56,48,85,72,66,95,66,67,83,80,64,52,54,41,43,34,43,47,50,33,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
4,6,|#CONTAM#TRYP_PIG|,297.98,77,67,73,43,53,25,20,62,59,58,59,65,43,24,60,24,31,41,64,40,47,4.68E8,5.11E8,3.54E8,7.1E8,8.31E8,6.63E7,2.68E8,2.95E8,5.37E8,6.73E8,6.27E8,2.25E8,1.6E8,9.64E8,1.76E8,6.54E7,1.42E8,3.38E8,5.03E8,6.18E8,84,74,38,53,34,41,40,14,18,30,76,63,64,18,15,45,9,9,30,86,36,36,Carbamidomethylation; Oxidation (M),24409,sp|#CONTAM#TRYP_PIG|
5,4,|#CONTAM#K2C1_HUMAN|,234.44,56,19,8,27,37,27,32,10,8,13,7,15,10,0,5,2,2,0,2,8,7,1.37E6,7.24E5,1.53E7,1.59E7,6.76E6,9.96E6,1.67E6,1.59E6,2.59E6,1.38E6,2.03E6,2.12E6,,8.04E5,3.01E5,1.86E5,,4.39E4,1.32E6,1.64E6,44,34,10,4,24,28,18,25,5,6,8,5,8,5,0,3,1,1,0,1,6,6,Carbamidomethylation; Oxidation (M),65886,sp|#CONTAM#K2C1_HUMAN|
9,9,KNOT_28069868,225.15,63,0,0,0,7,0,0,0,0,0,0,0,0,17,10,0,15,47,28,26,27,,,,3.84E3,,,,,,,,,1.66E6,3.96E5,,3.8E5,3.07E7,1.48E7,8.56E6,4.81E6,44,33,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,4,42,16,10,12,Carbamidomethylation; Oxidation (M),24963,Bacterial actin-related protein
7,3,|#CONTAM#K1C10_HUMAN|,211.09,39,14,13,32,25,18,18,9,10,10,13,9,6,0,3,3,0,3,7,5,9,6.68E5,8.03E5,1.19E7,1.07E7,8.37E6,6.48E6,1.97E5,3.4E5,6.35E5,2.95E5,1.82E5,2.12E5,,1.82E4,2.37E5,,5.46E5,1.34E6,6.49E5,1.07E6,27,23,8,7,20,16,11,13,4,5,6,7,5,3,0,1,1,0,1,4,2,4,Carbamidomethylation,59519,sp|#CONTAM#K1C10_HUMAN|
11,7,|#CONTAM#K22E_HUMAN|,200.60,51,6,3,24,29,22,19,1,1,3,5,11,4,0,0,2,0,0,8,3,5,5.24E4,0E0,6.03E6,3.82E6,3.08E6,5.01E6,7.14E4,,,0E0,1.41E5,9.31E4,,,5.28E4,,,4.25E5,5.99E4,5.16E5,31,25,3,2,18,17,12,15,1,1,2,2,5,2,0,0,1,0,0,3,2,3,Carbamidomethylation; Oxidation (M),65865,sp|#CONTAM#K22E_HUMAN|
10,8,|#CONTAM#K1C9_HUMAN|,188.55,48,14,13,19,29,10,20,0,3,7,12,10,4,0,3,2,2,5,16,5,13,4.52E5,1.68E6,7.5E6,4.73E6,3.83E6,5.53E6,,4.13E5,7.88E5,2.18E5,6.06E5,4.24E5,,3.02E5,1.02E5,3.59E4,7.34E4,1.33E6,6.38E5,1.55E6,32,31,5,7,10,12,6,11,0,3,4,4,3,2,0,1,1,1,2,6,4,7,Oxidation (M),62129,sp|#CONTAM#K1C9_HUMAN|
49,29,KNOT_2837028,150.55,58,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,14,58,32,14,14,,,,,,,,,,,,,4.4E5,1.57E5,,7.31E4,1.33E7,3.51E6,4.86E5,7.58E5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,10,4,1,1,,7322,hypothetical protein
115,33,GROUPS_16237351,145.84,15,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,0,0,,,2.55E6,,,,,,,,,,,7.13E4,,,,,,,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,0,0,,24228,hypothetical protein
13,13,GROUPS_8258265,143.80,53,0,0,17,8,0,0,0,0,0,0,0,0,22,35,0,16,53,24,27,27,,,1.53E5,6.47E4,,,,,,,,,2.1E5,5.08E5,,2.14E5,1.39E7,2E6,1.32E6,8.39E5,23,23,0,0,2,1,0,0,0,0,0,0,0,0,3,5,0,3,23,4,5,5,Oxidation (M),11381,hypothetical protein
26,16,|#CONTAM#RS27A_HUMAN|,134.94,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,6,11,21,,,,1.44E6,,,,,,,,,,,,,8.41E6,5.25E5,1.16E6,1.95E6,18,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4,6,Oxidation (M),17965,sp|#CONTAM#RS27A_HUMAN|
