Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-319-NMCP,Area Trocas7-319-NMCP,#Peptides,#Unique,#Spec Trocas7-319-NMCP,PTM,Avg. Mass,Description
4,33710,KNOT_3125468_PROKKA_216128,35.53,3,3,2.08E5,1,1,9,,22442,hypothetical protein
13,13455,GROUPS_4891588_PROKKA_56111,34.16,2,2,3.31E5,2,2,4,,62789,hypothetical protein
27,2469,KNOT_4594749_PROKKA_309394,32.16,3,3,1.58E5,1,1,2,,36417,hypothetical protein
17,33712,KNOT_3150848_PROKKA_218037,31.49,9,9,3.54E4,1,1,3,,11256,hypothetical protein
6,13443,GROUPS_12951094_PROKKA_512797,29.95,7,7,3.14E5,1,1,8,,12926,Alginate biosynthesis protein AlgA
20,2492,KNOT_11443525_PROKKA_534238,28.43,5,5,3.58E6,1,1,3,,20159,Transcriptional repressor NrdR
29,9814,KNOT_504860_PROKKA_32448,26.40,1,1,0E0,1,1,2,Deamidation (NQ),101947,hypothetical protein
11,4789,GROUPS_9140978_PROKKA_212107,26.12,7,7,1.05E8,1,1,4,,11453,hypothetical protein
79,33715,KNOT_4144324_PROKKA_284502,26.08,12,12,0E0,1,1,1,,6858,hypothetical protein
79,33716,KNOT_252516_PROKKA_16302,26.08,7,7,0E0,1,1,1,,13442,hypothetical protein
12,7122,GROUPS_15462140_PROKKA_684432,25.25,3,3,7.38E5,1,1,4,,45712,hypothetical protein
2,2490,GROUPS_12124742_PROKKA_433805,24.44,15,15,7.59E6,1,1,24,,8063,hypothetical protein
28,33718,KNOT_7553879_PROKKA_412424,24.26,12,12,0E0,2,2,2,Oxidation (M),21272,hypothetical protein
57,33723,GROUPS_12763118_PROKKA_493034,23.43,3,3,1.99E5,1,1,1,,26932,tRNA(Ile)-lysidine synthase
18,10771,GROUPS_14554567_PROKKA_625954,23.08,1,1,4.98E6,1,1,3,,55750,hypothetical protein
7,33725,GROUPS_8840070_PROKKA_195486,22.82,17,17,3.91E5,1,1,7,,6545,hypothetical protein
24,2507,KNOT_22613331_PROKKA_735452,22.66,1,1,6.37E4,1,1,2,,69450,hypothetical protein
58,33727,KNOT_27065059_PROKKA_780769,22.44,4,4,2.64E2,1,1,1,Deamidation (NQ),26897,hypothetical protein
59,33728,KNOT_167454_PROKKA_10608,21.85,6,6,2.24E4,1,1,1,,17220,hypothetical protein
80,33730,GROUPS_10207313_PROKKA_289947,21.62,10,10,1.1E5,1,1,1,Deamidation (NQ),9638,hypothetical protein
81,33731,GROUPS_3239987_PROKKA_34918,21.55,4,4,4.26E4,1,1,1,,23731,Inner membrane protein YabI
15,12232,GROUPS_12678699_PROKKA_477316,21.11,13,13,1.87E5,1,1,3,,7205,hypothetical protein
83,33733,KNOT_32381054_PROKKA_848398,21.09,1,1,4.28E4,1,1,1,,47728,hypothetical protein
82,2468,GROUPS_15470916_PROKKA_684871,20.81,2,2,7.74E4,1,1,1,,50910,hypothetical protein
85,9969,GROUPS_13937284_PROKKA_573424,20.60,4,4,3.64E4,1,1,1,,22725,hypothetical protein
47,4797,KNOT_14573911_PROKKA_604957,20.49,1,1,1.25E5,1,1,1,,74282,Polyphosphate kinase
47,4796,KNOT_2166087_PROKKA_146631,20.49,2,2,1.25E5,1,1,1,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
47,2544,KNOT_2519828_PROKKA_172943,20.49,1,1,1.25E5,1,1,1,,59890,Polyphosphate kinase
86,33824,GROUPS_11457797_PROKKA_387569,20.44,3,3,2.62E4,1,1,1,,25769,hypothetical protein
22,33825,KNOT_6741059_PROKKA_380367,20.38,3,3,1.2E4,1,1,2,,27698,hypothetical protein
