Peptides,GO-term,Name
51,GO:0005524,ATP binding
38,GO:0046872,metal ion binding
35,GO:0003677,DNA binding
12,GO:0008270,zinc ion binding
12,GO:0016887,ATPase
8,GO:0016491,oxidoreductase activity
8,GO:0022857,transmembrane transporter activity
7,GO:0003700,DNA-binding transcription factor activity
7,GO:0008233,peptidase activity
7,GO:0003676,nucleic acid binding
7,GO:0003824,catalytic activity
6,GO:0016787,hydrolase activity
6,GO:0004252,serine-type endopeptidase activity
6,GO:0003723,RNA binding
5,GO:0005509,calcium ion binding
5,GO:0020037,heme binding
5,GO:0016301,kinase activity
5,GO:0000155,phosphorelay sensor kinase activity
5,GO:0016740,transferase activity
4,GO:0005198,structural molecule activity
4,GO:0046983,protein dimerization activity
4,GO:0000049,tRNA binding
4,GO:0050660,flavin adenine dinucleotide binding
3,GO:0043565,sequence-specific DNA binding
3,GO:0008168,methyltransferase activity
3,GO:0005506,iron ion binding
3,GO:0004672,protein kinase activity
3,GO:0003724,RNA helicase activity
3,GO:0003968,RNA-directed 5'-3' RNA polymerase activity
3,GO:0030170,pyridoxal phosphate binding
3,GO:0051536,iron-sulfur cluster binding
3,GO:0005525,GTP binding
2,GO:0008134,transcription factor binding
2,GO:0016831,carboxy-lyase activity
2,GO:0071949,FAD binding
2,GO:0003779,actin binding
2,GO:0016742,"hydroxymethyl-, formyl- and related transferase activity"
2,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
2,GO:0004519,endonuclease activity
2,GO:0009055,electron transfer activity
2,GO:0008061,chitin binding
2,GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity
2,GO:0031177,phosphopantetheine binding
2,GO:0052855,ADP-dependent NAD(P)H-hydrate dehydratase activity
2,GO:0000166,nucleotide binding
2,GO:0000287,magnesium ion binding
2,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
2,GO:0010181,FMN binding
2,GO:0030145,manganese ion binding
2,GO:0004497,monooxygenase activity
2,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
2,GO:0008080,N-acetyltransferase activity
2,GO:0051539,"4 iron, 4 sulfur cluster binding"
2,GO:0050661,NADP binding
2,GO:0003678,DNA helicase activity
2,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
2,GO:0004482,mRNA (guanine-N7-)-methyltransferase activity
2,GO:0002161,aminoacyl-tRNA editing activity
2,GO:0016874,ligase activity
2,GO:0003924,GTPase activity
2,GO:0008177,succinate dehydrogenase (ubiquinone) activity
1,GO:0008986,"pyruvate, water dikinase activity"
1,GO:0008115,sarcosine oxidase activity
1,GO:0008017,microtubule binding
1,GO:0004152,dihydroorotate dehydrogenase activity
1,GO:0016274,protein-arginine N-methyltransferase activity
1,GO:0004359,glutaminase activity
1,GO:0000107,imidazoleglycerol-phosphate synthase activity
1,GO:0016829,lyase activity
1,GO:0051287,NAD binding
1,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
1,GO:0048038,quinone binding
1,GO:0034618,arginine binding
1,GO:0004053,arginase activity
1,GO:0004049,anthranilate synthase activity
1,GO:0003917,"DNA topoisomerase type I (single strand cut, ATP-independent) activity"
1,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
1,GO:0050607,mycothiol-dependent formaldehyde dehydrogenase activity
1,GO:0003938,IMP dehydrogenase activity
1,GO:0019843,rRNA binding
1,GO:0003735,structural constituent of ribosome
1,GO:0004674,protein serine/threonine kinase activity
1,GO:0047429,nucleoside-triphosphate diphosphatase activity
1,GO:0047840,dCTP diphosphatase activity
1,GO:0060090,molecular adaptor activity
1,GO:0004735,pyrroline-5-carboxylate reductase activity
1,GO:0000104,succinate dehydrogenase activity
1,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity
1,GO:0004831,tyrosine-tRNA ligase activity
1,GO:0004523,RNA-DNA hybrid ribonuclease activity
1,GO:0044875,gamma-glutamyl hercynylcysteine sulfoxide synthase activity
1,GO:0004622,lysophospholipase activity
1,GO:0102545,phosphatidyl phospholipase B activity
1,GO:0008239,dipeptidyl-peptidase activity
1,GO:0008649,rRNA methyltransferase activity
1,GO:0000175,3'-5'-exoribonuclease activity
1,GO:0000156,phosphorelay response regulator activity
1,GO:0004866,endopeptidase inhibitor activity
1,GO:0050242,"pyruvate, phosphate dikinase activity"
1,GO:0033925,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
1,GO:0035596,methylthiotransferase activity
1,GO:0070497,"6-carboxy-5,6,7,8-tetrahydropterin synthase activity"
1,GO:0016868,"intramolecular transferase activity, phosphotransferases"
1,GO:0004332,fructose-bisphosphate aldolase activity
1,GO:0008750,NAD(P)+ transhydrogenase (AB-specific) activity
1,GO:0030246,carbohydrate binding
1,GO:0046982,protein heterodimerization activity
1,GO:0030280,structural constituent of skin epidermis
1,GO:0008237,metallopeptidase activity
1,GO:0008289,lipid binding
1,GO:0004416,hydroxyacylglutathione hydrolase activity
1,GO:0042301,phosphate ion binding
1,GO:0016788,"hydrolase activity, acting on ester bonds"
1,GO:0051015,actin filament binding
1,GO:0005200,structural constituent of cytoskeleton
1,GO:0004843,thiol-dependent deubiquitinase
1,GO:0004197,cysteine-type endopeptidase activity
1,GO:0004532,exoribonuclease activity
1,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups"
1,GO:0005096,GTPase activator activity
1,GO:0008184,glycogen phosphorylase activity
1,GO:0102250,linear malto-oligosaccharide phosphorylase activity
1,GO:0102499,SHG alpha-glucan phosphorylase activity
1,GO:0008794,arsenate reductase (glutaredoxin) activity
1,GO:0004072,aspartate kinase activity
1,GO:0043842,Kdo transferase activity
1,GO:0003725,double-stranded RNA binding
1,GO:0004483,mRNA (nucleoside-2'-O-)-methyltransferase activity
1,GO:0008417,fucosyltransferase activity
1,GO:0004065,arylsulfatase activity
1,GO:0004620,phospholipase activity
1,GO:0005085,guanyl-nucleotide exchange factor activity
1,GO:0008792,arginine decarboxylase activity
1,GO:0004477,methenyltetrahydrofolate cyclohydrolase activity
1,GO:0004488,methylenetetrahydrofolate dehydrogenase (NADP+) activity
1,GO:0004822,isoleucine-tRNA ligase activity
1,GO:0004801,transaldolase activity
1,GO:0046873,metal ion transmembrane transporter activity
1,GO:0015293,symporter activity
1,GO:0004813,alanine-tRNA ligase activity
1,GO:0008641,ubiquitin-like modifier activating enzyme activity
1,GO:0008967,phosphoglycolate phosphatase activity
1,GO:0004177,aminopeptidase activity
1,GO:0010997,anaphase-promoting complex binding
1,GO:0097027,ubiquitin-protein transferase activator activity
1,GO:0047834,D-threo-aldose 1-dehydrogenase activity
1,GO:0008483,transaminase activity
1,GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity
1,GO:0070403,NAD+ binding
1,GO:0008833,deoxyribonuclease IV (phage-T4-induced) activity
1,GO:0031267,small GTPase binding
1,GO:0003919,FMN adenylyltransferase activity
1,GO:0008531,riboflavin kinase activity
1,GO:0004832,valine-tRNA ligase activity
1,GO:0003746,translation elongation factor activity
1,GO:0004842,ubiquitin-protein transferase activity
1,GO:0051082,unfolded protein binding
1,GO:0033817,beta-ketoacyl-acyl-carrier-protein synthase II activity
1,GO:0016987,sigma factor activity
1,GO:0051538,"3 iron, 4 sulfur cluster binding"
1,GO:0004355,glutamate synthase (NADPH) activity
1,GO:0015930,glutamate synthase activity
1,GO:0004612,phosphoenolpyruvate carboxykinase (ATP) activity
1,GO:0015562,efflux transmembrane transporter activity
1,GO:0070006,metalloaminopeptidase activity
1,GO:0008236,serine-type peptidase activity
1,GO:0015093,ferrous iron transmembrane transporter activity
1,GO:0004518,nuclease activity
1,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors"
1,GO:0004356,glutamate-ammonia ligase activity
1,GO:0019134,glucosamine-1-phosphate N-acetyltransferase activity
1,GO:0003977,UDP-N-acetylglucosamine diphosphorylase activity
1,GO:0042626,ATPase-coupled transmembrane transporter activity
1,GO:0003991,acetylglutamate kinase activity
1,GO:0052856,NADHX epimerase activity
1,GO:0052857,NADPHX epimerase activity
1,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity
