Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-410-SMCP-DUP,Area Trocas7-410-SMCP-DUP,#Peptides,#Unique,#Spec Trocas7-410-SMCP-DUP,PTM,Avg. Mass,Description
13,2498,GROUPS_6664675_PROKKA_93174,33.31,10,10,5.47E4,2,1,4,Deamidation (NQ),16879,hypothetical protein
17,2471,KNOT_13273199_PROKKA_579603,26.10,7,7,3.6E4,1,1,2,,11833,tRNA (guanine-N(1)-)-methyltransferase
17,2472,KNOT_33775426_PROKKA_877131,26.10,5,5,3.6E4,1,1,2,,15456,tRNA (guanine-N(1)-)-methyltransferase
17,2473,KNOT_75604_PROKKA_04831,26.10,4,4,3.6E4,1,1,2,,20452,hypothetical protein
17,2465,GROUPS_13478851_PROKKA_541219,26.10,3,3,3.6E4,1,1,2,,24069,ATP synthase gamma chain
17,2467,GROUPS_14979448_PROKKA_642956,26.10,2,2,3.6E4,1,1,2,,32540,Methionyl-tRNA formyltransferase
17,2477,GROUPS_14878950_PROKKA_636730,26.10,1,1,3.6E4,1,1,2,,62768,hypothetical protein
17,2479,KNOT_26711475_PROKKA_777876,26.10,0,0,3.6E4,1,1,2,,155471,hypothetical protein
16,2482,GROUPS_7615389_PROKKA_131871,26.02,9,9,5.65E4,1,1,2,,8827,hypothetical protein
16,2483,GROUPS_13881280_PROKKA_560112,26.02,7,7,5.65E4,1,1,2,,11244,hypothetical protein
16,4774,KNOT_12819950_PROKKA_572522,26.02,5,5,5.65E4,1,1,2,,14382,Ribonuclease VapC22
16,2484,GROUPS_13064444_PROKKA_519763,26.02,3,3,5.65E4,1,1,2,,24095,hypothetical protein
16,4775,KNOT_814097_PROKKA_52248,26.02,2,2,5.65E4,1,1,2,,36399,hypothetical protein
23,5191,KNOT_30057775_PROKKA_802015,24.41,10,10,9.34E3,1,1,1,,6178,hypothetical protein
23,5194,KNOT_3363071_PROKKA_233193,24.41,5,5,9.34E3,1,1,1,,14986,Outer membrane protein TolC
23,5195,KNOT_17301625_PROKKA_649336,24.41,4,4,9.34E3,1,1,1,,17806,Transcriptional regulatory protein BaeR
23,5196,KNOT_25094835_PROKKA_764207,24.41,4,4,9.34E3,1,1,1,,17806,Transcriptional regulatory protein BaeR
23,5199,KNOT_3168834_PROKKA_219416,24.41,3,3,9.34E3,1,1,1,,20493,hypothetical protein
23,5201,KNOT_3566721_PROKKA_247471,24.41,3,3,9.34E3,1,1,1,,23590,hypothetical protein
23,5205,KNOT_3358236_PROKKA_232865,24.41,2,2,9.34E3,1,1,1,,33933,hypothetical protein
23,10766,GROUPS_14351457_PROKKA_614249,24.41,1,1,9.34E3,1,1,1,,58164,Thermostable beta-glucosidase B
23,5208,KNOT_7769252_PROKKA_420948,24.41,1,1,9.34E3,1,1,1,,65650,Phytochrome-like protein cph2
7,10762,GROUPS_15122890_PROKKA_646155,22.76,5,5,2.53E5,1,1,7,,21039,hypothetical protein
19,5192,KNOT_32907886_PROKKA_865059,22.70,5,5,1.15E5,1,1,2,Oxidation (M),20485,hypothetical protein
10,2481,KNOT_5879241_PROKKA_348517,22.58,19,19,4.69E7,1,1,5,,4178,hypothetical protein
30,10764,KNOT_32192192_PROKKA_844286,22.53,4,4,3.48E4,1,1,1,,23304,putative D D-dipeptide transport ATP-binding protein DdpD
6,4789,GROUPS_9140978_PROKKA_212107,22.21,7,7,9.15E7,1,1,8,,11453,hypothetical protein
31,10765,GROUPS_14142356_PROKKA_602567,22.15,4,4,1.05E5,1,1,1,Carbamidomethylation,31462,hypothetical protein
20,2561,KNOT_4440374_PROKKA_301879,21.39,2,2,1.87E6,1,1,2,,41176,hypothetical protein
32,10767,KNOT_32190467_PROKKA_844247,21.10,2,2,2.88E4,1,1,1,,35299,hypothetical protein
33,4787,KNOT_31944104_PROKKA_838750,20.30,11,11,0E0,1,1,1,,7681,hypothetical protein
33,4788,GROUPS_2663599_PROKKA_30233,20.30,3,3,0E0,1,1,1,,27686,3-deoxy-manno-octulosonate cytidylyltransferase
15,5226,GROUPS_11416750_PROKKA_380801,20.29,4,4,2.9E5,1,1,3,,22749,hypothetical protein
14,10771,GROUPS_14554567_PROKKA_625954,20.24,1,1,8.23E6,1,1,4,,55750,hypothetical protein
34,10768,KNOT_8664336_PROKKA_454431,20.00,5,5,8.36E4,1,1,1,,17429,hypothetical protein
