Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-318-NMCP,Area Trocas7-318-NMCP,#Peptides,#Unique,#Spec Trocas7-318-NMCP,PTM,Avg. Mass,Description
19,2465,GROUPS_13478851_PROKKA_541219,26.66,3,3,1.81E4,1,1,1,,24069,ATP synthase gamma chain
19,2471,KNOT_13273199_PROKKA_579603,26.66,7,7,1.81E4,1,1,1,,11833,tRNA (guanine-N(1)-)-methyltransferase
19,2472,KNOT_33775426_PROKKA_877131,26.66,5,5,1.81E4,1,1,1,,15456,tRNA (guanine-N(1)-)-methyltransferase
19,2473,KNOT_75604_PROKKA_04831,26.66,4,4,1.81E4,1,1,1,,20452,hypothetical protein
19,2467,GROUPS_14979448_PROKKA_642956,26.66,2,2,1.81E4,1,1,1,,32540,Methionyl-tRNA formyltransferase
19,2477,GROUPS_14878950_PROKKA_636730,26.66,1,1,1.81E4,1,1,1,,62768,hypothetical protein
19,2479,KNOT_26711475_PROKKA_777876,26.66,0,0,1.81E4,1,1,1,,155471,hypothetical protein
33,2482,GROUPS_7615389_PROKKA_131871,26.03,9,9,3.48E4,1,1,1,,8827,hypothetical protein
33,2483,GROUPS_13881280_PROKKA_560112,26.03,7,7,3.48E4,1,1,1,,11244,hypothetical protein
33,4774,KNOT_12819950_PROKKA_572522,26.03,5,5,3.48E4,1,1,1,,14382,Ribonuclease VapC22
33,2484,GROUPS_13064444_PROKKA_519763,26.03,3,3,3.48E4,1,1,1,,24095,hypothetical protein
33,4775,KNOT_814097_PROKKA_52248,26.03,2,2,3.48E4,1,1,1,,36399,hypothetical protein
34,2492,KNOT_11443525_PROKKA_534238,25.42,5,5,7.09E5,1,1,1,,20159,Transcriptional repressor NrdR
3,4789,GROUPS_9140978_PROKKA_212107,24.84,7,7,1.36E8,1,1,6,,11453,hypothetical protein
8,2481,KNOT_5879241_PROKKA_348517,24.54,19,19,5.06E7,1,1,4,,4178,hypothetical protein
20,2513,GROUPS_14154985_PROKKA_603694,23.56,2,2,5.8E4,1,1,1,,42131,Glycosyltransferase Gtf1
21,4826,KNOT_3651020_PROKKA_253264,23.35,2,2,1.51E6,1,1,1,Deamidation (NQ),54224,hypothetical protein
22,39324,GROUPS_14497677_PROKKA_623484,23.30,2,2,4.75E4,1,1,1,,49473,FAD-dependent decaprenylphosphoryl-beta-D-ribofuranose 2-oxidase
37,39325,GROUPS_8464301_PROKKA_164243,22.54,3,3,6.22E5,1,1,1,,35064,2-oxoglutarate dehydrogenase E1 component
9,4796,KNOT_2166087_PROKKA_146631,21.64,2,2,1.06E7,1,1,4,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
9,2544,KNOT_2519828_PROKKA_172943,21.64,1,1,1.06E7,1,1,4,,59890,Polyphosphate kinase
9,4797,KNOT_14573911_PROKKA_604957,21.64,1,1,1.06E7,1,1,4,,74282,Polyphosphate kinase
14,39329,GROUPS_14066284_PROKKA_594274,20.58,4,4,1.58E5,1,1,2,,29619,Pyrroline-5-carboxylate reductase
6,39331,GROUPS_5401211_PROKKA_67581,20.38,7,7,3.62E5,1,1,4,,15417,hypothetical protein
13,5874,GROUPS_11118606_PROKKA_343775,20.23,1,1,5.68E4,1,1,2,Deamidation (NQ),65490,hypothetical protein
40,4787,KNOT_31944104_PROKKA_838750,20.17,11,11,0E0,1,1,1,,7681,hypothetical protein
40,4788,GROUPS_2663599_PROKKA_30233,20.17,3,3,0E0,1,1,1,,27686,3-deoxy-manno-octulosonate cytidylyltransferase
23,21979,KNOT_1730532_PROKKA_115274,20.09,6,6,2.16E3,1,1,1,Deamidation (NQ),37061,dTDP-glucose 4 6-dehydratase
