Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 586-TROCAS7-209-SMPCR_50%_GFFcom1,Area 586-TROCAS7-209-SMPCR_50%_GFFcom1,#Peptides,#Unique,#Spec 586-TROCAS7-209-SMPCR_50%_GFFcom1,PTM,Avg. Mass,Description
1,2,gi|54036848,198.89,14,14,2.27E7,18,18,40,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
73,8800,GROUPS_13634872_PROKKA_549486,34.73,3,3,2.04E5,1,1,1,,36017,Release factor glutamine methyltransferase
45,1543,GROUPS_8908824_PROKKA_199749,32.20,5,5,3.9E4,1,1,1,,17503,hypothetical protein
7,1536,KNOT_14573911_PROKKA_604957,30.86,2,2,4.31E6,2,2,4,,74282,Polyphosphate kinase
30,3171,KNOT_3835830_PROKKA_265539,30.72,10,10,0E0,1,1,1,Carbamidomethylation,20929,Ribosome biogenesis GTPase A
3,8801,GROUPS_14046465_PROKKA_591676,29.51,4,4,3.7E5,1,1,9,,19605,hypothetical protein
74,6330,KNOT_32192192_PROKKA_844286,28.68,4,4,8.31E4,1,1,1,,23304,putative D D-dipeptide transport ATP-binding protein DdpD
75,4100,KNOT_15162823_PROKKA_618933,28.56,7,7,3.6E5,1,1,1,,14668,Ribosome-binding factor A
75,4101,GROUPS_12319827_PROKKA_441638,28.56,3,3,3.6E5,1,1,1,,28378,hypothetical protein
6,4112,KNOT_11806684_PROKKA_545486,27.99,3,3,3.97E7,1,1,5,,26383,hypothetical protein
76,8802,GROUPS_4275957_PROKKA_50305,27.23,5,5,0E0,1,1,1,Oxidation (M); Deamidation (NQ),39059,hypothetical protein
14,4107,GROUPS_12721432_PROKKA_485844,26.93,2,2,2.36E7,1,1,2,Deamidation (NQ),53353,Multidrug resistance protein MdtA
10,22,GROUPS_12647683_PROKKA_470485,26.91,5,5,1.6E7,1,1,3,Deamidation (NQ),20562,hypothetical protein
77,8803,GROUPS_3751775_PROKKA_42418,26.71,14,14,0E0,1,1,1,,9018,Orotate phosphoribosyltransferase
78,8804,KNOT_32560520_PROKKA_855152,26.60,9,9,1.3E5,1,1,1,,10230,hypothetical protein
4,4108,GROUPS_14868716_PROKKA_635212,25.94,1,1,3.35E5,1,1,8,,59891,hypothetical protein
31,4402,KNOT_1096639_PROKKA_71303,25.39,4,4,0E0,1,1,1,Deamidation (NQ),55413,Peptidyl-prolyl cis-trans isomerase D
79,8849,KNOT_10491744_PROKKA_505971,25.33,20,20,4.64E4,1,1,1,,5991,hypothetical protein
80,1551,KNOT_6608724_PROKKA_375222,24.17,5,5,2.76E5,1,1,1,,16151,hypothetical protein
82,9044,KNOT_1071850_PROKKA_69567,23.58,10,10,1.27E4,1,1,1,Deamidation (NQ),17583,hypothetical protein
83,9045,KNOT_1094809_PROKKA_71139,23.40,12,12,0E0,1,1,1,,15352,Signal recognition particle receptor FtsY
11,1563,KNOT_5879241_PROKKA_348517,23.33,19,19,9.15E7,1,1,3,,4178,hypothetical protein
9,9047,KNOT_22106609_PROKKA_723204,23.13,3,3,1.58E4,1,1,3,,25032,hypothetical protein
9,9048,GROUPS_11412037_PROKKA_379987,23.13,3,3,1.58E4,1,1,3,,30031,Glutamate/gamma-aminobutyrate antiporter
47,8836,GROUPS_15166602_PROKKA_654940,22.93,1,1,0E0,1,1,1,,140439,hypothetical protein
32,1547,KNOT_4403361_PROKKA_299720,22.91,2,2,2.88E4,1,1,1,,43907,hypothetical protein
84,1671,KNOT_11948754_PROKKA_549718,22.62,3,3,9.51E4,1,1,1,Deamidation (NQ),39101,Soluble lytic murein transglycosylase
