Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 8,Area Sample 8,#Peptides,#Unique,#Spec Sample 8,PTM,Avg. Mass,Description
3,5,AM_AGSSY_3962856_1,35.72,6,6,6.2E6,1,1,3,,13527,AM_AGSSY_3962856_1
3,4,AM_AGSSY_73454_1,35.72,1,1,6.2E6,1,1,3,,80372,AM_AGSSY_73454_1
26,3998,AM_AGSSY_3545028_1,33.40,5,5,1E4,1,1,1,,16526,AM_AGSSY_3545028_1
26,5389,AM_AGSSY_2769781_1,33.40,4,4,1E4,1,1,1,,21404,AM_AGSSY_2769781_1
26,5390,AM_AGSSY_1758041_1,33.40,3,3,1E4,1,1,1,,29809,AM_AGSSY_1758041_1
26,5391,AM_AGSSY_539575_1,33.40,2,2,1E4,1,1,1,,44361,AM_AGSSY_539575_1
26,5392,AM_AGSSY_427434_1,33.40,2,2,1E4,1,1,1,,47676,AM_AGSSY_427434_1
26,5393,AM_AGSSY_36261_1,33.40,1,1,1E4,1,1,1,,92836,AM_AGSSY_36261_1
4,14,AM_AGSSY_4877884_1,26.45,9,9,1.08E7,1,1,3,,9706,AM_AGSSY_4877884_1
8,18,AM_AGSSY_3044494_1,26.20,5,5,9.38E4,1,1,2,,20127,AM_AGSSY_3044494_1
27,5394,AM_AGSSY_2626372_1,26.00,6,6,1.49E5,1,1,1,,19831,AM_AGSSY_2626372_1
19,1662,AM_AGSSY_1822544_1,24.81,3,3,8.49E6,1,1,1,,27222,AM_AGSSY_1822544_1
19,109,AM_AGSSY_1680574_1,24.81,3,3,8.49E6,1,1,1,,28807,AM_AGSSY_1680574_1
19,1663,AM_AGSSY_537075_1,24.81,2,2,8.49E6,1,1,1,,45531,AM_AGSSY_537075_1
28,93,AM_AGSSY_2487650_1,22.38,3,3,7.3E3,1,1,1,Oxidation (M),24200,AM_AGSSY_2487650_1
28,94,AM_AGSSY_2458673_1,22.38,3,3,7.3E3,1,1,1,Oxidation (M),25053,AM_AGSSY_2458673_1
28,100,AM_AGSSY_1786900_1,22.38,2,2,7.3E3,1,1,1,Oxidation (M),30977,AM_AGSSY_1786900_1
28,21,AM_AGSSY_1553211_1,22.38,2,2,7.3E3,1,1,1,Oxidation (M),32327,AM_AGSSY_1553211_1
12,5424,AM_AGSSY_170686_1,21.14,2,2,3.98E0,1,1,1,Deamidation (NQ),62698,AM_AGSSY_170686_1
16,185,AM_AGSSY_5389380_1,21.07,19,19,0E0,1,1,1,,8295,AM_AGSSY_5389380_1
7,48,AM_AGSSY_3114738_1,21.04,4,4,1.9E6,1,1,2,,18628,AM_AGSSY_3114738_1
7,49,AM_AGSSY_2395304_1,21.04,3,3,1.9E6,1,1,2,,23350,AM_AGSSY_2395304_1
7,50,AM_AGSSY_1376267_1,21.04,2,2,1.9E6,1,1,2,,30883,AM_AGSSY_1376267_1
7,51,AM_AGSSY_1378122_1,21.04,2,2,1.9E6,1,1,2,,31117,AM_AGSSY_1378122_1
7,52,AM_AGSSY_1142851_1,21.04,2,2,1.9E6,1,1,2,,34445,AM_AGSSY_1142851_1
7,53,AM_AGSSY_1146785_1,21.04,2,2,1.9E6,1,1,2,,34522,AM_AGSSY_1146785_1
29,5425,AM_AGSSY_1438855_1,19.63,7,7,3.09E3,1,1,1,Oxidation (M),33152,AM_AGSSY_1438855_1
30,5426,AM_AGSSY_667718_1,18.68,3,3,0E0,1,1,1,,42520,AM_AGSSY_667718_1
22,5428,AM_AGSSY_325469_1,18.54,2,2,1.87E4,1,1,1,,53790,AM_AGSSY_325469_1
11,4846,AM_AGSSY_4526595_1,18.17,11,11,9.11E3,1,1,1,,11930,AM_AGSSY_4526595_1
14,5395,AM_AGSSY_1010508_1,17.97,2,2,6.41E2,1,1,1,,35839,AM_AGSSY_1010508_1
14,5398,AM_AGSSY_8667_1,17.97,1,1,6.41E2,1,1,1,,129084,AM_AGSSY_8667_1
14,5430,AM_AGSSY_6022304_1,17.97,14,14,6.41E2,1,1,1,,5431,AM_AGSSY_6022304_1
14,5431,AM_AGSSY_5840814_1,17.97,12,12,6.41E2,1,1,1,,6437,AM_AGSSY_5840814_1
14,5434,AM_AGSSY_3479061_1,17.97,5,5,6.41E2,1,1,1,,16711,AM_AGSSY_3479061_1
14,5435,AM_AGSSY_1432353_1,17.97,2,2,6.41E2,1,1,1,,31996,AM_AGSSY_1432353_1
14,5437,AM_AGSSY_1240808_1,17.97,2,2,6.41E2,1,1,1,,31892,AM_AGSSY_1240808_1
14,5439,AM_AGSSY_661693_1,17.97,2,2,6.41E2,1,1,1,,42740,AM_AGSSY_661693_1
14,5442,AM_AGSSY_375724_1,17.97,2,2,6.41E2,1,1,1,,50282,AM_AGSSY_375724_1
14,5444,AM_AGSSY_343739_1,17.97,1,1,6.41E2,1,1,1,,50693,AM_AGSSY_343739_1
14,5448,AM_AGSSY_185319_1,17.97,1,1,6.41E2,1,1,1,,59180,AM_AGSSY_185319_1
33,5432,AM_AGSSY_2144288_1,17.84,7,7,2.77E4,1,1,1,,24870,AM_AGSSY_2144288_1
23,5438,AM_AGSSY_2186299_1,17.36,5,5,1.01E4,1,1,1,Oxidation (M),26113,AM_AGSSY_2186299_1
36,5440,AM_AGSSY_4106508_1,17.23,7,7,0E0,1,1,1,,13502,AM_AGSSY_4106508_1
20,5396,AM_AGSSY_4800263_1,17.19,11,11,5.55E3,1,1,1,,9903,AM_AGSSY_4800263_1
39,5445,AM_AGSSY_1025046_1,17.08,3,3,6.03E4,1,1,1,,35321,AM_AGSSY_1025046_1
42,5447,AM_AGSSY_127413_1,16.99,2,2,9.93E3,1,1,1,,67929,AM_AGSSY_127413_1
41,3613,AM_AGSSY_1602912_1,16.99,7,7,2.87E3,1,1,1,Deamidation (NQ),31027,AM_AGSSY_1602912_1
43,5449,AM_AGSSY_1007483_1,16.75,3,3,5.57E2,1,1,1,,34846,AM_AGSSY_1007483_1
9,5452,AM_AGSSY_4294086_1,16.67,6,6,9.34E4,1,1,2,,11689,AM_AGSSY_4294086_1
5,80,AM_AGSSY_740826_1,16.66,3,3,9.27E4,1,1,2,,38259,AM_AGSSY_740826_1
44,5450,AM_AGSSY_3852765_1,16.49,8,8,2.15E4,1,1,1,,14783,AM_AGSSY_3852765_1
45,5453,AM_AGSSY_4014768_1,16.46,7,7,0E0,1,1,1,,13681,AM_AGSSY_4014768_1
17,5454,AM_AGSSY_120073_1,16.42,2,2,3.24E2,1,1,1,Deamidation (NQ),71169,AM_AGSSY_120073_1
50,5461,AM_AGSSY_2892335_1,16.02,6,6,1.39E4,1,1,1,,19426,AM_AGSSY_2892335_1
53,5464,AM_AGSSY_724015_1,15.62,4,4,2.57E2,1,1,1,Deamidation (NQ),44585,AM_AGSSY_724015_1
13,5465,AM_AGSSY_5502252_1,15.55,16,16,1.59E2,1,1,1,,7505,AM_AGSSY_5502252_1
54,5466,AM_AGSSY_3251851_1,15.52,7,7,0E0,1,1,1,Deamidation (NQ),19168,AM_AGSSY_3251851_1
55,5467,AM_AGSSY_1221244_1,15.42,8,8,0E0,1,1,1,Deamidation (NQ),32881,AM_AGSSY_1221244_1
21,5397,AM_AGSSY_1581719_1,15.33,3,3,1.24E4,1,1,1,,30626,AM_AGSSY_1581719_1
