Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,21654,gi|54036848,222.50,11,8,7,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,1661,KNOT_3322267_PROKKA_230329,91.09,16,2,2,Carbamidomethylation,10400,Ferredoxin-1
17,1660,GROUPS_8258265_PROKKA_152159,62.56,17,2,2,,11381,hypothetical protein
2,1,KNOT_19579_PROKKA_01315,61.58,2,1,0,,70810,Chaperone protein ClpB
38,1662,KNOT_23242074_PROKKA_744617,56.34,13,1,1,,9520,10 kDa chaperonin
38,1663,KNOT_32132258_PROKKA_843042,56.34,13,1,1,,9863,10 kDa chaperonin 1
38,1664,KNOT_32911465_PROKKA_865131,56.34,13,1,1,,9873,10 kDa chaperonin 1
38,1665,KNOT_2674513_PROKKA_184061,56.34,13,1,1,,9925,10 kDa chaperonin 1
38,1666,KNOT_13836576_PROKKA_589500,56.34,13,1,1,,9987,10 kDa chaperonin 5
38,1667,KNOT_2294674_PROKKA_156126,56.34,13,1,1,,9951,10 kDa chaperonin
38,1668,KNOT_22486748_PROKKA_733078,56.34,13,1,1,,10000,10 kDa chaperonin 1
38,1669,KNOT_35289529_PROKKA_889789,56.34,13,1,1,,9847,10 kDa chaperonin 1
38,1670,KNOT_2657992_PROKKA_182828,56.34,13,1,1,,9923,10 kDa chaperonin 3
38,1671,GROUPS_6567566_PROKKA_90498,56.34,12,1,1,,10216,10 kDa chaperonin
38,1672,KNOT_31367252_PROKKA_825466,56.34,12,1,1,,10607,10 kDa chaperonin 1
38,1673,KNOT_20434348_PROKKA_690666,56.34,12,1,1,,10602,10 kDa chaperonin 1
38,1674,KNOT_540660_PROKKA_34679,56.34,12,1,1,,10928,10 kDa chaperonin
211,1675,KNOT_34367902_PROKKA_882053,52.12,16,1,1,Carbamidomethylation,8798,Photosystem I iron-sulfur center
211,1676,KNOT_14313593_PROKKA_599191,52.12,16,1,1,Carbamidomethylation,8782,Photosystem I iron-sulfur center
15,1659,KNOT_32707518_PROKKA_859962,43.77,0,0,0,,13899,C-phycocyanin beta chain
39,1693,KNOT_6482764_PROKKA_370417,43.02,5,1,1,,17190,hypothetical protein
40,1736,KNOT_1666766_PROKKA_110827,41.57,0,0,0,,35993,hypothetical protein
113,1677,GROUPS_11377546_PROKKA_373593,41.09,17,1,1,,5377,hypothetical protein
113,1684,GROUPS_12322695_PROKKA_442123,41.09,9,1,1,,9681,hypothetical protein
113,1685,KNOT_14061391_PROKKA_593867,41.09,3,1,1,,26984,Putative gluconeogenesis factor
113,1687,KNOT_2990128_PROKKA_206562,41.09,2,1,1,,33899,Putative gluconeogenesis factor
76,1696,GROUPS_11395624_PROKKA_377096,40.65,3,1,1,,38796,2-O-methyltransferase NoeI
33,1713,GROUPS_4367623_PROKKA_51448,40.07,0,0,0,,25027,Bacterial actin-related protein
33,1766,KNOT_32064042_PROKKA_841602,40.07,0,0,0,,13536,Bacterial actin-related protein
41,1752,GROUPS_11610288_PROKKA_403129,38.86,5,1,1,,16429,tRNA-specific adenosine deaminase
41,1753,GROUPS_9717243_PROKKA_238661,38.86,4,1,1,,18218,hypothetical protein
41,1754,KNOT_4082050_PROKKA_280805,38.86,4,1,1,,19839,Aldehyde-alcohol dehydrogenase
41,1756,GROUPS_14471231_PROKKA_620836,38.86,3,1,1,,29318,Sigma factor SigB regulation protein RsbQ
212,1776,GROUPS_12598166_PROKKA_457734,37.56,4,1,1,,18850,hypothetical protein
31,1683,KNOT_33187681_PROKKA_870751,36.27,0,0,0,,101698,Bifunctional uridylyltransferase/uridylyl-removing enzyme
10,1727,KNOT_7850294_PROKKA_424167,35.67,0,0,0,,15170,50S ribosomal protein L11
69,1686,GROUPS_15262428_PROKKA_668124,35.33,11,1,1,,9677,ATP synthase subunit beta
213,1771,KNOT_3999470_PROKKA_275836,35.22,4,1,1,,19995,hypothetical protein
114,1698,GROUPS_8089684_PROKKA_145999,34.59,11,1,1,,9898,hypothetical protein
80,1716,GROUPS_12722306_PROKKA_486022,34.07,8,1,1,,10265,hypothetical protein
80,1755,KNOT_5612126_PROKKA_339596,34.07,3,1,1,,24709,hypothetical protein
6,1804,KNOT_7621206_PROKKA_415117,33.69,2,1,1,,31935,Ribonuclease HIII
6,1726,GROUPS_11553646_PROKKA_399065,33.69,3,1,1,,26623,hypothetical protein
30,1740,KNOT_27658974_PROKKA_785420,33.15,0,0,0,,47140,hypothetical protein
51,1997,KNOT_34719078_PROKKA_884977,32.83,0,0,0,,38730,hypothetical protein
46,1767,GROUPS_15318041_PROKKA_674231,32.54,8,1,1,,11712,hypothetical protein
131,1768,GROUPS_11981524_PROKKA_428578,32.15,4,1,1,,47177,hypothetical protein
42,1751,KNOT_11443979_PROKKA_534250,31.75,0,0,0,,24789,Malonyl-[acyl-carrier protein] O-methyltransferase
215,1715,GROUPS_15466502_PROKKA_684647,31.67,1,1,1,,89272,CCA-adding enzyme
60,1773,KNOT_32043586_PROKKA_841216,31.19,3,1,1,,39096,Valine--tRNA ligase
24,1884,GROUPS_15306015_PROKKA_673013,30.29,6,1,1,,14982,hypothetical protein
217,1939,KNOT_3833431_PROKKA_265393,30.15,11,1,1,,7738,hypothetical protein
25,1762,KNOT_7939765_PROKKA_427686,29.98,4,1,1,,28026,hypothetical protein
22,2249,GROUPS_13883886_PROKKA_560880,29.58,0,0,0,,21951,hypothetical protein
128,1724,KNOT_7533421_PROKKA_411577,29.45,1,1,1,,86188,Outer membrane protein assembly factor BamA
218,1905,KNOT_32557517_PROKKA_855050,29.43,13,1,1,,9109,hypothetical protein
221,1778,KNOT_3613696_PROKKA_250715,29.38,0,0,0,,42186,Multidrug resistance protein MdtA
43,1759,KNOT_2499015_PROKKA_171367,29.22,0,0,0,,34872,DNA-directed RNA polymerase subunit alpha
219,12605,KNOT_19444214_PROKKA_677591,29.16,0,0,0,,12695,hypothetical protein
119,1788,KNOT_4469101_PROKKA_303427,28.80,0,0,0,,12350,50S ribosomal protein L7/L12
119,1725,KNOT_8422303_PROKKA_446009,28.80,0,0,0,,12831,50S ribosomal protein L7/L12
119,1780,KNOT_2083922_PROKKA_140495,28.80,0,0,0,,5143,50S ribosomal protein L7/L12
119,1782,KNOT_617567_PROKKA_39512,28.80,0,0,0,,6655,50S ribosomal protein L7/L12
119,1783,KNOT_32180608_PROKKA_844065,28.80,0,0,0,,6630,50S ribosomal protein L7/L12
119,1784,GROUPS_7305621_PROKKA_120681,28.80,0,0,0,,6997,50S ribosomal protein L7/L12
119,1712,KNOT_9432011_PROKKA_477102,28.80,0,0,0,,9115,50S ribosomal protein L7/L12
119,1785,KNOT_2721391_PROKKA_187405,28.80,0,0,0,,9361,50S ribosomal protein L7/L12
119,1786,KNOT_8811887_PROKKA_460457,28.80,0,0,0,,10672,50S ribosomal protein L7/L12
119,1787,GROUPS_14096391_PROKKA_597603,28.80,0,0,0,,12466,50S ribosomal protein L7/L12
119,1789,KNOT_4666419_PROKKA_311225,28.80,0,0,0,,12670,50S ribosomal protein L7/L12
119,1790,KNOT_24556732_PROKKA_758254,28.80,0,0,0,,12576,50S ribosomal protein L7/L12
119,1791,KNOT_20376048_PROKKA_689834,28.80,0,0,0,,12547,50S ribosomal protein L7/L12
119,1792,KNOT_21958971_PROKKA_715893,28.80,0,0,0,,12968,50S ribosomal protein L7/L12
119,1793,KNOT_22042973_PROKKA_720627,28.80,0,0,0,,12515,50S ribosomal protein L7/L12
119,1794,KNOT_1523290_PROKKA_100564,28.80,0,0,0,,12876,50S ribosomal protein L7/L12
119,1795,KNOT_2099222_PROKKA_141744,28.80,0,0,0,,12684,50S ribosomal protein L7/L12
119,1796,GROUPS_127716_PROKKA_02151,28.80,0,0,0,,12854,50S ribosomal protein L7/L12
119,1797,KNOT_3024631_PROKKA_209002,28.80,0,0,0,,13126,50S ribosomal protein L7/L12
119,1798,GROUPS_7266582_PROKKA_119186,28.80,0,0,0,,13484,50S ribosomal protein L7/L12
