Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-311-SMCP,Area Trocas7-311-SMCP,#Peptides,#Unique,#Spec Trocas7-311-SMCP,PTM,Avg. Mass,Description
21,2469,KNOT_4594749_PROKKA_309394,34.02,3,3,7.07E4,1,1,2,,36417,hypothetical protein
19,10536,KNOT_23107253_PROKKA_742842,30.70,13,13,4.96E5,2,2,2,,15916,Histone H1-like protein HC2
22,2492,KNOT_11443525_PROKKA_534238,29.90,5,5,5.88E5,1,1,2,,20159,Transcriptional repressor NrdR
2,32282,GROUPS_10454004_PROKKA_306068,29.67,4,4,2.26E4,1,1,6,,22779,hypothetical protein
6,32283,GROUPS_10250773_PROKKA_293283,27.64,14,14,2.36E4,1,1,4,,6971,hypothetical protein
11,2481,KNOT_5879241_PROKKA_348517,27.10,19,19,2.48E7,1,1,4,,4178,hypothetical protein
20,32298,KNOT_2926546_PROKKA_202051,26.37,16,16,0E0,2,2,2,Deamidation (NQ); Oxidation (M),18989,Transcriptional regulatory protein ZraR
10,4789,GROUPS_9140978_PROKKA_212107,25.68,7,7,6.48E7,1,1,4,,11453,hypothetical protein
23,32287,GROUPS_6962403_PROKKA_105778,25.53,6,6,2.7E5,1,1,2,,15002,hypothetical protein
69,32296,GROUPS_15182165_PROKKA_657403,24.56,2,2,6.48E4,1,1,1,,79170,DNA topoisomerase 3
35,32299,GROUPS_15157054_PROKKA_653227,23.58,3,3,0E0,1,1,1,,34419,hypothetical protein
70,32307,KNOT_3092295_PROKKA_213791,23.25,8,8,0E0,1,1,1,Deamidation (NQ); Oxidation (M),32552,Fructose-bisphosphate aldolase
52,32313,GROUPS_606644_PROKKA_07444,23.13,11,11,0E0,1,1,1,,7426,hypothetical protein
54,32323,KNOT_390715_PROKKA_25125,23.06,3,3,1E5,1,1,1,,28977,hypothetical protein
16,32366,KNOT_18217610_PROKKA_660762,22.87,2,2,2.47E5,1,1,2,,28436,3-oxoacyl-[acyl-carrier-protein] reductase FabG
55,32373,GROUPS_9434908_PROKKA_221552,22.52,3,3,0E0,1,1,1,,31292,hypothetical protein
33,32379,KNOT_1472601_PROKKA_97079,22.46,2,2,0E0,1,1,1,,52989,Sulfoacetaldehyde acetyltransferase
72,32385,GROUPS_13978657_PROKKA_581325,22.23,4,4,1.26E4,1,1,1,,26316,putative glycosyltransferase
56,8986,GROUPS_11465687_PROKKA_388925,21.89,4,4,3.84E5,1,1,1,,23435,hypothetical protein
44,24892,KNOT_3005054_PROKKA_207624,21.88,17,17,0E0,1,1,1,,12297,Maleamate amidohydrolase
74,2561,KNOT_4440374_PROKKA_301879,21.51,2,2,2.87E5,1,1,1,,41176,hypothetical protein
73,16441,GROUPS_13834072_PROKKA_557536,21.31,7,7,0E0,1,1,1,Deamidation (NQ),28210,hypothetical protein
7,5951,KNOT_6855810_PROKKA_384782,20.97,5,5,7.04E5,1,1,4,,18653,hypothetical protein
75,32393,GROUPS_15165197_PROKKA_654639,20.85,9,9,4.68E4,1,1,1,,11680,Copper-exporting P-type ATPase A
76,32394,KNOT_19365583_PROKKA_676581,20.55,12,12,1.32E4,1,1,1,,8383,hypothetical protein
8,32395,GROUPS_3371906_PROKKA_36989,20.47,9,9,8.17E4,1,1,4,,9667,hypothetical protein
58,5276,GROUPS_12647683_PROKKA_470485,20.35,5,5,6.05E5,1,1,1,Deamidation (NQ),20562,hypothetical protein
