Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 3,Area Sample 3,#Peptides,#Unique,#Spec Sample 3,PTM,Avg. Mass,Description
6,5,AM_AGSSY_3962856_1,37.99,6,6,8.78E6,1,1,3,,13527,AM_AGSSY_3962856_1
6,4,AM_AGSSY_73454_1,37.99,1,1,8.78E6,1,1,3,,80372,AM_AGSSY_73454_1
18,736,AM_AGSSY_43833_1,30.69,1,1,1.93E3,1,1,1,,95758,AM_AGSSY_43833_1
7,14,AM_AGSSY_4877884_1,27.38,9,9,1.36E7,1,1,3,,9706,AM_AGSSY_4877884_1
19,737,AM_AGSSY_1640725_1,26.34,3,3,3.92E5,1,1,1,,26573,AM_AGSSY_1640725_1
3,781,AM_AGSSY_1480530_1,23.04,3,3,2.65E5,1,1,6,,30490,AM_AGSSY_1480530_1
20,782,AM_AGSSY_5513578_1,22.93,12,12,0E0,1,1,1,,6977,AM_AGSSY_5513578_1
21,784,AM_AGSSY_1216688_1,22.02,3,3,0E0,1,1,1,,33612,AM_AGSSY_1216688_1
22,785,AM_AGSSY_1856665_1,21.84,3,3,3.65E3,1,1,1,,26702,AM_AGSSY_1856665_1
10,786,AM_AGSSY_5063306_1,21.10,13,13,4.36E3,1,1,1,,9645,AM_AGSSY_5063306_1
25,789,AM_AGSSY_3553642_1,19.74,5,5,5.58E5,1,1,1,,16429,AM_AGSSY_3553642_1
25,791,AM_AGSSY_1005228_1,19.74,2,2,5.58E5,1,1,1,,37334,AM_AGSSY_1005228_1
25,801,AM_AGSSY_72995_1,19.74,1,1,5.58E5,1,1,1,,81338,AM_AGSSY_72995_1
24,788,AM_AGSSY_5850795_1,19.54,21,21,9.28E3,1,1,1,Carbamidomethylation,6042,AM_AGSSY_5850795_1
26,790,AM_AGSSY_5091594_1,19.35,9,9,6.84E4,1,1,1,,9949,AM_AGSSY_5091594_1
26,793,AM_AGSSY_3643878_1,19.35,5,5,6.84E4,1,1,1,,15128,AM_AGSSY_3643878_1
26,794,AM_AGSSY_2832476_1,19.35,4,4,6.84E4,1,1,1,,19888,AM_AGSSY_2832476_1
26,795,AM_AGSSY_2680101_1,19.35,4,4,6.84E4,1,1,1,,21083,AM_AGSSY_2680101_1
26,796,AM_AGSSY_1684414_1,19.35,3,3,6.84E4,1,1,1,,29085,AM_AGSSY_1684414_1
26,797,AM_AGSSY_1552420_1,19.35,3,3,6.84E4,1,1,1,,28916,AM_AGSSY_1552420_1
26,798,AM_AGSSY_778595_1,19.35,2,2,6.84E4,1,1,1,,39774,AM_AGSSY_778595_1
26,799,AM_AGSSY_692134_1,19.35,2,2,6.84E4,1,1,1,,40316,AM_AGSSY_692134_1
26,800,AM_AGSSY_577565_1,19.35,2,2,6.84E4,1,1,1,,44218,AM_AGSSY_577565_1
11,792,AM_AGSSY_1726919_1,19.11,6,6,1.74E5,1,1,1,,27339,AM_AGSSY_1726919_1
27,802,AM_AGSSY_18353_1,18.09,1,1,0E0,1,1,1,,110680,AM_AGSSY_18353_1
28,803,AM_AGSSY_3257778_1,18.05,6,6,6.73E3,1,1,1,,18047,AM_AGSSY_3257778_1
9,804,AM_AGSSY_616878_1,17.24,4,4,1.34E5,1,1,1,Deamidation (NQ),44584,AM_AGSSY_616878_1
2,805,AM_AGSSY_605184_1,17.04,4,4,1.21E4,1,1,6,,42305,AM_AGSSY_605184_1
30,807,AM_AGSSY_2396321_1,16.67,5,5,4.87E3,1,1,1,,23269,AM_AGSSY_2396321_1
14,808,AM_AGSSY_3633352_1,16.56,6,6,1.71E3,1,1,1,,16203,AM_AGSSY_3633352_1
32,810,AM_AGSSY_884311_1,16.27,3,3,1.76E3,1,1,1,,36941,AM_AGSSY_884311_1
34,812,AM_AGSSY_7817_1,16.10,1,1,4.27E4,1,1,1,,135504,AM_AGSSY_7817_1
37,815,AM_AGSSY_4755130_1,15.70,16,16,4.11E2,1,1,1,,10376,AM_AGSSY_4755130_1
39,817,AM_AGSSY_2348061_1,15.56,5,5,0E0,1,1,1,Oxidation (M),23856,AM_AGSSY_2348061_1
40,818,AM_AGSSY_2268862_1,15.55,4,4,8.17E2,1,1,1,,24515,AM_AGSSY_2268862_1
15,819,AM_AGSSY_3192314_1,15.46,5,5,9.79E3,1,1,1,,17611,AM_AGSSY_3192314_1
17,822,AM_AGSSY_43935_1,15.18,2,2,0E0,1,1,1,,91947,AM_AGSSY_43935_1
44,825,AM_AGSSY_1996458_1,15.15,3,3,1.09E3,1,1,1,,27504,AM_AGSSY_1996458_1
