Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 591-TROCAS7-221-NMCPM_50%_GFFcom1_B,Area 591-TROCAS7-221-NMCPM_50%_GFFcom1_B,#Peptides,#Unique,#Spec 591-TROCAS7-221-NMCPM_50%_GFFcom1_B,PTM,Avg. Mass,Description
1,2,gi|54036848,88.10,4,4,3.99E6,5,5,10,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
32,1560,GROUPS_9925305_PROKKA_254397,34.38,6,6,2.79E6,1,1,1,,16439,hypothetical protein
33,1563,KNOT_5879241_PROKKA_348517,31.30,19,19,2.8E7,1,1,1,,4178,hypothetical protein
15,11144,GROUPS_8088468_PROKKA_145902,26.98,2,2,1E4,1,1,1,,38400,N-acetyl-alpha-D-glucosaminyl L-malate synthase
7,1982,GROUPS_9140978_PROKKA_212107,26.02,7,7,1.6E7,1,1,2,,11453,hypothetical protein
34,11155,KNOT_30734896_PROKKA_810922,25.71,3,3,0E0,1,1,1,,35067,hypothetical protein
35,11158,KNOT_22801591_PROKKA_738534,25.68,8,8,6.75E3,1,1,1,Deamidation (NQ),14035,hypothetical protein
35,11159,KNOT_21598446_PROKKA_708886,25.68,8,8,6.75E3,1,1,1,Deamidation (NQ),14080,hypothetical protein
8,11179,GROUPS_11996755_PROKKA_429123,25.13,3,3,3.71E6,1,1,2,,34667,Sensory/regulatory protein RpfC
36,11183,KNOT_35169760_PROKKA_888867,23.94,2,2,1.02E5,1,1,1,,58811,hypothetical protein
39,11200,KNOT_33968303_PROKKA_878800,22.76,3,3,1.78E4,1,1,1,,26387,hypothetical protein
39,11204,GROUPS_15127150_PROKKA_647058,22.76,2,2,1.78E4,1,1,1,,44088,hypothetical protein
16,11145,KNOT_12594341_PROKKA_567481,22.10,2,2,0E0,1,1,1,Deamidation (NQ),88535,hypothetical protein
23,11193,KNOT_15661894_PROKKA_629246,21.22,2,2,0E0,1,1,1,,40323,D-inositol 3-phosphate glycosyltransferase
42,1624,KNOT_2166087_PROKKA_146631,21.16,2,2,2.68E5,1,1,1,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
42,4348,KNOT_2519828_PROKKA_172943,21.16,1,1,2.68E5,1,1,1,,59890,Polyphosphate kinase
42,1536,KNOT_14573911_PROKKA_604957,21.16,1,1,2.68E5,1,1,1,,74282,Polyphosphate kinase
40,11201,GROUPS_10262427_PROKKA_294175,20.92,4,4,0E0,1,1,1,Carbamidomethylation,22406,hypothetical protein
41,11203,GROUPS_5360209_PROKKA_65874,20.78,7,7,1.21E5,1,1,1,,16141,hypothetical protein
