Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-206-Chav,Area Trocas7-206-Chav,#Peptides,#Unique,#Spec Trocas7-206-Chav,PTM,Avg. Mass,Description
9,5276,GROUPS_12647683_PROKKA_470485,30.88,5,5,7.66E6,1,1,4,Deamidation (NQ),20562,hypothetical protein
3,5934,KNOT_32538509_PROKKA_854302,29.47,6,6,6.96E6,1,1,6,,14490,hypothetical protein
3,5935,KNOT_32373984_PROKKA_848250,29.47,5,5,6.96E6,1,1,6,,16587,Acetyl-coenzyme A synthetase
10,2492,KNOT_11443525_PROKKA_534238,26.22,5,5,5.52E6,1,1,4,,20159,Transcriptional repressor NrdR
26,6924,GROUPS_13123568_PROKKA_522913,25.24,5,5,3.54E5,1,1,1,,21556,hypothetical protein
6,2481,KNOT_5879241_PROKKA_348517,24.77,19,19,4.21E7,1,1,5,,4178,hypothetical protein
7,4789,GROUPS_9140978_PROKKA_212107,22.87,7,7,1.12E8,1,1,5,,11453,hypothetical protein
12,5202,GROUPS_14067386_PROKKA_594436,22.85,4,4,8.79E4,1,1,2,,20921,hypothetical protein
2,6926,KNOT_13489551_PROKKA_583098,22.22,11,11,0E0,1,1,7,,7471,hypothetical protein
2,6928,KNOT_22497602_PROKKA_733264,22.22,2,2,0E0,1,1,7,,38954,hypothetical protein
29,5938,KNOT_8590074_PROKKA_451923,22.10,5,5,2.69E4,1,1,1,,13389,hypothetical protein
29,5939,KNOT_21901691_PROKKA_714089,22.10,5,5,2.69E4,1,1,1,,13844,Histidinol dehydrogenase
29,5940,KNOT_8410314_PROKKA_445578,22.10,4,4,2.69E4,1,1,1,,17239,hypothetical protein
29,5941,KNOT_31750102_PROKKA_834452,22.10,4,4,2.69E4,1,1,1,,17636,hypothetical protein
29,5942,KNOT_19887706_PROKKA_683781,22.10,3,3,2.69E4,1,1,1,,18273,Glycerol-3-phosphate regulon repressor
29,5944,KNOT_13440531_PROKKA_582283,22.10,3,3,2.69E4,1,1,1,,22707,hypothetical protein
29,5948,KNOT_27597537_PROKKA_784942,22.10,1,1,2.69E4,1,1,1,,69649,hypothetical protein
13,6927,GROUPS_6489841_PROKKA_88215,21.90,6,6,1.17E5,1,1,2,Oxidation (M),19860,hypothetical protein
8,4796,KNOT_2166087_PROKKA_146631,21.61,2,2,5.32E6,1,1,4,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
8,4797,KNOT_14573911_PROKKA_604957,21.61,1,1,5.32E6,1,1,4,,74282,Polyphosphate kinase
8,2544,KNOT_2519828_PROKKA_172943,21.61,1,1,5.32E6,1,1,4,,59890,Polyphosphate kinase
28,2561,KNOT_4440374_PROKKA_301879,21.58,2,2,3.11E5,1,1,1,,41176,hypothetical protein
30,6929,GROUPS_8423012_PROKKA_158061,21.12,4,4,1.83E5,1,1,1,,24929,hypothetical protein
31,6930,KNOT_526384_PROKKA_33772,20.86,8,8,3.07E6,1,1,1,,10231,hypothetical protein
31,6931,KNOT_13494751_PROKKA_583174,20.86,1,1,3.07E6,1,1,1,,98373,hypothetical protein
14,6932,KNOT_6603157_PROKKA_374993,20.12,5,5,8.47E4,1,1,2,,35697,2 6-dihydropseudooxynicotine hydrolase
