Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Area Sample 1,#Peptides,#Unique,#Spec Sample 1,PTM,Avg. Mass,Description
11,4,AM_AGSSY_73454_1,34.23,1,1,6.9E6,1,1,2,,80372,AM_AGSSY_73454_1
11,5,AM_AGSSY_3962856_1,34.23,6,6,6.9E6,1,1,2,,13527,AM_AGSSY_3962856_1
28,1640,AM_AGSSY_2626045_1,28.35,6,6,0E0,1,1,1,,20874,AM_AGSSY_2626045_1
2,14,AM_AGSSY_4877884_1,26.38,9,9,1.17E7,1,1,7,,9706,AM_AGSSY_4877884_1
6,40,AM_AGSSY_2966353_1,25.04,6,6,3.4E4,1,1,3,,18355,AM_AGSSY_2966353_1
29,1662,AM_AGSSY_1822544_1,24.99,3,3,1.06E7,1,1,1,,27222,AM_AGSSY_1822544_1
29,109,AM_AGSSY_1680574_1,24.99,3,3,1.06E7,1,1,1,,28807,AM_AGSSY_1680574_1
29,1663,AM_AGSSY_537075_1,24.99,2,2,1.06E7,1,1,1,,45531,AM_AGSSY_537075_1
30,1666,AM_AGSSY_3934_1,24.41,1,1,5.7E3,1,1,1,,146782,AM_AGSSY_3934_1
31,1669,AM_AGSSY_5975858_1,23.52,28,28,0E0,1,1,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6491,AM_AGSSY_5975858_1
8,782,AM_AGSSY_5513578_1,23.24,12,12,1.24E6,1,1,3,,6977,AM_AGSSY_5513578_1
32,1671,AM_AGSSY_4991571_1,22.56,23,23,0E0,1,1,1,,9951,AM_AGSSY_4991571_1
33,1672,AM_AGSSY_1358823_1,22.47,3,3,3.21E3,1,1,1,,30323,AM_AGSSY_1358823_1
3,1675,AM_AGSSY_3607711_1,21.22,8,8,2.87E4,1,1,7,,15968,AM_AGSSY_3607711_1
23,1676,AM_AGSSY_2710872_1,21.02,6,6,0E0,1,1,1,,20960,AM_AGSSY_2710872_1
36,786,AM_AGSSY_5063306_1,20.56,13,13,7.5E3,1,1,1,,9645,AM_AGSSY_5063306_1
16,1678,AM_AGSSY_84070_1,20.47,2,2,0E0,1,1,1,,78821,AM_AGSSY_84070_1
1,1680,AM_AGSSY_597680_1,20.31,3,3,3.47E4,1,1,12,,43644,AM_AGSSY_597680_1
13,1682,AM_AGSSY_2296987_1,19.86,4,4,4.5E4,1,1,2,,24041,AM_AGSSY_2296987_1
40,1683,AM_AGSSY_105517_1,19.80,2,2,8.17E3,1,1,1,,72779,AM_AGSSY_105517_1
5,1684,AM_AGSSY_3119946_1,19.76,8,8,4.99E4,1,1,4,,17651,AM_AGSSY_3119946_1
17,1687,AM_AGSSY_2920224_1,18.79,5,5,2.34E5,1,1,1,,19407,AM_AGSSY_2920224_1
15,50,AM_AGSSY_1376267_1,18.25,2,2,2.22E6,1,1,1,,30883,AM_AGSSY_1376267_1
15,48,AM_AGSSY_3114738_1,18.25,4,4,2.22E6,1,1,1,,18628,AM_AGSSY_3114738_1
15,49,AM_AGSSY_2395304_1,18.25,3,3,2.22E6,1,1,1,,23350,AM_AGSSY_2395304_1
15,51,AM_AGSSY_1378122_1,18.25,2,2,2.22E6,1,1,1,,31117,AM_AGSSY_1378122_1
15,52,AM_AGSSY_1142851_1,18.25,2,2,2.22E6,1,1,1,,34445,AM_AGSSY_1142851_1
15,53,AM_AGSSY_1146785_1,18.25,2,2,2.22E6,1,1,1,,34522,AM_AGSSY_1146785_1
43,1689,AM_AGSSY_488155_1,18.21,3,3,0E0,1,1,1,,44982,AM_AGSSY_488155_1
44,1690,AM_AGSSY_573580_1,18.00,5,5,0E0,1,1,1,Deamidation (NQ),45261,AM_AGSSY_573580_1
21,1620,AM_AGSSY_1833307_1,17.97,4,4,1.85E4,1,1,1,Oxidation (M),28436,AM_AGSSY_1833307_1
46,1692,AM_AGSSY_1176497_1,17.79,3,3,2.01E4,1,1,1,,37493,AM_AGSSY_1176497_1
53,1700,AM_AGSSY_883736_1,17.50,2,2,7.57E3,1,1,1,,34745,AM_AGSSY_883736_1
24,1694,AM_AGSSY_2151446_1,17.47,5,5,5.49E3,1,1,1,,25826,AM_AGSSY_2151446_1
49,1695,AM_AGSSY_302939_1,17.39,2,2,5.93E3,1,1,1,,54651,AM_AGSSY_302939_1
22,1621,AM_AGSSY_2070986_1,17.34,4,4,2.66E3,1,1,1,,25404,AM_AGSSY_2070986_1
48,219,AM_AGSSY_169646_1,17.24,2,2,4.7E3,1,1,1,,61419,AM_AGSSY_169646_1
50,1696,AM_AGSSY_4922112_1,17.20,15,15,3.69E3,1,1,1,,9379,AM_AGSSY_4922112_1
18,1698,AM_AGSSY_60352_1,17.13,1,1,6.02E3,1,1,1,,82622,AM_AGSSY_60352_1
51,1697,AM_AGSSY_36780_1,17.07,2,2,0E0,1,1,1,Deamidation (NQ),95640,AM_AGSSY_36780_1
52,1699,AM_AGSSY_1571064_1,17.05,7,7,1.14E4,1,1,1,Deamidation (NQ),30273,AM_AGSSY_1571064_1
54,1701,AM_AGSSY_543707_1,16.83,5,5,1.38E3,1,1,1,Deamidation (NQ),44259,AM_AGSSY_543707_1
55,1702,AM_AGSSY_780834_1,16.79,3,3,0E0,1,1,1,,36404,AM_AGSSY_780834_1
14,1703,AM_AGSSY_4419230_1,16.78,8,8,5.92E4,1,1,1,,12883,AM_AGSSY_4419230_1
9,1704,AM_AGSSY_12120_1,16.72,1,1,2.13E5,1,1,2,,123760,AM_AGSSY_12120_1
56,1705,AM_AGSSY_3616863_1,16.64,9,9,9.22E4,1,1,1,,15843,AM_AGSSY_3616863_1
57,1706,AM_AGSSY_4076234_1,16.47,9,9,2.12E4,1,1,1,,13908,AM_AGSSY_4076234_1
19,1707,AM_AGSSY_604682_1,16.23,3,3,1.47E4,1,1,1,,43610,AM_AGSSY_604682_1
60,1711,AM_AGSSY_1634878_1,15.57,4,4,9.32E3,1,1,1,,30702,AM_AGSSY_1634878_1
61,1712,AM_AGSSY_747317_1,15.53,3,3,3.82E3,1,1,1,,41440,AM_AGSSY_747317_1
20,1713,AM_AGSSY_1027483_1,15.40,3,3,8.09E3,1,1,1,,34627,AM_AGSSY_1027483_1
65,1718,AM_AGSSY_301634_1,15.13,2,2,4.54E3,1,1,1,,53727,AM_AGSSY_301634_1
