Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-302-Bay,Area Trocas7-302-Bay,#Peptides,#Unique,#Spec Trocas7-302-Bay,PTM,Avg. Mass,Description
5,2469,KNOT_4594749_PROKKA_309394,34.33,3,3,6.65E5,1,1,4,,36417,hypothetical protein
2,4789,GROUPS_9140978_PROKKA_212107,27.98,7,7,5.82E7,1,1,6,,11453,hypothetical protein
48,2492,KNOT_11443525_PROKKA_534238,27.70,5,5,2.82E5,1,1,1,,20159,Transcriptional repressor NrdR
4,37378,KNOT_3663241_PROKKA_254096,26.75,5,5,6.57E5,1,1,4,,20006,Putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyl-transferase 1
34,2604,GROUPS_6568082_PROKKA_90512,26.33,25,25,4.2E3,1,1,1,Deamidation (NQ); Oxidation (M),7003,hypothetical protein
49,2513,GROUPS_14154985_PROKKA_603694,25.78,2,2,9.71E4,1,1,1,,42131,Glycosyltransferase Gtf1
17,37380,KNOT_10003482_PROKKA_492196,24.89,5,5,5.35E4,1,1,2,,20244,Hypoxanthine-guanine phosphoribosyltransferase
13,2514,KNOT_32904946_PROKKA_864996,24.12,3,3,9.14E6,1,1,2,Deamidation (NQ),64669,hypothetical protein
50,2613,KNOT_33924757_PROKKA_878450,23.18,9,9,1.85E5,1,1,1,,14509,Oxygen-independent coproporphyrinogen-III oxidase
11,37394,GROUPS_7531171_PROKKA_128624,22.97,11,11,1.78E5,1,1,3,,22187,hypothetical protein
18,37396,KNOT_9792362_PROKKA_486610,22.29,11,11,2.58E4,1,1,2,,6886,hypothetical protein
18,2632,KNOT_8585664_PROKKA_451758,22.29,8,8,2.58E4,1,1,2,,9506,hypothetical protein
18,37397,KNOT_6092400_PROKKA_355944,22.29,6,6,2.58E4,1,1,2,,12922,hypothetical protein
18,2635,KNOT_19394264_PROKKA_676955,22.29,3,3,2.58E4,1,1,2,,23219,Lipoprotein-releasing system transmembrane protein LolE
18,2524,KNOT_21194543_PROKKA_702059,22.29,2,2,2.58E4,1,1,2,,33160,hypothetical protein
18,37399,KNOT_6427247_PROKKA_368350,22.29,2,2,2.58E4,1,1,2,,44873,Transcriptional regulatory protein ZraR
40,2551,KNOT_12188301_PROKKA_556744,21.85,2,2,0E0,1,1,1,,76106,Virulence sensor protein BvgS
14,11465,KNOT_10599942_PROKKA_509193,21.48,3,3,1.82E4,1,1,2,,40420,GTPase Der
19,37400,KNOT_4133454_PROKKA_283861,20.98,5,5,6.32E5,1,1,2,,20327,hypothetical protein
51,2631,KNOT_1958381_PROKKA_131642,20.80,10,10,9.21E4,1,1,1,,14972,hypothetical protein
52,2557,KNOT_1837512_PROKKA_123066,20.74,10,10,4.43E4,1,1,1,Oxidation (M),8268,hypothetical protein
7,2545,GROUPS_10019017_PROKKA_271181,20.71,8,8,3.27E5,1,1,3,,15147,hypothetical protein
54,37402,KNOT_9445757_PROKKA_477495,20.12,3,3,3.7E0,1,1,1,,59681,hypothetical protein
