Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 9,Area Sample 9,#Peptides,#Unique,#Spec Sample 9,PTM,Avg. Mass,Description
5,4,AM_AGSSY_73454_1,37.57,1,1,1.7E6,1,1,2,,80372,AM_AGSSY_73454_1
5,5,AM_AGSSY_3962856_1,37.57,6,6,1.7E6,1,1,2,,13527,AM_AGSSY_3962856_1
16,6247,AM_AGSSY_5878827_1,25.55,14,14,1.89E4,1,1,1,,6631,AM_AGSSY_5878827_1
16,6248,AM_AGSSY_5819386_1,25.55,14,14,1.89E4,1,1,1,,6293,AM_AGSSY_5819386_1
16,6249,AM_AGSSY_4444755_1,25.55,7,7,1.89E4,1,1,1,,12386,AM_AGSSY_4444755_1
4,14,AM_AGSSY_4877884_1,25.22,9,9,1.87E6,1,1,3,,9706,AM_AGSSY_4877884_1
11,6254,AM_AGSSY_1088980_1,23.42,3,3,5.14E3,1,1,1,,34751,AM_AGSSY_1088980_1
17,782,AM_AGSSY_5513578_1,23.08,12,12,1.87E6,1,1,1,,6977,AM_AGSSY_5513578_1
6,50,AM_AGSSY_1376267_1,21.43,2,2,1.59E6,1,1,2,,30883,AM_AGSSY_1376267_1
6,48,AM_AGSSY_3114738_1,21.43,4,4,1.59E6,1,1,2,,18628,AM_AGSSY_3114738_1
6,49,AM_AGSSY_2395304_1,21.43,3,3,1.59E6,1,1,2,,23350,AM_AGSSY_2395304_1
6,51,AM_AGSSY_1378122_1,21.43,2,2,1.59E6,1,1,2,,31117,AM_AGSSY_1378122_1
6,52,AM_AGSSY_1142851_1,21.43,2,2,1.59E6,1,1,2,,34445,AM_AGSSY_1142851_1
6,53,AM_AGSSY_1146785_1,21.43,2,2,1.59E6,1,1,2,,34522,AM_AGSSY_1146785_1
18,6258,AM_AGSSY_198_1,20.04,0,0,0E0,1,1,1,Deamidation (NQ),384775,AM_AGSSY_198_1
12,6259,AM_AGSSY_495554_1,19.66,2,2,2.55E5,1,1,1,,49022,AM_AGSSY_495554_1
19,6260,AM_AGSSY_3764581_1,19.32,7,7,0E0,1,1,1,,14431,AM_AGSSY_3764581_1
3,805,AM_AGSSY_605184_1,18.61,4,4,3.32E5,1,1,3,,42305,AM_AGSSY_605184_1
13,6262,AM_AGSSY_1346769_1,18.17,3,3,1.87E3,1,1,1,,31886,AM_AGSSY_1346769_1
21,6263,AM_AGSSY_809227_1,18.10,3,3,1.58E3,1,1,1,Deamidation (NQ),41013,AM_AGSSY_809227_1
22,6264,AM_AGSSY_522273_1,17.50,4,4,8.07E4,1,1,1,,42740,AM_AGSSY_522273_1
23,6265,AM_AGSSY_4842077_1,17.49,10,10,3.4E4,1,1,1,,10995,AM_AGSSY_4842077_1
7,185,AM_AGSSY_5389380_1,16.80,19,19,4.38E4,1,1,1,,8295,AM_AGSSY_5389380_1
8,6268,AM_AGSSY_2748466_1,16.40,4,4,2.01E3,1,1,1,,20184,AM_AGSSY_2748466_1
10,6240,AM_AGSSY_53495_1,16.13,1,1,2.56E3,1,1,1,,86082,AM_AGSSY_53495_1
26,6269,AM_AGSSY_9963_1,16.03,1,1,0E0,1,1,1,,127700,AM_AGSSY_9963_1
28,6271,AM_AGSSY_1059363_1,15.96,3,3,0E0,1,1,1,,34568,AM_AGSSY_1059363_1
30,6273,AM_AGSSY_189315_1,15.23,2,2,0E0,1,1,1,,56836,AM_AGSSY_189315_1
14,6274,AM_AGSSY_1071607_1,15.17,3,3,2.35E3,1,1,1,Deamidation (NQ),36342,AM_AGSSY_1071607_1
31,6275,AM_AGSSY_2178880_1,15.03,4,4,1.52E3,1,1,1,,25107,AM_AGSSY_2178880_1
