Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 5,Area Sample 5,#Peptides,#Unique,#Spec Sample 5,PTM,Avg. Mass,Description
5,4,AM_AGSSY_73454_1,32.11,1,1,3.33E6,1,1,3,,80372,AM_AGSSY_73454_1
5,5,AM_AGSSY_3962856_1,32.11,6,6,3.33E6,1,1,3,,13527,AM_AGSSY_3962856_1
6,14,AM_AGSSY_4877884_1,24.67,9,9,5.13E6,1,1,3,,9706,AM_AGSSY_4877884_1
7,2711,AM_AGSSY_4183738_1,22.53,7,7,2.89E4,1,1,3,,12960,AM_AGSSY_4183738_1
18,2712,AM_AGSSY_2936824_1,22.16,4,4,7.27E4,1,1,1,,19184,AM_AGSSY_2936824_1
19,2714,AM_AGSSY_5032103_1,20.64,12,12,1.77E4,1,1,1,,9182,AM_AGSSY_5032103_1
3,2716,AM_AGSSY_5098057_1,20.13,12,12,1.22E6,1,1,5,Deamidation (NQ),9217,AM_AGSSY_5098057_1
20,2718,AM_AGSSY_3605471_1,19.36,5,5,6.19E3,1,1,1,Deamidation (NQ),16248,AM_AGSSY_3605471_1
21,789,AM_AGSSY_3553642_1,18.07,5,5,2.84E6,1,1,1,,16429,AM_AGSSY_3553642_1
21,791,AM_AGSSY_1005228_1,18.07,2,2,2.84E6,1,1,1,,37334,AM_AGSSY_1005228_1
21,801,AM_AGSSY_72995_1,18.07,1,1,2.84E6,1,1,1,,81338,AM_AGSSY_72995_1
22,2721,AM_AGSSY_5685812_1,17.86,11,11,1.01E3,1,1,1,,6883,AM_AGSSY_5685812_1
22,2722,AM_AGSSY_5507841_1,17.86,10,10,1.01E3,1,1,1,,7589,AM_AGSSY_5507841_1
22,2723,AM_AGSSY_3828086_1,17.86,5,5,1.01E3,1,1,1,,14408,AM_AGSSY_3828086_1
22,2724,AM_AGSSY_3531796_1,17.86,5,5,1.01E3,1,1,1,,16039,AM_AGSSY_3531796_1
22,2725,AM_AGSSY_2330355_1,17.86,3,3,1.01E3,1,1,1,,24745,AM_AGSSY_2330355_1
22,2726,AM_AGSSY_2035794_1,17.86,3,3,1.01E3,1,1,1,,27975,AM_AGSSY_2035794_1
22,2727,AM_AGSSY_1519277_1,17.86,2,2,1.01E3,1,1,1,,31278,AM_AGSSY_1519277_1
24,2731,AM_AGSSY_2373_1,17.78,0,0,2.44E3,1,1,1,,185452,AM_AGSSY_2373_1
25,2732,AM_AGSSY_692179_1,16.61,3,3,0E0,1,1,1,,42111,AM_AGSSY_692179_1
26,2733,AM_AGSSY_1962748_1,16.52,3,3,0E0,1,1,1,Carbamidomethylation,27688,AM_AGSSY_1962748_1
12,185,AM_AGSSY_5389380_1,16.35,19,19,2.09E3,1,1,1,,8295,AM_AGSSY_5389380_1
27,2735,AM_AGSSY_5756076_1,16.28,15,15,1.2E3,1,1,1,,7706,AM_AGSSY_5756076_1
28,2736,AM_AGSSY_3978267_1,15.97,6,6,2.96E3,1,1,1,,13602,AM_AGSSY_3978267_1
28,2741,AM_AGSSY_619368_1,15.97,2,2,2.96E3,1,1,1,,41140,AM_AGSSY_619368_1
29,2739,AM_AGSSY_201564_1,15.82,2,2,2.64E4,1,1,1,,57935,AM_AGSSY_201564_1
29,2740,AM_AGSSY_200051_1,15.82,2,2,2.64E4,1,1,1,,57510,AM_AGSSY_200051_1
14,2717,AM_AGSSY_4471449_1,15.38,14,14,2.98E3,1,1,1,,11826,AM_AGSSY_4471449_1
13,2742,AM_AGSSY_858754_1,15.27,3,3,3.13E4,1,1,1,,37694,AM_AGSSY_858754_1
