Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 16,Area Sample 16,#Peptides,#Unique,#Spec Sample 16,PTM,Avg. Mass,Description
3,4,AM_AGSSY_73454_1,32.30,1,1,9.59E6,1,1,3,,80372,AM_AGSSY_73454_1
3,5,AM_AGSSY_3962856_1,32.30,6,6,9.59E6,1,1,3,,13527,AM_AGSSY_3962856_1
5,11813,AM_AGSSY_2152136_1,26.39,4,4,1.08E5,1,1,2,,23603,AM_AGSSY_2152136_1
5,11814,AM_AGSSY_985741_1,26.39,3,3,1.08E5,1,1,2,,34613,AM_AGSSY_985741_1
5,11815,AM_AGSSY_847766_1,26.39,3,3,1.08E5,1,1,2,,36773,AM_AGSSY_847766_1
16,11817,AM_AGSSY_265210_1,24.76,2,2,5.48E3,1,1,1,,57126,AM_AGSSY_265210_1
12,11818,AM_AGSSY_774216_1,23.51,2,2,1.11E4,1,1,1,,41296,AM_AGSSY_774216_1
17,782,AM_AGSSY_5513578_1,23.01,12,12,8.06E6,1,1,1,,6977,AM_AGSSY_5513578_1
18,11819,AM_AGSSY_4566916_1,22.61,11,11,2.36E4,1,1,1,,11629,AM_AGSSY_4566916_1
8,93,AM_AGSSY_2487650_1,22.61,3,3,9.43E3,1,1,2,Oxidation (M),24200,AM_AGSSY_2487650_1
8,94,AM_AGSSY_2458673_1,22.61,3,3,9.43E3,1,1,2,Oxidation (M),25053,AM_AGSSY_2458673_1
8,100,AM_AGSSY_1786900_1,22.61,2,2,9.43E3,1,1,2,Oxidation (M),30977,AM_AGSSY_1786900_1
8,21,AM_AGSSY_1553211_1,22.61,2,2,9.43E3,1,1,2,Oxidation (M),32327,AM_AGSSY_1553211_1
20,11822,AM_AGSSY_2545433_1,21.85,3,3,0E0,1,1,1,,23166,AM_AGSSY_2545433_1
20,11823,AM_AGSSY_1589738_1,21.85,3,3,0E0,1,1,1,,29920,AM_AGSSY_1589738_1
20,11824,AM_AGSSY_1271379_1,21.85,2,2,0E0,1,1,1,,32781,AM_AGSSY_1271379_1
9,14,AM_AGSSY_4877884_1,21.76,9,9,8.06E6,1,1,2,,9706,AM_AGSSY_4877884_1
19,6247,AM_AGSSY_5878827_1,21.71,14,14,2.71E4,1,1,1,,6631,AM_AGSSY_5878827_1
19,6248,AM_AGSSY_5819386_1,21.71,14,14,2.71E4,1,1,1,,6293,AM_AGSSY_5819386_1
19,6249,AM_AGSSY_4444755_1,21.71,7,7,2.71E4,1,1,1,,12386,AM_AGSSY_4444755_1
19,11820,AM_AGSSY_4340560_1,21.71,7,7,2.71E4,1,1,1,,12806,AM_AGSSY_4340560_1
19,11821,AM_AGSSY_4143128_1,21.71,7,7,2.71E4,1,1,1,,12671,AM_AGSSY_4143128_1
10,1662,AM_AGSSY_1822544_1,21.09,3,3,8.06E6,1,1,2,,27222,AM_AGSSY_1822544_1
10,109,AM_AGSSY_1680574_1,21.09,3,3,8.06E6,1,1,2,,28807,AM_AGSSY_1680574_1
10,1663,AM_AGSSY_537075_1,21.09,2,2,8.06E6,1,1,2,,45531,AM_AGSSY_537075_1
21,11825,AM_AGSSY_6064978_1,20.67,18,18,3.9E3,1,1,1,,5449,AM_AGSSY_6064978_1
13,11833,AM_AGSSY_6031836_1,19.54,16,16,1.61E4,1,1,1,,5385,AM_AGSSY_6031836_1
6,48,AM_AGSSY_3114738_1,18.53,4,4,3.33E6,1,1,2,,18628,AM_AGSSY_3114738_1
6,49,AM_AGSSY_2395304_1,18.53,3,3,3.33E6,1,1,2,,23350,AM_AGSSY_2395304_1
6,50,AM_AGSSY_1376267_1,18.53,2,2,3.33E6,1,1,2,,30883,AM_AGSSY_1376267_1
6,51,AM_AGSSY_1378122_1,18.53,2,2,3.33E6,1,1,2,,31117,AM_AGSSY_1378122_1
6,52,AM_AGSSY_1142851_1,18.53,2,2,3.33E6,1,1,2,,34445,AM_AGSSY_1142851_1
6,53,AM_AGSSY_1146785_1,18.53,2,2,3.33E6,1,1,2,,34522,AM_AGSSY_1146785_1
23,11838,AM_AGSSY_2056326_1,18.20,4,4,1.01E4,1,1,1,,25810,AM_AGSSY_2056326_1
7,11839,AM_AGSSY_201930_1,18.06,2,2,0E0,1,1,2,,58917,AM_AGSSY_201930_1
24,11841,AM_AGSSY_4013168_1,17.96,6,6,3.33E6,1,1,1,,14869,AM_AGSSY_4013168_1
24,11842,AM_AGSSY_3123385_1,17.96,4,4,3.33E6,1,1,1,,18603,AM_AGSSY_3123385_1
