Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 10,Area Sample 10,#Peptides,#Unique,#Spec Sample 10,PTM,Avg. Mass,Description
6,5,AM_AGSSY_3962856_1,38.28,6,6,2.93E6,1,1,2,,13527,AM_AGSSY_3962856_1
6,4,AM_AGSSY_73454_1,38.28,1,1,2.93E6,1,1,2,,80372,AM_AGSSY_73454_1
9,6,AM_AGSSY_5739035_1,31.22,11,11,2.03E4,1,1,1,,7207,AM_AGSSY_5739035_1
4,14,AM_AGSSY_4877884_1,27.63,9,9,3.75E6,1,1,3,,9706,AM_AGSSY_4877884_1
15,18,AM_AGSSY_3044494_1,25.75,5,5,3.53E4,1,1,1,,20127,AM_AGSSY_3044494_1
16,3998,AM_AGSSY_3545028_1,25.32,5,5,2.78E4,1,1,1,,16526,AM_AGSSY_3545028_1
10,6816,AM_AGSSY_98467_1,25.30,1,1,3.92E3,1,1,1,,71727,AM_AGSSY_98467_1
10,6818,AM_AGSSY_4367613_1,25.30,6,6,3.92E3,1,1,1,,11581,AM_AGSSY_4367613_1
10,6821,AM_AGSSY_3517578_1,25.30,5,5,3.92E3,1,1,1,,16874,AM_AGSSY_3517578_1
10,6822,AM_AGSSY_3218240_1,25.30,4,4,3.92E3,1,1,1,,18763,AM_AGSSY_3218240_1
10,6823,AM_AGSSY_3100565_1,25.30,4,4,3.92E3,1,1,1,,17495,AM_AGSSY_3100565_1
10,6824,AM_AGSSY_2995137_1,25.30,4,4,3.92E3,1,1,1,,18042,AM_AGSSY_2995137_1
10,6825,AM_AGSSY_2724332_1,25.30,4,4,3.92E3,1,1,1,,20698,AM_AGSSY_2724332_1
10,6826,AM_AGSSY_2693578_1,25.30,4,4,3.92E3,1,1,1,,21363,AM_AGSSY_2693578_1
10,6827,AM_AGSSY_2639092_1,25.30,4,4,3.92E3,1,1,1,,20280,AM_AGSSY_2639092_1
10,6828,AM_AGSSY_2318518_1,25.30,3,3,3.92E3,1,1,1,,23769,AM_AGSSY_2318518_1
10,6832,AM_AGSSY_1040053_1,25.30,2,2,3.92E3,1,1,1,,34895,AM_AGSSY_1040053_1
7,6819,AM_AGSSY_4603306_1,25.21,7,7,9.08E2,1,1,2,,11371,AM_AGSSY_4603306_1
7,6820,AM_AGSSY_4581611_1,25.21,7,7,9.08E2,1,1,2,,11416,AM_AGSSY_4581611_1
7,6830,AM_AGSSY_2294340_1,25.21,3,3,9.08E2,1,1,2,,24987,AM_AGSSY_2294340_1
7,6831,AM_AGSSY_1532208_1,25.21,3,3,9.08E2,1,1,2,,32028,AM_AGSSY_1532208_1
7,6833,AM_AGSSY_46659_1,25.21,1,1,9.08E2,1,1,2,,90332,AM_AGSSY_46659_1
7,6834,AM_AGSSY_332_1,25.21,0,0,9.08E2,1,1,2,,320571,AM_AGSSY_332_1
17,6829,AM_AGSSY_70031_1,24.82,1,1,3.68E3,1,1,1,,76094,AM_AGSSY_70031_1
20,6844,AM_AGSSY_689545_1,21.47,2,2,5.12E3,1,1,1,Carbamidomethylation,45020,AM_AGSSY_689545_1
5,6840,AM_AGSSY_226616_1,21.28,2,2,5.3E4,1,1,2,Deamidation (NQ),55675,AM_AGSSY_226616_1
18,6841,AM_AGSSY_2705046_1,21.24,4,4,2.22E4,1,1,1,,21598,AM_AGSSY_2705046_1
22,6846,AM_AGSSY_3170218_1,19.91,4,4,3.02E3,1,1,1,,19673,AM_AGSSY_3170218_1
12,6836,AM_AGSSY_542702_1,19.77,2,2,1.61E3,1,1,1,,46812,AM_AGSSY_542702_1
8,48,AM_AGSSY_3114738_1,19.54,4,4,1.05E6,1,1,2,,18628,AM_AGSSY_3114738_1
8,49,AM_AGSSY_2395304_1,19.54,3,3,1.05E6,1,1,2,,23350,AM_AGSSY_2395304_1
8,50,AM_AGSSY_1376267_1,19.54,2,2,1.05E6,1,1,2,,30883,AM_AGSSY_1376267_1
8,51,AM_AGSSY_1378122_1,19.54,2,2,1.05E6,1,1,2,,31117,AM_AGSSY_1378122_1
8,52,AM_AGSSY_1142851_1,19.54,2,2,1.05E6,1,1,2,,34445,AM_AGSSY_1142851_1
8,53,AM_AGSSY_1146785_1,19.54,2,2,1.05E6,1,1,2,,34522,AM_AGSSY_1146785_1
23,6847,AM_AGSSY_4477553_1,19.18,10,10,8.82E3,1,1,1,,11352,AM_AGSSY_4477553_1
24,6848,AM_AGSSY_2575206_1,18.54,4,4,7.05E3,1,1,1,,22204,AM_AGSSY_2575206_1
25,6849,AM_AGSSY_627323_1,18.48,2,2,1.1E5,1,1,1,,42337,AM_AGSSY_627323_1
25,6850,AM_AGSSY_628189_1,18.48,2,2,1.1E5,1,1,1,,42511,AM_AGSSY_628189_1
2,6851,AM_AGSSY_705012_1,17.84,3,3,2.41E4,1,1,3,,39923,AM_AGSSY_705012_1
