Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-318-NMCP-DUP,Area Trocas7-318-NMCP-DUP,#Peptides,#Unique,#Spec Trocas7-318-NMCP-DUP,PTM,Avg. Mass,Description
4,4797,KNOT_14573911_PROKKA_604957,36.50,2,2,4.74E5,2,2,5,,74282,Polyphosphate kinase
13,13448,GROUPS_9925305_PROKKA_254397,30.82,6,6,2.84E5,1,1,3,,16439,hypothetical protein
40,27148,KNOT_32024340_PROKKA_840713,29.05,6,6,6.98E4,1,1,1,,14517,hypothetical protein
22,2486,KNOT_24600144_PROKKA_758755,28.52,4,4,9.06E4,2,2,2,Deamidation (NQ),109080,hypothetical protein
62,11980,KNOT_22093062_PROKKA_722722,28.44,2,2,6.89E4,1,1,1,,51279,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2 6-diaminoheptandioate ligase
25,27149,KNOT_202259_PROKKA_12950,28.24,3,3,3.13E4,1,1,2,,33933,hypothetical protein
25,27150,KNOT_14392755_PROKKA_600858,28.24,2,2,3.13E4,1,1,2,,38685,hypothetical protein
5,4789,GROUPS_9140978_PROKKA_212107,27.72,7,7,6.56E6,1,1,5,,11453,hypothetical protein
63,9417,GROUPS_13895463_PROKKA_563949,27.29,4,4,8.22E4,1,1,1,,32462,hypothetical protein
14,27151,KNOT_5666783_PROKKA_341418,26.95,14,14,6.16E4,1,1,3,,7736,hypothetical protein
26,27152,GROUPS_12718767_PROKKA_485297,26.75,16,16,3.75E4,1,1,2,,7500,hypothetical protein
27,27153,GROUPS_14679242_PROKKA_629987,26.36,5,5,3.29E4,1,1,2,,15833,hypothetical protein
28,2492,KNOT_11443525_PROKKA_534238,25.79,5,5,2.48E4,1,1,2,,20159,Transcriptional repressor NrdR
7,2481,KNOT_5879241_PROKKA_348517,25.34,19,19,1.01E7,1,1,4,,4178,hypothetical protein
64,27154,KNOT_13874379_PROKKA_590165,25.24,9,9,2.72E4,1,1,1,Deamidation (NQ),11728,ATP phosphoribosyltransferase
65,2469,KNOT_4594749_PROKKA_309394,24.97,3,3,1.93E6,1,1,1,,36417,hypothetical protein
66,27155,KNOT_11545533_PROKKA_537373,24.29,7,7,1.14E4,1,1,1,Oxidation (M),33946,UDP-N-acetylglucosamine 4-epimerase
29,27156,GROUPS_12809100_PROKKA_499991,23.98,1,1,2.41E4,1,1,2,Deamidation (NQ),60241,hypothetical protein
67,2482,GROUPS_7615389_PROKKA_131871,23.74,9,9,2.47E4,1,1,1,,8827,hypothetical protein
67,2483,GROUPS_13881280_PROKKA_560112,23.74,7,7,2.47E4,1,1,1,,11244,hypothetical protein
67,4774,KNOT_12819950_PROKKA_572522,23.74,5,5,2.47E4,1,1,1,,14382,Ribonuclease VapC22
67,2484,GROUPS_13064444_PROKKA_519763,23.74,3,3,2.47E4,1,1,1,,24095,hypothetical protein
67,4775,KNOT_814097_PROKKA_52248,23.74,2,2,2.47E4,1,1,1,,36399,hypothetical protein
30,4826,KNOT_3651020_PROKKA_253264,23.49,2,2,5.47E1,1,1,2,Deamidation (NQ),54224,hypothetical protein
68,5542,KNOT_11641451_PROKKA_540398,23.20,10,10,3.46E5,1,1,1,,8143,hypothetical protein
68,5543,KNOT_9832817_PROKKA_487619,23.20,4,4,3.46E5,1,1,1,,24050,hypothetical protein
15,27160,GROUPS_14618877_PROKKA_628098,22.27,6,6,5.5E5,1,1,3,,14268,Beta-glucosidase A
9,27161,GROUPS_15129270_PROKKA_647557,22.10,3,3,1.14E6,1,1,3,,38056,hypothetical protein
10,27162,KNOT_32728358_PROKKA_860533,21.83,5,5,2E5,1,1,3,Carbamidomethylation; Deamidation (NQ); Oxidation (M),55841,hypothetical protein
16,13986,KNOT_10831868_PROKKA_515752,21.68,6,6,3.52E4,1,1,3,,19460,Phosphoheptose isomerase
46,27163,KNOT_2892360_PROKKA_199607,21.52,22,22,4.27E5,1,1,1,Deamidation (NQ),11033,2-oxoisovalerate dehydrogenase subunit alpha
72,18683,GROUPS_9892052_PROKKA_247733,20.96,5,5,1.77E6,1,1,1,,15399,hypothetical protein
72,18690,KNOT_2446326_PROKKA_167429,20.96,3,3,1.77E6,1,1,1,,27772,Lipopolysaccharide export system ATP-binding protein LptB
2,9925,KNOT_7766617_PROKKA_420846,20.90,8,8,8.22E5,1,1,7,,12677,hypothetical protein
74,27168,GROUPS_1874207_PROKKA_20198,20.77,5,5,5.93E4,1,1,1,,22061,hypothetical protein
75,27169,GROUPS_12998455_PROKKA_515859,20.77,5,5,3.49E4,1,1,1,,13966,hypothetical protein
21,2839,KNOT_24936258_PROKKA_762137,20.67,5,5,4.07E5,1,1,2,,16767,hypothetical protein
