Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-402-Bay,Area Trocas7-402-Bay,#Peptides,#Unique,#Spec Trocas7-402-Bay,PTM,Avg. Mass,Description
18,2478,GROUPS_7001863_PROKKA_109017,34.80,13,13,1.05E4,1,1,1,,8825,hypothetical protein
19,24818,KNOT_9307083_PROKKA_473882,31.63,10,10,4.51E4,1,1,1,,9439,putative lipoprotein YiaD
19,24819,KNOT_1753154_PROKKA_116921,31.63,4,4,4.51E4,1,1,1,,24534,Outer membrane protein A
7,40152,KNOT_31887922_PROKKA_837529,29.59,14,14,6.73E4,1,1,2,Deamidation (NQ); Oxidation (M),6375,hypothetical protein
3,4789,GROUPS_9140978_PROKKA_212107,24.58,7,7,1.91E7,1,1,5,,11453,hypothetical protein
4,2481,KNOT_5879241_PROKKA_348517,24.32,19,19,1E7,1,1,5,,4178,hypothetical protein
11,2486,KNOT_24600144_PROKKA_758755,23.21,1,1,8.65E4,1,1,1,,109080,hypothetical protein
21,4791,KNOT_3252890_PROKKA_225452,22.49,3,3,8.54E5,1,1,1,,54590,hypothetical protein
5,2469,KNOT_4594749_PROKKA_309394,22.17,3,3,1.09E5,1,1,3,,36417,hypothetical protein
22,40154,GROUPS_15407653_PROKKA_681429,20.84,3,3,1.07E4,1,1,1,,29563,hypothetical protein
23,40155,KNOT_9125789_PROKKA_469104,20.65,1,1,7.59E3,1,1,1,Deamidation (NQ),166152,Bifunctional hemolysin/adenylate cyclase
24,2504,KNOT_7767017_PROKKA_420863,20.26,4,4,9E4,1,1,1,,19338,hypothetical protein
