Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-410-SMCP,Area Trocas7-410-SMCP,#Peptides,#Unique,#Spec Trocas7-410-SMCP,PTM,Avg. Mass,Description
9,2469,KNOT_4594749_PROKKA_309394,29.83,3,3,1.13E5,1,1,3,,36417,hypothetical protein
15,2471,KNOT_13273199_PROKKA_579603,25.13,7,7,1.26E4,1,1,1,,11833,tRNA (guanine-N(1)-)-methyltransferase
15,2472,KNOT_33775426_PROKKA_877131,25.13,5,5,1.26E4,1,1,1,,15456,tRNA (guanine-N(1)-)-methyltransferase
15,2473,KNOT_75604_PROKKA_04831,25.13,4,4,1.26E4,1,1,1,,20452,hypothetical protein
15,2465,GROUPS_13478851_PROKKA_541219,25.13,3,3,1.26E4,1,1,1,,24069,ATP synthase gamma chain
15,2467,GROUPS_14979448_PROKKA_642956,25.13,2,2,1.26E4,1,1,1,,32540,Methionyl-tRNA formyltransferase
15,2477,GROUPS_14878950_PROKKA_636730,25.13,1,1,1.26E4,1,1,1,,62768,hypothetical protein
15,2479,KNOT_26711475_PROKKA_777876,25.13,0,0,1.26E4,1,1,1,,155471,hypothetical protein
7,4789,GROUPS_9140978_PROKKA_212107,23.65,7,7,4.42E7,1,1,5,,11453,hypothetical protein
24,2482,GROUPS_7615389_PROKKA_131871,23.16,9,9,3.14E4,1,1,1,,8827,hypothetical protein
24,2483,GROUPS_13881280_PROKKA_560112,23.16,7,7,3.14E4,1,1,1,,11244,hypothetical protein
24,4774,KNOT_12819950_PROKKA_572522,23.16,5,5,3.14E4,1,1,1,,14382,Ribonuclease VapC22
24,2484,GROUPS_13064444_PROKKA_519763,23.16,3,3,3.14E4,1,1,1,,24095,hypothetical protein
24,4775,KNOT_814097_PROKKA_52248,23.16,2,2,3.14E4,1,1,1,,36399,hypothetical protein
16,5191,KNOT_30057775_PROKKA_802015,22.36,10,10,1.64E4,1,1,1,,6178,hypothetical protein
16,5193,KNOT_6049312_PROKKA_354471,22.36,6,6,1.64E4,1,1,1,,12022,hypothetical protein
16,5194,KNOT_3363071_PROKKA_233193,22.36,5,5,1.64E4,1,1,1,,14986,Outer membrane protein TolC
16,5195,KNOT_17301625_PROKKA_649336,22.36,4,4,1.64E4,1,1,1,,17806,Transcriptional regulatory protein BaeR
16,5196,KNOT_25094835_PROKKA_764207,22.36,4,4,1.64E4,1,1,1,,17806,Transcriptional regulatory protein BaeR
16,5197,KNOT_6216431_PROKKA_360381,22.36,2,2,1.64E4,1,1,1,,26169,Methionine aminopeptidase 1
16,5198,KNOT_12399070_PROKKA_562325,22.36,4,4,1.64E4,1,1,1,,17986,hypothetical protein
16,5199,KNOT_3168834_PROKKA_219416,22.36,3,3,1.64E4,1,1,1,,20493,hypothetical protein
16,5200,KNOT_31923025_PROKKA_838262,22.36,3,3,1.64E4,1,1,1,,22020,hypothetical protein
16,5201,KNOT_3566721_PROKKA_247471,22.36,3,3,1.64E4,1,1,1,,23590,hypothetical protein
16,5203,KNOT_10852428_PROKKA_516426,22.36,2,2,1.64E4,1,1,1,,27333,hypothetical protein
16,5204,KNOT_6323027_PROKKA_364374,22.36,2,2,1.64E4,1,1,1,,33433,hypothetical protein
16,5205,KNOT_3358236_PROKKA_232865,22.36,2,2,1.64E4,1,1,1,,33933,hypothetical protein
16,5206,KNOT_8726303_PROKKA_456627,22.36,2,2,1.64E4,1,1,1,,33963,hypothetical protein
16,5208,KNOT_7769252_PROKKA_420948,22.36,1,1,1.64E4,1,1,1,,65650,Phytochrome-like protein cph2
10,2481,KNOT_5879241_PROKKA_348517,21.43,19,19,2.37E7,1,1,3,,4178,hypothetical protein
12,5192,KNOT_32907886_PROKKA_865059,20.94,5,5,6.64E4,1,1,2,Oxidation (M),20485,hypothetical protein
5,4781,KNOT_238065_PROKKA_15437,20.15,1,1,6.19E5,1,1,6,,171606,putative diguanylate cyclase YegE
