Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 13,Area Sample 13,#Peptides,#Unique,#Spec Sample 13,PTM,Avg. Mass,Description
3,5,AM_AGSSY_3962856_1,38.00,6,6,9.02E6,1,1,3,,13527,AM_AGSSY_3962856_1
3,4,AM_AGSSY_73454_1,38.00,1,1,9.02E6,1,1,3,,80372,AM_AGSSY_73454_1
8,9153,AM_AGSSY_878799_1,33.14,3,3,2.14E3,2,2,2,,39461,AM_AGSSY_878799_1
25,9149,AM_AGSSY_5286607_1,29.20,29,29,1.14E3,1,1,1,Oxidation (M),8049,AM_AGSSY_5286607_1
14,9148,AM_AGSSY_206571_1,28.21,2,2,8.93E2,1,1,1,,62892,AM_AGSSY_206571_1
2,805,AM_AGSSY_605184_1,28.17,4,4,9.63E4,1,1,3,,42305,AM_AGSSY_605184_1
4,14,AM_AGSSY_4877884_1,26.72,9,9,1.48E7,1,1,3,,9706,AM_AGSSY_4877884_1
15,1663,AM_AGSSY_537075_1,26.61,2,2,1.48E7,1,1,1,,45531,AM_AGSSY_537075_1
15,1662,AM_AGSSY_1822544_1,26.61,3,3,1.48E7,1,1,1,,27222,AM_AGSSY_1822544_1
15,109,AM_AGSSY_1680574_1,26.61,3,3,1.48E7,1,1,1,,28807,AM_AGSSY_1680574_1
28,1666,AM_AGSSY_3934_1,25.71,1,1,2.6E5,1,1,1,,146782,AM_AGSSY_3934_1
6,5452,AM_AGSSY_4294086_1,25.67,6,6,1.53E4,1,1,2,,11689,AM_AGSSY_4294086_1
29,9150,AM_AGSSY_2658500_1,25.47,4,4,0E0,1,1,1,,20488,AM_AGSSY_2658500_1
29,9151,AM_AGSSY_2221967_1,25.47,4,4,0E0,1,1,1,,23872,AM_AGSSY_2221967_1
30,9152,AM_AGSSY_2183697_1,24.75,3,3,3.93E4,1,1,1,Oxidation (M),26671,AM_AGSSY_2183697_1
31,9188,AM_AGSSY_4759312_1,22.81,7,7,2.57E3,1,1,1,Oxidation (M),10243,AM_AGSSY_4759312_1
31,9189,AM_AGSSY_4424467_1,22.81,7,7,2.57E3,1,1,1,Oxidation (M),11977,AM_AGSSY_4424467_1
34,9195,AM_AGSSY_91943_1,22.36,1,1,0E0,1,1,1,,73549,AM_AGSSY_91943_1
5,4846,AM_AGSSY_4526595_1,22.16,11,11,1.57E4,1,1,3,,11930,AM_AGSSY_4526595_1
32,9190,AM_AGSSY_5260013_1,21.61,12,12,0E0,1,1,1,,8936,AM_AGSSY_5260013_1
19,9191,AM_AGSSY_5794291_1,21.56,13,13,0E0,1,1,1,,7339,AM_AGSSY_5794291_1
19,9192,AM_AGSSY_3803342_1,21.56,6,6,0E0,1,1,1,,15467,AM_AGSSY_3803342_1
19,9193,AM_AGSSY_869997_1,21.56,2,2,0E0,1,1,1,,40160,AM_AGSSY_869997_1
33,9194,AM_AGSSY_4254618_1,21.34,6,6,5.15E3,1,1,1,,12949,AM_AGSSY_4254618_1
35,9196,AM_AGSSY_5985776_1,20.50,15,15,3.58E3,1,1,1,,5945,AM_AGSSY_5985776_1
37,6841,AM_AGSSY_2705046_1,20.19,4,4,4.02E3,1,1,1,,21598,AM_AGSSY_2705046_1
20,9198,AM_AGSSY_180285_1,20.03,3,3,8.13E2,1,1,1,,62755,AM_AGSSY_180285_1
7,52,AM_AGSSY_1142851_1,20.00,2,2,2.66E6,1,1,2,,34445,AM_AGSSY_1142851_1
7,53,AM_AGSSY_1146785_1,20.00,2,2,2.66E6,1,1,2,,34522,AM_AGSSY_1146785_1
7,48,AM_AGSSY_3114738_1,20.00,4,4,2.66E6,1,1,2,,18628,AM_AGSSY_3114738_1
7,49,AM_AGSSY_2395304_1,20.00,3,3,2.66E6,1,1,2,,23350,AM_AGSSY_2395304_1
7,50,AM_AGSSY_1376267_1,20.00,2,2,2.66E6,1,1,2,,30883,AM_AGSSY_1376267_1
7,51,AM_AGSSY_1378122_1,20.00,2,2,2.66E6,1,1,2,,31117,AM_AGSSY_1378122_1
16,9154,AM_AGSSY_2203622_1,19.95,4,4,9.28E2,1,1,1,,26613,AM_AGSSY_2203622_1
38,9199,AM_AGSSY_184642_1,19.75,2,2,2.43E5,1,1,1,,55674,AM_AGSSY_184642_1
9,9200,AM_AGSSY_5485688_1,19.65,9,9,2.34E3,1,1,2,,8065,AM_AGSSY_5485688_1
9,9203,AM_AGSSY_4727687_1,19.65,6,6,2.34E3,1,1,2,,10969,AM_AGSSY_4727687_1
