Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-302-Bay,Coverage (%) Trocas7-306-Chav,Coverage (%) Trocas7-310-SMCP,Coverage (%) Trocas7-318-NMCP,Coverage (%) Trocas7-402-Bay,Coverage (%) Trocas7-406-Chav,Coverage (%) Trocas7-410-SMCP,Coverage (%) Trocas7-417-NMCP,Coverage (%) Trocas7-102-Bay,Coverage (%) Trocas7-106-Chav,Coverage (%) Trocas7-206-Chav,Coverage (%) Trocas7-110-SMCP,Coverage (%) Trocas7-126-NMCP,Coverage (%) Trocas7-202-Bay,Coverage (%) Trocas7-210-SMCP,Coverage (%) Trocas7-410-SMCP-DUP,Coverage (%) Trocas7-226-NMCP,Coverage (%) Trocas7-303-Bay,Coverage (%) Trocas7-310-SMCP-DUP,Coverage (%) Trocas7-102-Bay-DUP,Coverage (%) Trocas7-106-Chav-DUP,Coverage (%) Trocas7-302-Bay-DUP,Coverage (%) Trocas7-306-Chav-DUP,Coverage (%) Trocas7-503-Bay,Coverage (%) Trocas7-519-NMCP,Coverage (%) Trocas7-318-NMCP-DUP,Coverage (%) Trocas7-402-Bay-DUP,Coverage (%) Trocas7-406-Chav-DUP,Coverage (%) Trocas7-417-NMCP-DUP,Coverage (%) Trocas7-307-Chav,Coverage (%) Trocas7-311-SMCP,Coverage (%) Trocas7-319-NMCP,Coverage (%) Trocas7-507-Chav,Coverage (%) Trocas7-511-SMCP,Area Trocas7-302-Bay,Area Trocas7-306-Chav,Area Trocas7-310-SMCP,Area Trocas7-318-NMCP,Area Trocas7-402-Bay,Area Trocas7-406-Chav,Area Trocas7-410-SMCP,Area Trocas7-417-NMCP,Area Trocas7-102-Bay,Area Trocas7-106-Chav,Area Trocas7-206-Chav,Area Trocas7-110-SMCP,Area Trocas7-126-NMCP,Area Trocas7-202-Bay,Area Trocas7-210-SMCP,Area Trocas7-410-SMCP-DUP,Area Trocas7-226-NMCP,Area Trocas7-303-Bay,Area Trocas7-310-SMCP-DUP,Area Trocas7-102-Bay-DUP,Area Trocas7-106-Chav-DUP,Area Trocas7-302-Bay-DUP,Area Trocas7-306-Chav-DUP,Area Trocas7-503-Bay,Area Trocas7-519-NMCP,Area Trocas7-318-NMCP-DUP,Area Trocas7-402-Bay-DUP,Area Trocas7-406-Chav-DUP,Area Trocas7-417-NMCP-DUP,Area Trocas7-307-Chav,Area Trocas7-311-SMCP,Area Trocas7-319-NMCP,Area Trocas7-507-Chav,Area Trocas7-511-SMCP,#Peptides,#Unique,#Spec Trocas7-302-Bay,#Spec Trocas7-306-Chav,#Spec Trocas7-310-SMCP,#Spec Trocas7-318-NMCP,#Spec Trocas7-402-Bay,#Spec Trocas7-406-Chav,#Spec Trocas7-410-SMCP,#Spec Trocas7-417-NMCP,#Spec Trocas7-102-Bay,#Spec Trocas7-106-Chav,#Spec Trocas7-206-Chav,#Spec Trocas7-110-SMCP,#Spec Trocas7-126-NMCP,#Spec Trocas7-202-Bay,#Spec Trocas7-210-SMCP,#Spec Trocas7-410-SMCP-DUP,#Spec Trocas7-226-NMCP,#Spec Trocas7-303-Bay,#Spec Trocas7-310-SMCP-DUP,#Spec Trocas7-102-Bay-DUP,#Spec Trocas7-106-Chav-DUP,#Spec Trocas7-302-Bay-DUP,#Spec Trocas7-306-Chav-DUP,#Spec Trocas7-503-Bay,#Spec Trocas7-519-NMCP,#Spec Trocas7-318-NMCP-DUP,#Spec Trocas7-402-Bay-DUP,#Spec Trocas7-406-Chav-DUP,#Spec Trocas7-417-NMCP-DUP,#Spec Trocas7-307-Chav,#Spec Trocas7-311-SMCP,#Spec Trocas7-319-NMCP,#Spec Trocas7-507-Chav,#Spec Trocas7-511-SMCP,PTM,Avg. Mass,Description
203,2478,GROUPS_7001863_PROKKA_109017,60.94,25,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,,,,,1.05E4,,,,,,,,,,,,,,,,,,,,,,8.11E4,,,,,,,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,8825,hypothetical protein
143,7661,GROUPS_8089684_PROKKA_145999,60.68,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,9.54E4,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),9898,hypothetical protein
860,13436,KNOT_9883650_PROKKA_489022,46.06,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1.76E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,12700,50S ribosomal protein L18
337,13434,KNOT_1808049_PROKKA_121016,43.99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,6.52E4,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,20559,Outer membrane porin F
26,13440,GROUPS_14046465_PROKKA_591676,42.14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,4,4,4,0,0,0,4,4,4,4,0,,,,,,,,,,,,,,,1.16E5,,2.15E5,4.84E4,,,,,,1.19E5,4.68E5,4.87E5,,,,3.63E4,1.21E4,1.22E5,7.11E3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,6,1,0,0,0,2,2,6,3,0,,19605,hypothetical protein
228,2551,KNOT_12188301_PROKKA_556744,40.58,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0E0,,,,,,,,,,,,,,,,,,,,,,,,3.29E4,,,,,,,,,,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,76106,Virulence sensor protein BvgS
51,2468,GROUPS_15470916_PROKKA_684871,38.87,2,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,2,0,0,,3.15E5,,,,,1.03E5,4.24E4,,,,,,2.79E4,,1.88E5,,,,1.56E4,,,9.84E4,4.56E4,,,,,1.16E5,,,7.74E4,,,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,,50910,hypothetical protein
28,2561,KNOT_4440374_PROKKA_301879,37.94,4,0,2,2,2,0,2,2,2,0,0,2,0,0,0,2,2,2,4,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,2,,2.63E5,2.77E5,6.22E5,,4.79E5,1.22E6,2.11E6,,,3.11E5,,,,1E6,1.87E6,1.17E6,3.1E4,,,,,,4.43E5,4.45E5,,,6.05E5,3.87E6,2.43E5,2.87E5,5.19E5,2.99E5,3.18E5,2,2,0,1,1,1,0,1,1,1,0,0,1,0,0,0,2,2,2,1,0,0,0,0,0,1,2,0,0,1,2,1,1,1,1,1,,41176,hypothetical protein
22,13443,GROUPS_12951094_PROKKA_512797,37.63,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,7,7,0,0,0,7,7,7,7,7,,,,1.89E5,,,,,,,,,,,1.26E3,,3.38E5,,,,,,,1.85E5,2.22E5,8.67E5,,,,6.28E3,4.52E4,3.14E5,9.62E3,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,5,3,0,0,0,1,2,8,1,1,,12926,Alginate biosynthesis protein AlgA
21,5874,GROUPS_11118606_PROKKA_343775,37.44,7,1,1,0,1,2,0,1,0,1,1,1,0,0,7,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,2.68E4,3.45E4,,5.68E4,2.92E4,,,,9.6E3,4.56E4,3.79E4,,,8.36E4,1.85E4,4.89E4,1.61E4,1.46E4,2.03E4,3.16E4,5.99E4,,,2.32E4,,,6.84E3,1.41E3,,,,6.55E3,,,3,3,1,1,0,2,1,0,1,0,1,2,1,0,0,3,2,4,3,1,1,1,2,0,0,2,0,0,3,1,0,0,0,1,0,0,Oxidation (M); Deamidation (NQ),65490,hypothetical protein
