Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-102-Bay-DUP,Area Trocas7-102-Bay-DUP,#Peptides,#Unique,#Spec Trocas7-102-Bay-DUP,PTM,Avg. Mass,Description
7,5276,GROUPS_12647683_PROKKA_470485,30.70,5,5,3.93E6,1,1,4,Deamidation (NQ),20562,hypothetical protein
4,5934,KNOT_32538509_PROKKA_854302,29.02,6,6,4E6,1,1,5,,14490,hypothetical protein
4,5935,KNOT_32373984_PROKKA_848250,29.02,5,5,4E6,1,1,5,,16587,Acetyl-coenzyme A synthetase
9,2492,KNOT_11443525_PROKKA_534238,26.89,5,5,3.09E6,1,1,4,,20159,Transcriptional repressor NrdR
35,22258,KNOT_30857984_PROKKA_813844,25.97,2,2,8.52E5,1,1,1,Carbamidomethylation; Oxidation (M),31369,hypothetical protein
10,2481,KNOT_5879241_PROKKA_348517,25.72,19,19,4.88E7,1,1,4,,4178,hypothetical protein
11,4789,GROUPS_9140978_PROKKA_212107,25.19,7,7,1.4E8,1,1,4,,11453,hypothetical protein
16,22255,KNOT_31950311_PROKKA_838906,23.96,7,7,1.11E5,1,1,2,,15845,hypothetical protein
19,22257,KNOT_15903844_PROKKA_633444,23.77,2,2,7.31E4,1,1,2,,34092,hypothetical protein
17,5202,GROUPS_14067386_PROKKA_594436,23.71,4,4,1.14E5,1,1,2,,20921,hypothetical protein
18,4826,KNOT_3651020_PROKKA_253264,23.28,2,2,0E0,1,1,2,Deamidation (NQ),54224,hypothetical protein
25,2529,KNOT_17326956_PROKKA_649639,23.25,15,15,1.95E5,1,1,1,,13042,hypothetical protein
6,4797,KNOT_14573911_PROKKA_604957,22.78,1,1,5.87E6,1,1,4,,74282,Polyphosphate kinase
6,4796,KNOT_2166087_PROKKA_146631,22.78,2,2,5.87E6,1,1,4,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
6,2544,KNOT_2519828_PROKKA_172943,22.78,1,1,5.87E6,1,1,4,,59890,Polyphosphate kinase
34,2468,GROUPS_15470916_PROKKA_684871,22.72,2,2,1.56E4,1,1,1,,50910,hypothetical protein
36,22259,KNOT_12903704_PROKKA_573823,22.14,8,8,5.93E3,1,1,1,,10480,hypothetical protein
3,5951,KNOT_6855810_PROKKA_384782,21.79,5,5,1.85E6,1,1,7,,18653,hypothetical protein
37,8032,KNOT_10341870_PROKKA_501639,21.00,1,1,3.1E5,1,1,1,,72574,hypothetical protein
38,22261,GROUPS_7248985_PROKKA_118489,20.87,10,10,1.15E4,1,1,1,Deamidation (NQ),12309,hypothetical protein
14,22262,KNOT_16894920_PROKKA_644795,20.86,2,2,8.82E4,1,1,2,,48006,tRNA(Ile)-lysidine synthase
20,22263,KNOT_6950585_PROKKA_388576,20.63,19,19,1.72E6,1,1,2,Carbamidomethylation,12216,hypothetical protein
21,5950,KNOT_7553146_PROKKA_412395,20.48,3,3,4.45E5,1,1,2,Deamidation (NQ),24140,hypothetical protein
