Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 15,Area Sample 15,#Peptides,#Unique,#Spec Sample 15,PTM,Avg. Mass,Description
5,5,AM_AGSSY_3962856_1,38.43,6,6,6.47E6,1,1,3,,13527,AM_AGSSY_3962856_1
5,4,AM_AGSSY_73454_1,38.43,1,1,6.47E6,1,1,3,,80372,AM_AGSSY_73454_1
9,14,AM_AGSSY_4877884_1,26.32,9,9,6.81E6,1,1,2,,9706,AM_AGSSY_4877884_1
26,11035,AM_AGSSY_41358_1,26.22,1,1,7.56E3,1,1,1,,89277,AM_AGSSY_41358_1
27,11036,AM_AGSSY_875840_1,26.04,5,5,0E0,1,1,1,Oxidation (M),40555,AM_AGSSY_875840_1
28,1662,AM_AGSSY_1822544_1,25.41,3,3,6.81E6,1,1,1,,27222,AM_AGSSY_1822544_1
28,109,AM_AGSSY_1680574_1,25.41,3,3,6.81E6,1,1,1,,28807,AM_AGSSY_1680574_1
28,1663,AM_AGSSY_537075_1,25.41,2,2,6.81E6,1,1,1,,45531,AM_AGSSY_537075_1
18,11039,AM_AGSSY_3862978_1,24.90,5,5,1.73E4,1,1,1,,16085,AM_AGSSY_3862978_1
18,11040,AM_AGSSY_3758443_1,24.90,5,5,1.73E4,1,1,1,,15839,AM_AGSSY_3758443_1
18,11041,AM_AGSSY_3395061_1,24.90,5,5,1.73E4,1,1,1,,16949,AM_AGSSY_3395061_1
18,11042,AM_AGSSY_3391423_1,24.90,5,5,1.73E4,1,1,1,,16738,AM_AGSSY_3391423_1
18,11048,AM_AGSSY_2070535_1,24.90,3,3,1.73E4,1,1,1,,27261,AM_AGSSY_2070535_1
18,11049,AM_AGSSY_2058898_1,24.90,3,3,1.73E4,1,1,1,,27267,AM_AGSSY_2058898_1
18,11050,AM_AGSSY_1822724_1,24.90,3,3,1.73E4,1,1,1,,27865,AM_AGSSY_1822724_1
18,11051,AM_AGSSY_1338846_1,24.90,2,2,1.73E4,1,1,1,,31675,AM_AGSSY_1338846_1
18,11052,AM_AGSSY_1285727_1,24.90,2,2,1.73E4,1,1,1,,33557,AM_AGSSY_1285727_1
18,11053,AM_AGSSY_989847_1,24.90,2,2,1.73E4,1,1,1,,37524,AM_AGSSY_989847_1
18,11054,AM_AGSSY_825077_1,24.90,2,2,1.73E4,1,1,1,,38894,AM_AGSSY_825077_1
18,11055,AM_AGSSY_717016_1,24.90,2,2,1.73E4,1,1,1,,40938,AM_AGSSY_717016_1
18,11056,AM_AGSSY_636134_1,24.90,2,2,1.73E4,1,1,1,,44009,AM_AGSSY_636134_1
18,11057,AM_AGSSY_567847_1,24.90,2,2,1.73E4,1,1,1,,46103,AM_AGSSY_567847_1
18,11059,AM_AGSSY_44747_1,24.90,1,1,1.73E4,1,1,1,,86436,AM_AGSSY_44747_1
18,11062,AM_AGSSY_31750_1,24.90,1,1,1.73E4,1,1,1,,95647,AM_AGSSY_31750_1
29,11043,AM_AGSSY_646910_1,24.76,2,2,2.12E4,1,1,1,,43212,AM_AGSSY_646910_1
29,11044,AM_AGSSY_647785_1,24.76,2,2,2.12E4,1,1,1,,43204,AM_AGSSY_647785_1
29,11045,AM_AGSSY_411517_1,24.76,2,2,2.12E4,1,1,1,,50549,AM_AGSSY_411517_1
29,11046,AM_AGSSY_326289_1,24.76,2,2,2.12E4,1,1,1,,54767,AM_AGSSY_326289_1
2,11060,AM_AGSSY_4452190_1,23.45,7,7,1.59E5,1,1,5,,11715,AM_AGSSY_4452190_1
30,11063,AM_AGSSY_4131051_1,22.64,7,7,1.09E6,1,1,1,,13814,AM_AGSSY_4131051_1
31,94,AM_AGSSY_2458673_1,22.57,3,3,9.93E3,1,1,1,Oxidation (M),25053,AM_AGSSY_2458673_1
15,11021,AM_AGSSY_2940736_1,22.23,4,4,8.28E4,1,1,1,,19881,AM_AGSSY_2940736_1
19,9254,AM_AGSSY_697423_1,21.94,2,2,1.74E3,1,1,1,,41401,AM_AGSSY_697423_1
20,11066,AM_AGSSY_1210608_1,21.70,2,2,8.97E3,1,1,1,,36057,AM_AGSSY_1210608_1
20,11067,AM_AGSSY_614476_1,21.70,2,2,8.97E3,1,1,1,,43026,AM_AGSSY_614476_1
34,11073,AM_AGSSY_3771632_1,21.35,4,4,7.4E3,1,1,1,,14415,AM_AGSSY_3771632_1
34,11075,AM_AGSSY_2854760_1,21.35,3,3,7.4E3,1,1,1,,19434,AM_AGSSY_2854760_1
34,11076,AM_AGSSY_2841660_1,21.35,3,3,7.4E3,1,1,1,,20738,AM_AGSSY_2841660_1
34,11077,AM_AGSSY_2204113_1,21.35,3,3,7.4E3,1,1,1,,25126,AM_AGSSY_2204113_1
34,11080,AM_AGSSY_1964098_1,21.35,2,2,7.4E3,1,1,1,,25140,AM_AGSSY_1964098_1
34,11081,AM_AGSSY_1912607_1,21.35,2,2,7.4E3,1,1,1,,27290,AM_AGSSY_1912607_1
34,11083,AM_AGSSY_1715780_1,21.35,2,2,7.4E3,1,1,1,,28067,AM_AGSSY_1715780_1
34,11085,AM_AGSSY_1669202_1,21.35,2,2,7.4E3,1,1,1,,30607,AM_AGSSY_1669202_1
34,11086,AM_AGSSY_1237122_1,21.35,2,2,7.4E3,1,1,1,,35440,AM_AGSSY_1237122_1
32,11070,AM_AGSSY_635588_1,20.58,3,3,1.6E4,1,1,1,,44249,AM_AGSSY_635588_1
33,11071,AM_AGSSY_6538_1,20.57,1,1,3.06E4,1,1,1,,132745,AM_AGSSY_6538_1
35,11074,AM_AGSSY_1179038_1,20.12,3,3,4.31E3,1,1,1,,33985,AM_AGSSY_1179038_1
36,11078,AM_AGSSY_1905352_1,19.43,4,4,3.43E3,1,1,1,,26367,AM_AGSSY_1905352_1
36,11079,AM_AGSSY_1886216_1,19.43,4,4,3.43E3,1,1,1,,26706,AM_AGSSY_1886216_1
7,10240,AM_AGSSY_2117253_1,19.36,4,4,5.03E4,1,1,2,,25164,AM_AGSSY_2117253_1
3,11084,AM_AGSSY_2883628_1,19.13,5,5,4.85E5,1,1,3,,19601,AM_AGSSY_2883628_1
42,11095,AM_AGSSY_2373720_1,19.12,3,3,1.9E4,1,1,1,,24563,AM_AGSSY_2373720_1
10,11087,AM_AGSSY_1779903_1,18.76,3,3,1.42E4,1,1,2,,28878,AM_AGSSY_1779903_1
17,11022,AM_AGSSY_1934820_1,18.75,4,4,2.2E3,1,1,1,,27213,AM_AGSSY_1934820_1
39,11089,AM_AGSSY_3481296_1,18.46,9,9,4.91E4,1,1,1,Oxidation (M),16252,AM_AGSSY_3481296_1
40,11090,AM_AGSSY_878128_1,18.22,3,3,5.45E4,1,1,1,,38783,AM_AGSSY_878128_1
44,11097,AM_AGSSY_2307266_1,17.14,3,3,4.79E4,1,1,1,,23446,AM_AGSSY_2307266_1
44,11098,AM_AGSSY_1514296_1,17.14,2,2,4.79E4,1,1,1,,30418,AM_AGSSY_1514296_1
44,11102,AM_AGSSY_203561_1,17.14,1,1,4.79E4,1,1,1,,61745,AM_AGSSY_203561_1
6,8176,AM_AGSSY_1201984_1,16.62,4,4,2.54E3,1,1,2,,33886,AM_AGSSY_1201984_1
11,11099,AM_AGSSY_1754444_1,16.45,4,4,1.33E4,1,1,1,,27022,AM_AGSSY_1754444_1
45,11100,AM_AGSSY_1595788_1,16.30,8,8,0E0,1,1,1,,29296,AM_AGSSY_1595788_1
14,11104,AM_AGSSY_436936_1,16.18,2,2,3.07E5,1,1,1,,46739,AM_AGSSY_436936_1
22,11107,AM_AGSSY_1073691_1,15.68,3,3,3.09E5,1,1,1,,35098,AM_AGSSY_1073691_1
16,11108,AM_AGSSY_186174_1,15.65,2,2,6.78E4,1,1,1,Deamidation (NQ),59350,AM_AGSSY_186174_1
