Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,21654,gi|54036848,220.32,9,5,5,,95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
3,6,GROUPS_15127463_PROKKA_647136,29.26,4,1,1,,21068,ATP synthase subunit delta
10,4,KNOT_23334117_PROKKA_745740,28.43,1,1,1,Oxidation (M),88644,hypothetical protein
11,9,KNOT_1224114_PROKKA_79900,27.61,5,1,1,,24386,C4-dicarboxylic acid transporter DauA
4,10,GROUPS_8062143_PROKKA_143532,26.37,0,0,0,,19443,50S ribosomal protein L10
14,13,KNOT_31581573_PROKKA_830501,25.03,0,0,0,,22028,hypothetical protein
16,14,GROUPS_9140978_PROKKA_212107,24.84,0,0,0,,11453,hypothetical protein
19,16,KNOT_6969178_PROKKA_389355,23.21,0,0,0,,15258,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
20,22,KNOT_23985627_PROKKA_752550,22.95,0,0,0,,6670,Elongation factor G
20,23,KNOT_13929030_PROKKA_591284,22.95,0,0,0,,8366,Elongation factor G
22,55,GROUPS_9955171_PROKKA_259989,22.00,0,0,0,,10255,hypothetical protein
22,56,GROUPS_14054195_PROKKA_592733,22.00,0,0,0,,9967,hypothetical protein
22,57,GROUPS_12381352_PROKKA_450064,22.00,0,0,0,,11758,hypothetical protein
22,58,GROUPS_11963813_PROKKA_427729,22.00,0,0,0,,13202,hypothetical protein
22,59,GROUPS_13889941_PROKKA_562570,22.00,0,0,0,,13933,hypothetical protein
22,65,KNOT_759019_PROKKA_48714,22.00,0,0,0,,23529,Tyrosine recombinase XerD
22,100,GROUPS_14012471_PROKKA_586842,22.00,0,0,0,,71753,hypothetical protein
23,19,KNOT_31596927_PROKKA_830906,21.65,0,0,0,,13828,hypothetical protein
24,41,KNOT_9069235_PROKKA_467449,21.49,0,0,0,,20691,hypothetical protein
27,21,KNOT_32037477_PROKKA_841053,20.86,0,0,0,,7396,hypothetical protein
28,21663,KNOT_18091191_PROKKA_659091,20.81,0,0,0,,23518,hypothetical protein
29,37,KNOT_32964290_PROKKA_866321,20.69,0,0,0,,77624,hypothetical protein
30,32,KNOT_7690856_PROKKA_417915,20.18,0,0,0,,32218,hypothetical protein
