Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-226-NMCP,Area Trocas7-226-NMCP,#Peptides,#Unique,#Spec Trocas7-226-NMCP,PTM,Avg. Mass,Description
7,6926,KNOT_13489551_PROKKA_583098,35.23,11,11,0E0,1,1,3,,7471,hypothetical protein
7,6928,KNOT_22497602_PROKKA_733264,35.23,2,2,0E0,1,1,3,,38954,hypothetical protein
2,2490,GROUPS_12124742_PROKKA_433805,30.31,15,15,1.87E7,1,1,61,,8063,hypothetical protein
14,11373,KNOT_6849659_PROKKA_384526,26.00,4,4,1.03E6,1,1,2,Deamidation (NQ),35801,hypothetical protein
30,11374,GROUPS_8915178_PROKKA_200027,25.93,9,9,3.5E4,1,1,1,,12082,hypothetical protein
15,11375,KNOT_30838996_PROKKA_813426,25.51,10,10,1.98E6,1,1,2,Carbamidomethylation; Deamidation (NQ),10686,hypothetical protein
31,5276,GROUPS_12647683_PROKKA_470485,24.73,5,5,6.15E5,1,1,1,Deamidation (NQ),20562,hypothetical protein
5,5934,KNOT_32538509_PROKKA_854302,24.50,6,6,1.53E6,1,1,4,,14490,hypothetical protein
5,5935,KNOT_32373984_PROKKA_848250,24.50,5,5,1.53E6,1,1,4,,16587,Acetyl-coenzyme A synthetase
6,2481,KNOT_5879241_PROKKA_348517,23.96,19,19,4.29E7,1,1,4,,4178,hypothetical protein
3,4789,GROUPS_9140978_PROKKA_212107,23.28,7,7,1.25E8,1,1,9,,11453,hypothetical protein
33,11376,GROUPS_13618963_PROKKA_547223,23.06,11,11,9.57E4,1,1,1,,6226,hypothetical protein
33,11377,KNOT_4236668_PROKKA_289894,23.06,9,9,9.57E4,1,1,1,,7494,Methionine synthase
33,11378,KNOT_11055054_PROKKA_522282,23.06,6,6,9.57E4,1,1,1,,12292,hypothetical protein
33,11379,GROUPS_9290825_PROKKA_217446,23.06,5,5,9.57E4,1,1,1,,12027,hypothetical protein
33,11380,GROUPS_10076987_PROKKA_280151,23.06,4,4,9.57E4,1,1,1,,17244,Chemotaxis protein CheY
33,11381,KNOT_7567905_PROKKA_412941,23.06,3,3,9.57E4,1,1,1,,23069,hypothetical protein
33,11382,GROUPS_10057474_PROKKA_277254,23.06,3,3,9.57E4,1,1,1,,23316,hypothetical protein
32,2776,GROUPS_11595755_PROKKA_402175,22.80,6,6,1.74E5,1,1,1,,28198,Leukotoxin
34,11383,KNOT_30597767_PROKKA_805719,22.71,14,14,1.99E4,1,1,1,,10472,hypothetical protein
35,11384,KNOT_2819608_PROKKA_194463,21.89,4,4,8.57E4,1,1,1,Oxidation (M),23510,6-phosphogluconolactonase
36,11385,GROUPS_13258831_PROKKA_533068,21.61,2,2,5.96E4,1,1,1,,38255,Arginine--tRNA ligase
10,11386,GROUPS_14040631_PROKKA_590863,21.41,9,9,2.11E5,1,1,3,,8421,hypothetical protein
10,11387,GROUPS_11379668_PROKKA_374008,21.41,3,3,2.11E5,1,1,3,,26177,hypothetical protein
16,4787,KNOT_31944104_PROKKA_838750,21.20,11,11,4.29E7,1,1,2,,7681,hypothetical protein
16,4788,GROUPS_2663599_PROKKA_30233,21.20,3,3,4.29E7,1,1,2,,27686,3-deoxy-manno-octulosonate cytidylyltransferase
17,2561,KNOT_4440374_PROKKA_301879,20.73,2,2,1.17E6,1,1,2,,41176,hypothetical protein
8,11388,KNOT_1958649_PROKKA_131662,20.27,2,2,1.5E5,1,1,3,,69493,3' 5'-cyclic adenosine monophosphate phosphodiesterase CpdA
