Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 568-TROCAS7-Baylique_50%_GF75com1,Area 568-TROCAS7-Baylique_50%_GF75com1,#Peptides,#Unique,#Spec 568-TROCAS7-Baylique_50%_GF75com1,PTM,Avg. Mass,Description
1,2,gi|54036848,189.89,10,10,3.27E7,8,8,27,Deamidation (NQ),95585,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
11,20302,KNOT_13862926_PROKKA_589975,31.65,8,8,0E0,1,1,1,,10356,hypothetical protein
11,20303,GROUPS_6917177_PROKKA_102039,31.65,8,8,0E0,1,1,1,,9666,Phosphoheptose isomerase
11,20304,KNOT_3867071_PROKKA_267563,31.65,4,4,0E0,1,1,1,,20518,Phosphoheptose isomerase
11,20305,KNOT_22164676_PROKKA_725307,31.65,2,2,0E0,1,1,1,,34399,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
26,20306,KNOT_405062_PROKKA_26079,29.94,4,4,1.44E3,1,1,1,,18088,hypothetical protein
10,20301,GROUPS_13156660_PROKKA_525241,29.59,4,4,0E0,1,1,1,,26739,Glucose-1-phosphate adenylyltransferase
27,20307,KNOT_431340_PROKKA_27913,28.84,9,9,8.57E3,1,1,1,,8141,hypothetical protein
27,20308,KNOT_11345508_PROKKA_531151,28.84,6,6,8.57E3,1,1,1,,10529,hypothetical protein
12,6331,KNOT_37698893_PROKKA_900043,27.30,1,1,2.34E4,1,1,1,,146782,hypothetical protein
13,20320,KNOT_31150083_PROKKA_820592,24.99,1,1,2.36E5,1,1,1,,205117,Desiccation/radiation resistance protein
28,20381,KNOT_11839083_PROKKA_546446,24.85,10,10,2.7E4,1,1,1,,8657,Diaminopimelate decarboxylase
28,20383,KNOT_8175299_PROKKA_436837,24.85,6,6,2.7E4,1,1,1,,13891,hypothetical protein
28,20385,KNOT_365372_PROKKA_23574,24.85,5,5,2.7E4,1,1,1,,14527,hypothetical protein
28,20386,KNOT_31714476_PROKKA_833716,24.85,4,4,2.7E4,1,1,1,,18926,hypothetical protein
28,20387,KNOT_9169381_PROKKA_470287,24.85,3,3,2.7E4,1,1,1,,27249,hypothetical protein
28,20388,KNOT_30852196_PROKKA_813738,24.85,3,3,2.7E4,1,1,1,,29276,hypothetical protein
29,20391,GROUPS_14873043_PROKKA_635919,24.16,4,4,0E0,1,1,1,,31769,hypothetical protein
30,20394,KNOT_2474790_PROKKA_169523,24.04,3,3,7.03E3,1,1,1,,50626,hypothetical protein
2,20406,KNOT_35104983_PROKKA_888339,23.96,5,5,5.3E5,1,1,10,,14410,hypothetical protein
31,20396,KNOT_22613510_PROKKA_735468,23.83,4,4,9.29E2,1,1,1,,29251,Protein translocase subunit SecY
32,20402,GROUPS_13627541_PROKKA_548454,23.72,3,3,8.14E2,1,1,1,,29190,Glycine--tRNA ligase
33,20408,KNOT_31451938_PROKKA_827410,23.07,1,1,5.78E3,1,1,1,Oxidation (M),116154,Endo-1 4-beta-xylanase A
4,20407,KNOT_32602113_PROKKA_856633,22.71,11,11,0E0,1,1,2,,12912,hypothetical protein
35,20409,GROUPS_12732023_PROKKA_487791,22.56,2,2,3.22E3,1,1,1,,50531,GalNAc(5)-diNAcBac-PP-undecaprenol beta-1 3-glucosyltransferase
34,12677,KNOT_17011806_PROKKA_645952,22.55,12,12,0E0,1,1,1,,12271,hypothetical protein
21,20413,KNOT_33691969_PROKKA_876377,22.24,20,20,0E0,1,1,1,,7469,hypothetical protein
14,1888,KNOT_672905_PROKKA_43051,21.83,3,3,0E0,1,1,1,,76989,hypothetical protein
36,20417,KNOT_22010286_PROKKA_719047,21.71,3,3,0E0,1,1,1,Carbamidomethylation,43577,Alanine dehydrogenase 2
38,20420,KNOT_8220035_PROKKA_438537,21.60,3,3,0E0,1,1,1,,40038,Acyl-CoA dehydrogenase
41,199,GROUPS_9792544_PROKKA_241388,20.59,8,8,0E0,1,1,1,,12224,hypothetical protein
45,20428,KNOT_18830810_PROKKA_669568,20.11,6,6,9.93E3,1,1,1,Deamidation (NQ),11921,hypothetical protein
45,20429,KNOT_8775776_PROKKA_459119,20.11,6,6,9.93E3,1,1,1,Deamidation (NQ),11714,hypothetical protein
45,20431,KNOT_2933576_PROKKA_202523,20.11,5,5,9.93E3,1,1,1,Deamidation (NQ),14339,hypothetical protein
45,20432,KNOT_10741144_PROKKA_513178,20.11,5,5,9.93E3,1,1,1,Deamidation (NQ),15100,hypothetical protein
45,20434,KNOT_19649039_PROKKA_680161,20.11,3,3,9.93E3,1,1,1,Deamidation (NQ),20403,hypothetical protein
45,20435,KNOT_12326829_PROKKA_560511,20.11,3,3,9.93E3,1,1,1,Deamidation (NQ),22380,hypothetical protein
45,20436,KNOT_3984493_PROKKA_274916,20.11,3,3,9.93E3,1,1,1,Deamidation (NQ),21682,hypothetical protein
45,20451,KNOT_4334017_PROKKA_295688,20.11,2,2,9.93E3,1,1,1,Deamidation (NQ),43285,hypothetical protein
