Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-406-Chav-DUP,Area Trocas7-406-Chav-DUP,#Peptides,#Unique,#Spec Trocas7-406-Chav-DUP,PTM,Avg. Mass,Description
42,2482,GROUPS_7615389_PROKKA_131871,26.76,9,9,7.48E4,1,1,1,,8827,hypothetical protein
42,2483,GROUPS_13881280_PROKKA_560112,26.76,7,7,7.48E4,1,1,1,,11244,hypothetical protein
42,4774,KNOT_12819950_PROKKA_572522,26.76,5,5,7.48E4,1,1,1,,14382,Ribonuclease VapC22
42,2484,GROUPS_13064444_PROKKA_519763,26.76,3,3,7.48E4,1,1,1,,24095,hypothetical protein
42,4775,KNOT_814097_PROKKA_52248,26.76,2,2,7.48E4,1,1,1,,36399,hypothetical protein
14,4826,KNOT_3651020_PROKKA_253264,26.37,2,2,1.45E5,1,1,2,Deamidation (NQ),54224,hypothetical protein
45,5207,KNOT_32901791_PROKKA_864917,25.71,6,6,6.95E4,1,1,1,,14992,hypothetical protein
44,5542,KNOT_11641451_PROKKA_540398,25.60,10,10,2.07E7,1,1,1,,8143,hypothetical protein
44,5543,KNOT_9832817_PROKKA_487619,25.60,4,4,2.07E7,1,1,1,,24050,hypothetical protein
15,27149,KNOT_202259_PROKKA_12950,25.07,3,3,5.41E5,1,1,2,,33933,hypothetical protein
15,27150,KNOT_14392755_PROKKA_600858,25.07,2,2,5.41E5,1,1,2,,38685,hypothetical protein
46,29034,GROUPS_9998497_PROKKA_267766,24.57,10,10,1.34E6,1,1,1,,11065,hypothetical protein
9,2481,KNOT_5879241_PROKKA_348517,24.42,19,19,2.07E7,1,1,3,,4178,hypothetical protein
47,29035,KNOT_3258748_PROKKA_225882,24.38,4,4,1.85E4,1,1,1,,22186,hypothetical protein
29,29036,KNOT_2010746_PROKKA_135326,23.85,3,3,7.97E4,1,1,1,,27491,DNA repair protein RecO
49,29039,KNOT_35371296_PROKKA_890302,22.55,5,5,7.28E3,1,1,1,,13662,hypothetical protein
49,29041,KNOT_33274651_PROKKA_872009,22.55,3,3,7.28E3,1,1,1,,20958,hypothetical protein
49,29042,KNOT_8775135_PROKKA_459089,22.55,3,3,7.28E3,1,1,1,,27332,hypothetical protein
49,29043,KNOT_3582250_PROKKA_248514,22.55,2,2,7.28E3,1,1,1,,28430,hypothetical protein
49,29044,KNOT_33663952_PROKKA_876130,22.55,2,2,7.28E3,1,1,1,,29226,hypothetical protein
49,29045,KNOT_32930351_PROKKA_865551,22.55,2,2,7.28E3,1,1,1,,27785,putative xanthine dehydrogenase subunit A
10,27153,GROUPS_14679242_PROKKA_629987,22.51,5,5,1.81E6,1,1,3,,15833,hypothetical protein
48,29037,GROUPS_5770633_PROKKA_76390,22.45,16,16,0E0,1,1,1,,5911,hypothetical protein
50,5224,KNOT_4814996_PROKKA_315345,22.04,4,4,6.21E3,1,1,1,,30412,hypothetical protein
51,2561,KNOT_4440374_PROKKA_301879,21.97,2,2,6.05E5,1,1,1,,41176,hypothetical protein
52,5202,GROUPS_14067386_PROKKA_594436,21.91,4,4,5.53E4,1,1,1,,20921,hypothetical protein
53,29046,GROUPS_11397198_PROKKA_377381,21.84,8,8,7.21E4,1,1,1,,10951,hypothetical protein
16,29048,KNOT_14810332_PROKKA_610578,21.17,2,2,1.83E5,1,1,2,,38974,hypothetical protein
54,29049,GROUPS_11359007_PROKKA_369896,21.12,3,3,1.39E5,1,1,1,,31314,hypothetical protein
55,10768,KNOT_8664336_PROKKA_454431,20.88,5,5,6.17E4,1,1,1,,17429,hypothetical protein
56,29050,GROUPS_14025672_PROKKA_588726,20.88,2,2,6.12E5,1,1,1,Deamidation (NQ),46770,hypothetical protein
6,4789,GROUPS_9140978_PROKKA_212107,20.61,7,7,4.64E7,1,1,4,,11453,hypothetical protein
58,29052,GROUPS_15313459_PROKKA_673735,20.41,5,5,2.04E4,1,1,1,,19885,Glycogen biosynthesis protein GlgD
59,5786,GROUPS_15300994_PROKKA_672478,20.31,8,8,9.93E4,1,1,1,,14330,hypothetical protein
30,29053,GROUPS_12725809_PROKKA_486662,20.23,4,4,1.59E5,1,1,1,,19632,hypothetical protein
30,29054,KNOT_3368462_PROKKA_233612,20.23,3,3,1.59E5,1,1,1,,25878,hypothetical protein
30,29055,KNOT_19713568_PROKKA_681366,20.23,3,3,1.59E5,1,1,1,,29287,hypothetical protein
30,29057,KNOT_1132898_PROKKA_73736,20.23,2,2,1.59E5,1,1,1,,32950,hypothetical protein
30,29058,KNOT_30168725_PROKKA_802838,20.23,2,2,1.59E5,1,1,1,,35458,hypothetical protein
30,29059,KNOT_12573205_PROKKA_566940,20.23,2,2,1.59E5,1,1,1,,39827,hypothetical protein
17,4793,KNOT_8476523_PROKKA_447978,20.07,3,3,1.44E4,1,1,2,,29165,putative transcriptional regulatory protein pdtaR
