Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-106-Chav,Area Trocas7-106-Chav,#Peptides,#Unique,#Spec Trocas7-106-Chav,PTM,Avg. Mass,Description
21,2469,KNOT_4594749_PROKKA_309394,24.76,3,3,1.16E5,1,1,1,,36417,hypothetical protein
10,5276,GROUPS_12647683_PROKKA_470485,24.70,5,5,3.43E6,1,1,3,Deamidation (NQ),20562,hypothetical protein
15,2492,KNOT_11443525_PROKKA_534238,24.62,5,5,1.32E6,1,1,2,,20159,Transcriptional repressor NrdR
16,4789,GROUPS_9140978_PROKKA_212107,23.19,7,7,1.05E8,1,1,2,,11453,hypothetical protein
22,6513,GROUPS_14578815_PROKKA_626733,22.93,5,5,4.41E4,1,1,1,Carbamidomethylation,16965,hypothetical protein
5,5934,KNOT_32538509_PROKKA_854302,22.92,6,6,2.81E6,1,1,4,,14490,hypothetical protein
5,5935,KNOT_32373984_PROKKA_848250,22.92,5,5,2.81E6,1,1,4,,16587,Acetyl-coenzyme A synthetase
3,6514,KNOT_2052966_PROKKA_138280,21.89,1,1,1.05E8,1,1,5,,153988,hypothetical protein
23,2838,KNOT_6191017_PROKKA_359416,21.08,47,47,2.69E5,1,1,1,,4508,hypothetical protein
4,2481,KNOT_5879241_PROKKA_348517,20.55,19,19,4.01E7,1,1,5,,4178,hypothetical protein
14,5941,KNOT_31750102_PROKKA_834452,20.44,4,4,1.04E5,1,1,2,,17636,hypothetical protein
14,5937,KNOT_11016356_PROKKA_521083,20.44,6,6,1.04E5,1,1,2,,11586,hypothetical protein
14,5938,KNOT_8590074_PROKKA_451923,20.44,5,5,1.04E5,1,1,2,,13389,hypothetical protein
14,5939,KNOT_21901691_PROKKA_714089,20.44,5,5,1.04E5,1,1,2,,13844,Histidinol dehydrogenase
14,5940,KNOT_8410314_PROKKA_445578,20.44,4,4,1.04E5,1,1,2,,17239,hypothetical protein
14,5942,KNOT_19887706_PROKKA_683781,20.44,3,3,1.04E5,1,1,2,,18273,Glycerol-3-phosphate regulon repressor
14,5943,KNOT_28318387_PROKKA_790010,20.44,3,3,1.04E5,1,1,2,,20289,hypothetical protein
14,5944,KNOT_13440531_PROKKA_582283,20.44,3,3,1.04E5,1,1,2,,22707,hypothetical protein
14,5948,KNOT_27597537_PROKKA_784942,20.44,1,1,1.04E5,1,1,2,,69649,hypothetical protein
