Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 2,Area Sample 2,#Peptides,#Unique,#Spec Sample 2,PTM,Avg. Mass,Description
8,4,AM_AGSSY_73454_1,34.56,1,1,9.55E6,1,1,2,,80372,AM_AGSSY_73454_1
8,5,AM_AGSSY_3962856_1,34.56,6,6,9.55E6,1,1,2,,13527,AM_AGSSY_3962856_1
27,6,AM_AGSSY_5739035_1,33.83,11,11,2.2E4,1,1,1,,7207,AM_AGSSY_5739035_1
27,7,AM_AGSSY_4990132_1,33.83,8,8,2.2E4,1,1,1,,10409,AM_AGSSY_4990132_1
27,8,AM_AGSSY_2900240_1,33.83,4,4,2.2E4,1,1,1,,20872,AM_AGSSY_2900240_1
27,9,AM_AGSSY_298702_1,33.83,1,1,2.2E4,1,1,1,,51489,AM_AGSSY_298702_1
27,10,AM_AGSSY_284473_1,33.83,1,1,2.2E4,1,1,1,,55619,AM_AGSSY_284473_1
6,13,AM_AGSSY_5345322_1,29.74,27,27,2.03E5,1,1,2,Deamidation (NQ),8119,AM_AGSSY_5345322_1
5,14,AM_AGSSY_4877884_1,27.33,9,9,1.48E7,1,1,3,,9706,AM_AGSSY_4877884_1
28,18,AM_AGSSY_3044494_1,25.00,5,5,4.07E4,1,1,1,,20127,AM_AGSSY_3044494_1
29,29,AM_AGSSY_4745627_1,24.39,8,8,3.7E3,1,1,1,,10266,AM_AGSSY_4745627_1
30,39,AM_AGSSY_2241722_1,22.60,6,6,1.32E3,1,1,1,Carbamidomethylation,25458,AM_AGSSY_2241722_1
9,40,AM_AGSSY_2966353_1,22.35,6,6,2.11E3,1,1,2,,18355,AM_AGSSY_2966353_1
31,41,AM_AGSSY_111273_1,21.58,1,1,3.63E2,1,1,1,,74367,AM_AGSSY_111273_1
20,44,AM_AGSSY_3764407_1,20.64,7,7,3.21E3,1,1,1,,14514,AM_AGSSY_3764407_1
15,45,AM_AGSSY_1405202_1,20.64,3,3,1.25E4,1,1,1,,31531,AM_AGSSY_1405202_1
11,46,AM_AGSSY_1517604_1,20.60,3,3,2.35E5,1,1,2,,30602,AM_AGSSY_1517604_1
10,48,AM_AGSSY_3114738_1,20.17,4,4,3.13E6,1,1,2,,18628,AM_AGSSY_3114738_1
10,49,AM_AGSSY_2395304_1,20.17,3,3,3.13E6,1,1,2,,23350,AM_AGSSY_2395304_1
10,50,AM_AGSSY_1376267_1,20.17,2,2,3.13E6,1,1,2,,30883,AM_AGSSY_1376267_1
10,51,AM_AGSSY_1378122_1,20.17,2,2,3.13E6,1,1,2,,31117,AM_AGSSY_1378122_1
10,52,AM_AGSSY_1142851_1,20.17,2,2,3.13E6,1,1,2,,34445,AM_AGSSY_1142851_1
