Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 7,Area Sample 7,#Peptides,#Unique,#Spec Sample 7,PTM,Avg. Mass,Description
4,5,AM_AGSSY_3962856_1,37.75,6,6,6.6E6,1,1,3,,13527,AM_AGSSY_3962856_1
4,4,AM_AGSSY_73454_1,37.75,1,1,6.6E6,1,1,3,,80372,AM_AGSSY_73454_1
8,14,AM_AGSSY_4877884_1,25.75,9,9,6.45E6,1,1,2,,9706,AM_AGSSY_4877884_1
16,1662,AM_AGSSY_1822544_1,24.96,3,3,6.45E6,1,1,1,,27222,AM_AGSSY_1822544_1
16,109,AM_AGSSY_1680574_1,24.96,3,3,6.45E6,1,1,1,,28807,AM_AGSSY_1680574_1
16,1663,AM_AGSSY_537075_1,24.96,2,2,6.45E6,1,1,1,,45531,AM_AGSSY_537075_1
17,4756,AM_AGSSY_441657_1,24.92,2,2,0E0,1,1,1,,48968,AM_AGSSY_441657_1
17,4757,AM_AGSSY_441239_1,24.92,2,2,0E0,1,1,1,,49184,AM_AGSSY_441239_1
17,4758,AM_AGSSY_441136_1,24.92,2,2,0E0,1,1,1,,49169,AM_AGSSY_441136_1
17,4759,AM_AGSSY_441039_1,24.92,2,2,0E0,1,1,1,,48323,AM_AGSSY_441039_1
17,4760,AM_AGSSY_443853_1,24.92,2,2,0E0,1,1,1,,49340,AM_AGSSY_443853_1
17,4761,AM_AGSSY_442170_1,24.92,2,2,0E0,1,1,1,,49543,AM_AGSSY_442170_1
5,805,AM_AGSSY_605184_1,24.26,4,4,1.19E4,1,1,2,,42305,AM_AGSSY_605184_1
18,4764,AM_AGSSY_4623849_1,22.94,8,8,2.94E4,1,1,1,,10072,AM_AGSSY_4623849_1
21,825,AM_AGSSY_1996458_1,21.57,3,3,1.86E4,1,1,1,,27504,AM_AGSSY_1996458_1
22,4767,AM_AGSSY_3699815_1,21.05,5,5,1.06E3,1,1,1,,15031,AM_AGSSY_3699815_1
6,801,AM_AGSSY_72995_1,20.99,1,1,2.22E6,1,1,2,,81338,AM_AGSSY_72995_1
6,789,AM_AGSSY_3553642_1,20.99,5,5,2.22E6,1,1,2,,16429,AM_AGSSY_3553642_1
6,791,AM_AGSSY_1005228_1,20.99,2,2,2.22E6,1,1,2,,37334,AM_AGSSY_1005228_1
23,4768,AM_AGSSY_2067933_1,20.81,4,4,7.03E3,1,1,1,Oxidation (M); Deamidation (NQ),26047,AM_AGSSY_2067933_1
24,4769,AM_AGSSY_5158142_1,20.45,14,14,0E0,1,1,1,,8862,AM_AGSSY_5158142_1
26,48,AM_AGSSY_3114738_1,20.39,4,4,2.22E6,1,1,1,,18628,AM_AGSSY_3114738_1
26,49,AM_AGSSY_2395304_1,20.39,3,3,2.22E6,1,1,1,,23350,AM_AGSSY_2395304_1
26,50,AM_AGSSY_1376267_1,20.39,2,2,2.22E6,1,1,1,,30883,AM_AGSSY_1376267_1
26,51,AM_AGSSY_1378122_1,20.39,2,2,2.22E6,1,1,1,,31117,AM_AGSSY_1378122_1
26,52,AM_AGSSY_1142851_1,20.39,2,2,2.22E6,1,1,1,,34445,AM_AGSSY_1142851_1
26,53,AM_AGSSY_1146785_1,20.39,2,2,2.22E6,1,1,1,,34522,AM_AGSSY_1146785_1
13,4772,AM_AGSSY_93701_1,19.56,1,1,7.26E3,1,1,1,,75196,AM_AGSSY_93701_1
13,4773,AM_AGSSY_109374_1,19.56,2,2,7.26E3,1,1,1,,71648,AM_AGSSY_109374_1
13,4781,AM_AGSSY_2375971_1,19.56,5,5,7.26E3,1,1,1,,24209,AM_AGSSY_2375971_1
13,4782,AM_AGSSY_56381_1,19.56,1,1,7.26E3,1,1,1,,86457,AM_AGSSY_56381_1
13,4783,AM_AGSSY_46064_1,19.56,1,1,7.26E3,1,1,1,,90218,AM_AGSSY_46064_1
13,4784,AM_AGSSY_45026_1,19.56,1,1,7.26E3,1,1,1,,90906,AM_AGSSY_45026_1
13,4785,AM_AGSSY_43317_1,19.56,1,1,7.26E3,1,1,1,,91243,AM_AGSSY_43317_1
13,4786,AM_AGSSY_43059_1,19.56,1,1,7.26E3,1,1,1,,90891,AM_AGSSY_43059_1
13,4787,AM_AGSSY_40973_1,19.56,1,1,7.26E3,1,1,1,,92667,AM_AGSSY_40973_1
13,4788,AM_AGSSY_39561_1,19.56,1,1,7.26E3,1,1,1,,93593,AM_AGSSY_39561_1
13,4789,AM_AGSSY_39009_1,19.56,1,1,7.26E3,1,1,1,,93533,AM_AGSSY_39009_1
13,4790,AM_AGSSY_38690_1,19.56,1,1,7.26E3,1,1,1,,93286,AM_AGSSY_38690_1
13,4791,AM_AGSSY_38504_1,19.56,1,1,7.26E3,1,1,1,,93868,AM_AGSSY_38504_1
13,4792,AM_AGSSY_37614_1,19.56,1,1,7.26E3,1,1,1,,93990,AM_AGSSY_37614_1
13,4793,AM_AGSSY_37325_1,19.56,1,1,7.26E3,1,1,1,,94948,AM_AGSSY_37325_1
13,4794,AM_AGSSY_34254_1,19.56,1,1,7.26E3,1,1,1,,96870,AM_AGSSY_34254_1
30,4797,AM_AGSSY_5987727_1,18.68,17,17,4.31E2,1,1,1,,5600,AM_AGSSY_5987727_1
31,4447,AM_AGSSY_3224863_1,18.53,5,5,2.22E6,1,1,1,,17660,AM_AGSSY_3224863_1
32,4798,AM_AGSSY_3491615_1,18.26,7,7,1.11E5,1,1,1,Carbamidomethylation; Deamidation (NQ),16605,AM_AGSSY_3491615_1
33,112,AM_AGSSY_864558_1,18.24,3,3,1.97E3,1,1,1,Deamidation (NQ),37531,AM_AGSSY_864558_1
34,4799,AM_AGSSY_5830_1,18.03,1,1,1.98E3,1,1,1,Deamidation (NQ),144142,AM_AGSSY_5830_1
11,4800,AM_AGSSY_927039_1,17.25,4,4,0E0,1,1,1,,36215,AM_AGSSY_927039_1
11,4801,AM_AGSSY_925348_1,17.25,4,4,0E0,1,1,1,,36200,AM_AGSSY_925348_1
36,4804,AM_AGSSY_2869303_1,16.63,5,5,0E0,1,1,1,,20149,AM_AGSSY_2869303_1
38,4807,AM_AGSSY_5051769_1,16.46,11,11,3.47E4,1,1,1,Carbamidomethylation,9482,AM_AGSSY_5051769_1
12,80,AM_AGSSY_740826_1,15.91,3,3,1.4E3,1,1,1,,38259,AM_AGSSY_740826_1
15,4775,AM_AGSSY_402449_1,15.73,2,2,6.28E4,1,1,1,,49997,AM_AGSSY_402449_1
10,4812,AM_AGSSY_467127_1,15.33,3,3,5.2E3,1,1,1,,44200,AM_AGSSY_467127_1
40,4813,AM_AGSSY_5091599_1,15.30,23,23,4.48E3,1,1,1,Oxidation (M),9512,AM_AGSSY_5091599_1
41,4814,AM_AGSSY_715100_1,15.03,3,3,9.96E3,1,1,1,,42755,AM_AGSSY_715100_1
