Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-417-NMCP,Area Trocas7-417-NMCP,#Peptides,#Unique,#Spec Trocas7-417-NMCP,PTM,Avg. Mass,Description
8,2469,KNOT_4594749_PROKKA_309394,25.34,3,3,1.33E5,1,1,2,,36417,hypothetical protein
18,2492,KNOT_11443525_PROKKA_534238,24.15,5,5,3.4E5,1,1,1,,20159,Transcriptional repressor NrdR
6,2481,KNOT_5879241_PROKKA_348517,23.91,19,19,2.08E7,1,1,4,,4178,hypothetical protein
5,4789,GROUPS_9140978_PROKKA_212107,23.35,7,7,5.37E7,1,1,4,,11453,hypothetical protein
19,5535,KNOT_36228017_PROKKA_894267,23.30,5,5,3.39E5,1,1,1,,16127,hypothetical protein
7,4797,KNOT_14573911_PROKKA_604957,21.57,1,1,3.43E6,1,1,3,,74282,Polyphosphate kinase
7,4796,KNOT_2166087_PROKKA_146631,21.57,2,2,3.43E6,1,1,3,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
7,2544,KNOT_2519828_PROKKA_172943,21.57,1,1,3.43E6,1,1,3,,59890,Polyphosphate kinase
21,5541,GROUPS_11433745_PROKKA_383718,20.83,2,2,2.53E4,1,1,1,,38649,hypothetical protein
20,5540,GROUPS_14262974_PROKKA_609761,20.56,4,4,4.12E3,1,1,1,,29595,hypothetical protein
9,4826,KNOT_3651020_PROKKA_253264,20.06,2,2,5.37E7,1,1,2,Deamidation (NQ),54224,hypothetical protein
22,5542,KNOT_11641451_PROKKA_540398,20.02,10,10,2.08E7,1,1,1,,8143,hypothetical protein
22,5543,KNOT_9832817_PROKKA_487619,20.02,4,4,2.08E7,1,1,1,,24050,hypothetical protein
