Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-310-SMCP-DUP,Area Trocas7-310-SMCP-DUP,#Peptides,#Unique,#Spec Trocas7-310-SMCP-DUP,PTM,Avg. Mass,Description
16,2492,KNOT_11443525_PROKKA_534238,27.78,5,5,1.69E5,1,1,2,,20159,Transcriptional repressor NrdR
7,2481,KNOT_5879241_PROKKA_348517,25.96,19,19,2.2E7,1,1,4,,4178,hypothetical protein
10,4789,GROUPS_9140978_PROKKA_212107,25.59,7,7,4.88E7,1,1,3,,11453,hypothetical protein
13,21815,GROUPS_14902045_PROKKA_639255,23.99,3,3,2.03E4,1,1,3,,28045,hypothetical protein
23,5202,GROUPS_14067386_PROKKA_594436,23.51,4,4,4.65E4,1,1,1,,20921,hypothetical protein
11,21817,GROUPS_11362691_PROKKA_370634,23.30,17,17,8.59E4,1,1,3,Deamidation (NQ),13719,hypothetical protein
24,21818,KNOT_92555_PROKKA_05913,22.63,4,4,1.34E5,1,1,1,,19084,hypothetical protein
14,4781,KNOT_238065_PROKKA_15437,22.57,1,1,9.48E5,1,1,2,,171606,putative diguanylate cyclase YegE
17,3024,GROUPS_10301952_PROKKA_297086,22.44,9,9,3.09E5,1,1,2,,8299,hypothetical protein
12,4796,KNOT_2166087_PROKKA_146631,21.15,2,2,4.45E6,1,1,3,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
12,2544,KNOT_2519828_PROKKA_172943,21.15,1,1,4.45E6,1,1,3,,59890,Polyphosphate kinase
12,4797,KNOT_14573911_PROKKA_604957,21.15,1,1,4.45E6,1,1,3,,74282,Polyphosphate kinase
18,5276,GROUPS_12647683_PROKKA_470485,20.73,5,5,2.53E5,1,1,2,Deamidation (NQ),20562,hypothetical protein
15,7668,KNOT_4153683_PROKKA_285064,20.23,6,6,4.59E6,1,1,2,,14149,hypothetical protein
15,7669,KNOT_11393545_PROKKA_532661,20.23,6,6,4.59E6,1,1,2,,14869,hypothetical protein
15,7670,KNOT_10318557_PROKKA_500955,20.23,2,2,4.59E6,1,1,2,,45836,Lipopolysaccharide assembly protein B
8,21821,KNOT_32509144_PROKKA_853210,20.23,10,10,2.69E4,1,1,4,,15543,Putative HTH-type transcriptional regulator
