Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-402-Bay-DUP,Area Trocas7-402-Bay-DUP,#Peptides,#Unique,#Spec Trocas7-402-Bay-DUP,PTM,Avg. Mass,Description
10,2478,GROUPS_7001863_PROKKA_109017,46.94,25,25,8.11E4,2,2,2,,8825,hypothetical protein
19,24818,KNOT_9307083_PROKKA_473882,30.55,10,10,3.4E4,1,1,1,,9439,putative lipoprotein YiaD
19,24819,KNOT_1753154_PROKKA_116921,30.55,4,4,3.4E4,1,1,1,,24534,Outer membrane protein A
20,13451,KNOT_21836334_PROKKA_712935,28.26,3,3,9.92E3,1,1,1,,26632,hypothetical protein
21,13469,KNOT_794888_PROKKA_51036,23.66,2,2,7.19E4,1,1,1,,49771,hypothetical protein
4,4797,KNOT_14573911_PROKKA_604957,23.30,1,1,5.33E5,1,1,3,,74282,Polyphosphate kinase
4,4796,KNOT_2166087_PROKKA_146631,23.30,2,2,5.33E5,1,1,3,,37103,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase
4,2544,KNOT_2519828_PROKKA_172943,23.30,1,1,5.33E5,1,1,3,,59890,Polyphosphate kinase
22,28274,KNOT_2684930_PROKKA_184845,23.30,2,2,6.45E3,1,1,1,,37911,Cytochrome c oxidase subunit 2
8,13488,GROUPS_14706705_PROKKA_630619,23.06,6,6,1.5E5,1,1,2,,15027,hypothetical protein
23,28275,KNOT_36105094_PROKKA_893762,22.55,2,2,4.01E4,1,1,1,,54290,Multidrug resistance protein 3
15,8156,KNOT_21955567_PROKKA_715638,22.10,1,1,5.58E2,1,1,1,Deamidation (NQ); Oxidation (M),421843,hypothetical protein
24,4781,KNOT_238065_PROKKA_15437,21.98,1,1,1.18E5,1,1,1,,171606,putative diguanylate cyclase YegE
2,4789,GROUPS_9140978_PROKKA_212107,21.93,7,7,1.84E7,1,1,5,,11453,hypothetical protein
25,28276,GROUPS_11029450_PROKKA_340432,21.76,10,10,1.06E7,1,1,1,,9305,hypothetical protein
26,28277,KNOT_11444544_PROKKA_534279,21.16,1,1,6.72E4,1,1,1,,78248,Adenylate cyclase 1
16,28278,KNOT_30698883_PROKKA_809584,20.77,1,1,8.69E4,1,1,1,Deamidation (NQ); Oxidation (M),222357,hypothetical protein
6,28279,KNOT_35091576_PROKKA_888223,20.27,2,2,1.24E5,1,1,3,,46884,hypothetical protein
27,28280,GROUPS_6889968_PROKKA_99787,20.22,6,6,2.68E4,1,1,1,,15002,hypothetical protein
28,4826,KNOT_3651020_PROKKA_253264,20.00,2,2,0E0,1,1,1,Deamidation (NQ),54224,hypothetical protein
