Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-306-Chav-DUP,Area Trocas7-306-Chav-DUP,#Peptides,#Unique,#Spec Trocas7-306-Chav-DUP,PTM,Avg. Mass,Description
17,13438,KNOT_37559605_PROKKA_899481,28.82,5,5,6.57E3,1,1,1,,23239,hypothetical protein
18,24398,KNOT_18217610_PROKKA_660765,26.68,3,3,2.38E4,1,1,1,,31530,UDP-3-O-acylglucosamine N-acyltransferase
19,5191,KNOT_30057775_PROKKA_802015,25.49,10,10,5.8E3,1,1,1,,6178,hypothetical protein
19,5193,KNOT_6049312_PROKKA_354471,25.49,6,6,5.8E3,1,1,1,,12022,hypothetical protein
19,5194,KNOT_3363071_PROKKA_233193,25.49,5,5,5.8E3,1,1,1,,14986,Outer membrane protein TolC
19,5195,KNOT_17301625_PROKKA_649336,25.49,4,4,5.8E3,1,1,1,,17806,Transcriptional regulatory protein BaeR
19,5196,KNOT_25094835_PROKKA_764207,25.49,4,4,5.8E3,1,1,1,,17806,Transcriptional regulatory protein BaeR
19,5198,KNOT_12399070_PROKKA_562325,25.49,4,4,5.8E3,1,1,1,,17986,hypothetical protein
19,5199,KNOT_3168834_PROKKA_219416,25.49,3,3,5.8E3,1,1,1,,20493,hypothetical protein
19,5200,KNOT_31923025_PROKKA_838262,25.49,3,3,5.8E3,1,1,1,,22020,hypothetical protein
19,5201,KNOT_3566721_PROKKA_247471,25.49,3,3,5.8E3,1,1,1,,23590,hypothetical protein
19,5197,KNOT_6216431_PROKKA_360381,25.49,2,2,5.8E3,1,1,1,,26169,Methionine aminopeptidase 1
19,5203,KNOT_10852428_PROKKA_516426,25.49,2,2,5.8E3,1,1,1,,27333,hypothetical protein
19,5204,KNOT_6323027_PROKKA_364374,25.49,2,2,5.8E3,1,1,1,,33433,hypothetical protein
19,5205,KNOT_3358236_PROKKA_232865,25.49,2,2,5.8E3,1,1,1,,33933,hypothetical protein
19,5206,KNOT_8726303_PROKKA_456627,25.49,2,2,5.8E3,1,1,1,,33963,hypothetical protein
19,5208,KNOT_7769252_PROKKA_420948,25.49,1,1,5.8E3,1,1,1,,65650,Phytochrome-like protein cph2
20,24399,KNOT_7027042_PROKKA_391757,23.08,8,8,2.98E4,1,1,1,,12181,hypothetical protein
8,2481,KNOT_5879241_PROKKA_348517,23.01,19,19,7.82E6,1,1,4,,4178,hypothetical protein
2,24400,KNOT_8645504_PROKKA_453796,22.83,5,5,3.74E5,1,1,15,Oxidation (M),24740,Putative gamma-glutamyltransferase YwrD
