Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-106-Chav-DUP,Area Trocas7-106-Chav-DUP,#Peptides,#Unique,#Spec Trocas7-106-Chav-DUP,PTM,Avg. Mass,Description
3,5934,KNOT_32538509_PROKKA_854302,28.20,6,6,2.83E6,1,1,5,,14490,hypothetical protein
3,5935,KNOT_32373984_PROKKA_848250,28.20,5,5,2.83E6,1,1,5,,16587,Acetyl-coenzyme A synthetase
12,2492,KNOT_11443525_PROKKA_534238,27.57,5,5,3.33E6,1,1,3,,20159,Transcriptional repressor NrdR
30,22908,KNOT_1245511_PROKKA_81362,25.85,2,2,2.17E4,1,1,1,,49851,hypothetical protein
7,5276,GROUPS_12647683_PROKKA_470485,24.95,5,5,3.43E6,1,1,5,Deamidation (NQ),20562,hypothetical protein
16,3024,GROUPS_10301952_PROKKA_297086,24.85,9,9,1.19E5,1,1,2,,8299,hypothetical protein
31,6924,GROUPS_13123568_PROKKA_522913,24.57,5,5,4.32E5,1,1,1,,21556,hypothetical protein
32,22909,KNOT_7740560_PROKKA_419850,24.25,8,8,5.78E3,1,1,1,,8882,hypothetical protein
13,2481,KNOT_5879241_PROKKA_348517,24.23,19,19,5.23E7,1,1,3,,4178,hypothetical protein
33,5202,GROUPS_14067386_PROKKA_594436,23.04,4,4,1.16E5,1,1,1,,20921,hypothetical protein
34,22911,KNOT_37698893_PROKKA_900043,22.87,1,1,2.76E6,1,1,1,,146782,hypothetical protein
35,2569,KNOT_3039615_PROKKA_210056,21.99,3,3,1.81E6,1,1,1,,30029,Ribosomal large subunit pseudouridine synthase D
4,4789,GROUPS_9140978_PROKKA_212107,21.99,7,7,1.38E8,1,1,5,,11453,hypothetical protein
24,22912,KNOT_12281701_PROKKA_559228,21.68,4,4,2.77E4,1,1,1,,44818,hypothetical protein
10,9926,GROUPS_13730324_PROKKA_555302,21.28,4,4,8.01E6,1,1,3,,18372,hypothetical protein
10,9924,GROUPS_13561989_PROKKA_543383,21.28,6,6,8.01E6,1,1,3,,12550,hypothetical protein
10,9927,GROUPS_14011427_PROKKA_586700,21.28,3,3,8.01E6,1,1,3,,27934,hypothetical protein
10,9928,KNOT_5313870_PROKKA_330236,21.28,3,3,8.01E6,1,1,3,,27605,hypothetical protein
10,9930,KNOT_16547763_PROKKA_641318,21.28,3,3,8.01E6,1,1,3,,30134,High-affinity branched-chain amino acid transport system permease protein LivH
10,9933,KNOT_12266592_PROKKA_558885,21.28,2,2,8.01E6,1,1,3,,34459,High-affinity branched-chain amino acid transport system permease protein LivH
36,22913,KNOT_6096525_PROKKA_356137,21.19,7,7,2.3E4,1,1,1,,11412,hypothetical protein
25,2529,KNOT_17326956_PROKKA_649639,21.05,15,15,1.83E5,1,1,1,,13042,hypothetical protein
2,5951,KNOT_6855810_PROKKA_384782,20.75,5,5,6.01E5,1,1,5,,18653,hypothetical protein
26,5296,GROUPS_14478519_PROKKA_621570,20.72,1,1,0E0,1,1,1,,64958,hypothetical protein
26,5278,GROUPS_11449358_PROKKA_386183,20.72,3,3,0E0,1,1,1,,21950,Succinyl-CoA:coenzyme A transferase
26,5280,KNOT_1342941_PROKKA_88105,20.72,2,2,0E0,1,1,1,,28515,Cyclic di-GMP phosphodiesterase response regulator RpfG
26,5291,KNOT_1488465_PROKKA_98144,20.72,1,1,0E0,1,1,1,,47443,Propionyl-CoA:succinate CoA transferase
27,22914,KNOT_30965077_PROKKA_816341,20.43,6,6,2.2E4,1,1,1,,17041,hypothetical protein
