Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11,Area Sample 11,#Peptides,#Unique,#Spec Sample 11,PTM,Avg. Mass,Description
8,5,AM_AGSSY_3962856_1,35.88,6,6,7.18E6,1,1,3,,13527,AM_AGSSY_3962856_1
8,4,AM_AGSSY_73454_1,35.88,1,1,7.18E6,1,1,3,,80372,AM_AGSSY_73454_1
4,14,AM_AGSSY_4877884_1,24.87,9,9,1.1E7,1,1,4,,9706,AM_AGSSY_4877884_1
14,4756,AM_AGSSY_441657_1,24.25,2,2,4.28E3,1,1,1,,48968,AM_AGSSY_441657_1
14,4757,AM_AGSSY_441239_1,24.25,2,2,4.28E3,1,1,1,,49184,AM_AGSSY_441239_1
14,4758,AM_AGSSY_441136_1,24.25,2,2,4.28E3,1,1,1,,49169,AM_AGSSY_441136_1
14,4759,AM_AGSSY_441039_1,24.25,2,2,4.28E3,1,1,1,,48323,AM_AGSSY_441039_1
14,4760,AM_AGSSY_443853_1,24.25,2,2,4.28E3,1,1,1,,49340,AM_AGSSY_443853_1
14,4761,AM_AGSSY_442170_1,24.25,2,2,4.28E3,1,1,1,,49543,AM_AGSSY_442170_1
20,1662,AM_AGSSY_1822544_1,24.03,3,3,1.1E7,1,1,1,,27222,AM_AGSSY_1822544_1
20,109,AM_AGSSY_1680574_1,24.03,3,3,1.1E7,1,1,1,,28807,AM_AGSSY_1680574_1
20,1663,AM_AGSSY_537075_1,24.03,2,2,1.1E7,1,1,1,,45531,AM_AGSSY_537075_1
2,7269,AM_AGSSY_2766418_1,23.70,5,5,2.48E5,1,1,6,Deamidation (NQ),20187,AM_AGSSY_2766418_1
21,7289,AM_AGSSY_14253_1,22.56,1,1,3.55E3,1,1,1,,117454,AM_AGSSY_14253_1
5,6851,AM_AGSSY_705012_1,21.80,3,3,7.2E4,1,1,3,,39923,AM_AGSSY_705012_1
3,7290,AM_AGSSY_330620_1,21.40,3,3,2.95E5,1,1,5,,50581,AM_AGSSY_330620_1
22,7291,AM_AGSSY_649229_1,21.27,3,3,0E0,1,1,1,,43337,AM_AGSSY_649229_1
6,185,AM_AGSSY_5389380_1,20.89,19,19,3.15E4,1,1,3,,8295,AM_AGSSY_5389380_1
23,7292,AM_AGSSY_19088_1,20.62,1,1,3.54E4,1,1,1,,108819,AM_AGSSY_19088_1
24,7293,AM_AGSSY_714432_1,20.13,3,3,1.67E3,1,1,1,,39247,AM_AGSSY_714432_1
25,7294,AM_AGSSY_5541156_1,19.44,16,16,4.14E3,1,1,1,Carbamidomethylation,7109,AM_AGSSY_5541156_1
9,48,AM_AGSSY_3114738_1,19.30,4,4,2.29E6,1,1,2,,18628,AM_AGSSY_3114738_1
9,49,AM_AGSSY_2395304_1,19.30,3,3,2.29E6,1,1,2,,23350,AM_AGSSY_2395304_1
9,50,AM_AGSSY_1376267_1,19.30,2,2,2.29E6,1,1,2,,30883,AM_AGSSY_1376267_1
9,51,AM_AGSSY_1378122_1,19.30,2,2,2.29E6,1,1,2,,31117,AM_AGSSY_1378122_1
9,52,AM_AGSSY_1142851_1,19.30,2,2,2.29E6,1,1,2,,34445,AM_AGSSY_1142851_1
9,53,AM_AGSSY_1146785_1,19.30,2,2,2.29E6,1,1,2,,34522,AM_AGSSY_1146785_1
26,7295,AM_AGSSY_1832881_1,19.04,4,4,0E0,1,1,1,,26479,AM_AGSSY_1832881_1
28,7297,AM_AGSSY_2607817_1,18.31,4,4,9.95E2,1,1,1,,22116,AM_AGSSY_2607817_1
11,7298,AM_AGSSY_638227_1,17.65,2,2,1.12E3,1,1,1,,42438,AM_AGSSY_638227_1
17,7300,AM_AGSSY_36518_1,17.07,1,1,1.99E3,1,1,1,,94755,AM_AGSSY_36518_1
30,7301,AM_AGSSY_13735_1,17.06,1,1,3.04E3,1,1,1,Deamidation (NQ),117237,AM_AGSSY_13735_1
18,7302,AM_AGSSY_4088894_1,16.98,7,7,2.24E2,1,1,1,,13860,AM_AGSSY_4088894_1
18,7303,AM_AGSSY_1518937_1,16.98,3,3,2.24E2,1,1,1,,31774,AM_AGSSY_1518937_1
31,7304,AM_AGSSY_5993668_1,16.90,23,23,7.69E2,1,1,1,,5622,AM_AGSSY_5993668_1
31,7305,AM_AGSSY_5992409_1,16.90,23,23,7.69E2,1,1,1,,5543,AM_AGSSY_5992409_1
31,7306,AM_AGSSY_5489262_1,16.90,17,17,7.69E2,1,1,1,,7116,AM_AGSSY_5489262_1
31,7307,AM_AGSSY_4844019_1,16.90,13,13,7.69E2,1,1,1,,9883,AM_AGSSY_4844019_1
15,7270,AM_AGSSY_4017398_1,16.83,8,8,1.47E3,1,1,1,,13435,AM_AGSSY_4017398_1
16,7271,AM_AGSSY_219368_1,16.80,2,2,8.98E4,1,1,1,,56773,AM_AGSSY_219368_1
16,7310,AM_AGSSY_218351_1,16.80,2,2,8.98E4,1,1,1,,56591,AM_AGSSY_218351_1
34,7311,AM_AGSSY_3429998_1,16.55,6,6,2.63E3,1,1,1,,15335,AM_AGSSY_3429998_1
35,7312,AM_AGSSY_736537_1,16.47,3,3,1.05E3,1,1,1,,40536,AM_AGSSY_736537_1
12,7313,AM_AGSSY_1427848_1,16.43,3,3,3.23E3,1,1,1,,30312,AM_AGSSY_1427848_1
36,7314,AM_AGSSY_1288307_1,16.28,6,6,0E0,1,1,1,,33807,AM_AGSSY_1288307_1
39,7317,AM_AGSSY_3799576_1,15.96,17,17,0E0,1,1,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),14755,AM_AGSSY_3799576_1
40,7319,AM_AGSSY_840695_1,15.68,3,3,7.72E2,1,1,1,,38586,AM_AGSSY_840695_1
41,7320,AM_AGSSY_5730353_1,15.61,18,18,1.78E3,1,1,1,,6804,AM_AGSSY_5730353_1
