Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 18,Area Sample 18,#Peptides,#Unique,#Spec Sample 18,PTM,Avg. Mass,Description
4,4,AM_AGSSY_73454_1,33.60,1,1,1.32E7,1,1,3,,80372,AM_AGSSY_73454_1
4,5,AM_AGSSY_3962856_1,33.60,6,6,1.32E7,1,1,3,,13527,AM_AGSSY_3962856_1
9,13182,AM_AGSSY_2463573_1,26.93,3,3,7.31E4,1,1,2,,21540,AM_AGSSY_2463573_1
9,13199,AM_AGSSY_182566_1,26.93,1,1,7.31E4,1,1,2,,61263,AM_AGSSY_182566_1
5,14,AM_AGSSY_4877884_1,23.97,9,9,1.73E7,1,1,3,,9706,AM_AGSSY_4877884_1
16,13200,AM_AGSSY_753686_1,23.89,2,2,0E0,1,1,1,Deamidation (NQ),38814,AM_AGSSY_753686_1
17,13201,AM_AGSSY_2559756_1,23.68,4,4,3.78E4,1,1,1,,22779,AM_AGSSY_2559756_1
17,13202,AM_AGSSY_297300_1,23.68,2,2,3.78E4,1,1,1,,54966,AM_AGSSY_297300_1
18,13203,AM_AGSSY_117490_1,23.44,1,1,9.78E3,1,1,1,,69018,AM_AGSSY_117490_1
19,13204,AM_AGSSY_2280508_1,22.47,4,4,4.91E4,1,1,1,,25203,AM_AGSSY_2280508_1
20,737,AM_AGSSY_1640725_1,22.42,3,3,7.46E5,1,1,1,,26573,AM_AGSSY_1640725_1
21,1666,AM_AGSSY_3934_1,22.27,1,1,8.73E5,1,1,1,,146782,AM_AGSSY_3934_1
10,13205,AM_AGSSY_3647958_1,20.66,10,10,9.46E4,1,1,2,Oxidation (M),15016,AM_AGSSY_3647958_1
22,18,AM_AGSSY_3044494_1,19.45,5,5,3.23E4,1,1,1,,20127,AM_AGSSY_3044494_1
23,93,AM_AGSSY_2487650_1,18.62,3,3,9.83E3,1,1,1,Oxidation (M),24200,AM_AGSSY_2487650_1
23,94,AM_AGSSY_2458673_1,18.62,3,3,9.83E3,1,1,1,Oxidation (M),25053,AM_AGSSY_2458673_1
23,100,AM_AGSSY_1786900_1,18.62,2,2,9.83E3,1,1,1,Oxidation (M),30977,AM_AGSSY_1786900_1
23,21,AM_AGSSY_1553211_1,18.62,2,2,9.83E3,1,1,1,Oxidation (M),32327,AM_AGSSY_1553211_1
6,48,AM_AGSSY_3114738_1,17.87,4,4,4E6,1,1,3,,18628,AM_AGSSY_3114738_1
6,49,AM_AGSSY_2395304_1,17.87,3,3,4E6,1,1,3,,23350,AM_AGSSY_2395304_1
6,50,AM_AGSSY_1376267_1,17.87,2,2,4E6,1,1,3,,30883,AM_AGSSY_1376267_1
6,51,AM_AGSSY_1378122_1,17.87,2,2,4E6,1,1,3,,31117,AM_AGSSY_1378122_1
6,52,AM_AGSSY_1142851_1,17.87,2,2,4E6,1,1,3,,34445,AM_AGSSY_1142851_1
6,53,AM_AGSSY_1146785_1,17.87,2,2,4E6,1,1,3,,34522,AM_AGSSY_1146785_1
25,4068,AM_AGSSY_5653265_1,17.61,9,9,6.4E5,1,1,1,,7225,AM_AGSSY_5653265_1
25,4072,AM_AGSSY_5461747_1,17.61,8,8,6.4E5,1,1,1,,8694,AM_AGSSY_5461747_1
25,4075,AM_AGSSY_5184382_1,17.61,8,8,6.4E5,1,1,1,,9422,AM_AGSSY_5184382_1
25,4093,AM_AGSSY_3500711_1,17.61,4,4,6.4E5,1,1,1,,17210,AM_AGSSY_3500711_1
27,13213,AM_AGSSY_4379067_1,17.06,7,7,1.82E4,1,1,1,,13124,AM_AGSSY_4379067_1
26,13212,AM_AGSSY_233688_1,16.58,2,2,2.44E4,1,1,1,,60410,AM_AGSSY_233688_1
11,3301,AM_AGSSY_2967008_1,16.38,5,5,2.45E5,1,1,1,,19058,AM_AGSSY_2967008_1
28,13215,AM_AGSSY_4377238_1,16.22,6,6,4.45E3,1,1,1,,12200,AM_AGSSY_4377238_1
29,13216,AM_AGSSY_565873_1,16.06,3,3,1.16E4,1,1,1,,44874,AM_AGSSY_565873_1
30,13219,AM_AGSSY_7_1,15.43,0,0,9.04E4,1,1,1,,796852,AM_AGSSY_7_1
31,13222,AM_AGSSY_3117734_1,15.24,4,4,4.36E4,1,1,1,Oxidation (M),17384,AM_AGSSY_3117734_1
31,13228,AM_AGSSY_149952_1,15.24,1,1,4.36E4,1,1,1,Oxidation (M),64913,AM_AGSSY_149952_1
31,13231,AM_AGSSY_67655_1,15.24,1,1,4.36E4,1,1,1,Oxidation (M),81767,AM_AGSSY_67655_1
32,13223,AM_AGSSY_4515826_1,15.05,7,7,1.44E4,1,1,1,,11088,AM_AGSSY_4515826_1
32,13224,AM_AGSSY_3318334_1,15.05,4,4,1.44E4,1,1,1,,17307,AM_AGSSY_3318334_1
32,13225,AM_AGSSY_2449141_1,15.05,3,3,1.44E4,1,1,1,,22873,AM_AGSSY_2449141_1
32,13227,AM_AGSSY_1361721_1,15.05,2,2,1.44E4,1,1,1,,31823,AM_AGSSY_1361721_1
